Species,Temp,CO2,Potnum,LeafpercentN (%),LeafNarea (g m-2),LeafpercentC (%),LSolSugA (g m-2),LStarchA (g m-2),LSolProA (g m-2),LInsolProA (g m-2),ChlAandB (umol m-2),ChlAB,percentCellWall (%),LMA (g m-2),Density (g cm-3)
E. sideroxylon,Amb,280,252,2.24,2.8,54.49,9.6,4,8.95,6.83,724.03,2.56,32.47,124.91,0.5
E. sideroxylon,Amb,280,264,2.14,2.79,54.46,10.37,5.11,9.97,15.57,572.1,2.38,29.82,130.69,0.49
E. sideroxylon,Amb,280,265,2.25,2.54,54.98,6.01,9.01,7.89,15.06,791.97,0.17,30.09,112.95,0.48
E. sideroxylon,Amb,280,273,2.01,2.34,54.87,13.45,7.13,8.31,1.98,547.72,2.57,26.42,116.33,0.47
E. sideroxylon,Amb,280,295,1.83,2.17,55.57,8.36,4.67,3.99,10.11,413.49,2.46,29.9,118.8,0.52
E. sideroxylon,Amb,400,165,1.39,2.12,55.34,22.59,7.6,8.28,8.22,446.46,2.43,25.13,152.38,0.55
E. sideroxylon,Amb,400,168,1.44,1.86,56.06,8.47,7.06,7.42,6.78,414.17,2.62,29.96,129.23,0.56
E. sideroxylon,Amb,400,172,1.21,1.77,56.76,15.96,7.67,3.71,12.46,443.51,2.29,27.62,146.71,0.63
E. sideroxylon,Amb,400,176,2.03,2.24,54.55,11.66,6.55,5.78,13.14,440.71,2.3,32.29,110.45,0.44
E. sideroxylon,Amb,400,194,0.97,1.71,54.52,10.05,9.92,1.78,1.45,343.61,2.43,34.15,176.89,0.63
E. sideroxylon,Amb,640,51,0.91,1.65,55.08,21.99,14.98,5.91,0.91,337.32,2.22,32.2,181.7,0.69
E. sideroxylon,Amb,640,52,0.84,1.59,55.48,26.5,15.49,1.63,8.04,266.94,1.92,27.19,188.21,0.63
E. sideroxylon,Amb,640,56,1.38,2.44,53.51,13.98,29.46,5.49,7.73,520.17,2.57,34.76,176.36,0.7
E. sideroxylon,Amb,640,57,1.27,2.15,55.48,16,15.69,3.11,4.27,355.38,2.4,32.24,169.89,0.64
E. sideroxylon,Amb,640,84,1.44,2.7,55.35,20.84,10.84,4.45,10.2,557.76,2.93,32.76,187.39,0.85
E. sideroxylon,Elv,280,355,2.56,3.12,54.66,14.6,3.5,3.17,10.57,836.27,2.58,34.39,121.85,0.5
E. sideroxylon,Elv,280,360,1.91,2.37,55.26,11.08,3.19,4.54,10.66,710.16,2.44,27.02,124.19,0.5
E. sideroxylon,Elv,280,370,1.83,2.49,54.87,6.89,4.75,5.37,14.28,574.76,2.28,31.26,136.12,0.57
E. sideroxylon,Elv,280,373,2.6,2.17,55.02,8.2,3.02,7.51,12.83,649.32,2.35,29.02,110.73,0.5
E. sideroxylon,Elv,280,386,3.36,4.12,52.5,3.8,0.94,6.68,10.64,697.53,2.38,32.29,83.37,0.41
E. sideroxylon,Elv,400,467,1.25,1.63,55.79,17.51,5.75,6.04,5.37,403.1,2.19,33.02,110.68,0.48
E. sideroxylon,Elv,400,470,0.98,1.37,57.14,18.78,4.82,4.42,6.56,474.25,2.18,26.62,130.24,0.45
E. sideroxylon,Elv,400,471,1.21,1.34,56.08,11.4,5.25,2.65,6.29,297.93,1.9,25.85,139.2,0.58
E. sideroxylon,Elv,400,482,2.24,2.48,54.91,17.98,4.03,5.43,6.76,671.93,2.55,32.85,110.81,0.49
E. sideroxylon,Elv,400,494,2.29,2.74,54.87,11.98,3.09,6.67,5.34,659.45,2.39,34.1,119.75,0.63
E. sideroxylon,Elv,640,554,1.13,1.54,55.07,20.59,7.83,5.22,1.61,531.95,2.45,29.08,136.84,0.54
E. sideroxylon,Elv,640,558,1.07,2.04,56.94,19.72,5.47,4.06,3.53,590.6,2.47,27.75,190.68,0.72
E. sideroxylon,Elv,640,561,1.43,2.07,55.26,21.37,6.85,5.07,5.8,572.22,2.32,25.56,144.76,0.52
E. sideroxylon,Elv,640,590,1.59,2.47,56.19,16.5,5.32,4.71,4.24,607.42,2.23,19.81,155.12,0.52
E. sideroxylon,Elv,640,597,1.54,2.04,54.75,11.49,6.67,4.74,5.13,523.71,2.34,34.34,132.24,0.58
