Sp code,Species Name,Status,Family,Fire Response,FR data source,Seed storage,SS data source,Life Form,Seed mass (mg),SM data source,Nutrient-acquisition strategy,NAS data source,Leaf P,Leaf N
ACAACU,Acacia acuminata,native,FABACEAE,SEEDER,Burrows et al. 2008,soil,Burrows et al. 2008,shrub,5.92,Weighed,Nfixer/AMF,Sprent 2001; Lamont 1982 on AMF for Genus ,,
ACAALA,Acacia alata,native,FABACEAE,SEEDER,Bell et al. 1993,soil,Bell et al. 1993,shrub,7.35,Kew SID,Nfixer/AMF,Sprent 2001; Brundrett&Abbott 1991,,
ACABAR,Acacia barbinervis,native,FABACEAE,RESPROUTER,Alcoa DB,soil,Inferred using data for Genus,shrub,34.49,Weighed,Nfixer/AMF,Sprent 2001; Lamont 1982 on AMF for Genus ,,
ACABRO,Acacia browniana,native,FABACEAE,SEEDER,Bell et al. 1993,soil,Bell et al. 1993,shrub,4.59,Kew SID,Nfixer/AMF,Sprent 2001; Lamont 1982 on AMF for Genus ,,
ACACEL,Acacia celastrifolia,native,FABACEAE,SEEDER,Bell et al. 1993,soil,Bell et al. 1993,shrub,22.00,"Standish et al, unpub data",Nfixer/AMF,Sprent 2001; Standish et al. unpub data,0.03,1.65
ACADEC,Acacia decurrens*,weed,FABACEAE,SEEDER,Alcoa DB,soil,Inferred using data for Genus,tree,16.07,Weighed,Nfixer/AMF,Sprent 2001; AMF assumed,,
ACADEN,Acacia dentifera,native,FABACEAE,SEEDER,Alcoa DB,soil,Inferred using data for Genus,shrub,10.87,Weighed,Nfixer/AMF,Sprent 2001; Lamont 1982 on AMF for Genus ,,
ACADIV,Acacia divergens,native,FABACEAE,SEEDER,Bell et al. 1993,soil,Bell et al. 1993,shrub,2.30,Weighed,Nfixer/AMF,Sprent 2001; Lamont 1982 on AMF for Genus ,,
ACADRU,Acacia drummondii,native,FABACEAE,SEEDER,Bell et al. 1993,soil,Bell et al. 1993,shrub,4.03,Nursery records,Nfixer/AMF,Sprent 2001; Lamont 1982 on AMF for Genus ,0.03,1.54
ACAEXT,Acacia extensa,native,FABACEAE,SEEDER,Bell et al. 1993,soil,Bell et al. 1993,shrub,15.63,Nursery records,Nfixer/AMF,Sprent 2001; Brundrett&Abbott 1991,0.03,1.46
ACAHOR,Acacia horridula,native,FABACEAE,SEEDER,Bell et al. 1993,soil,Bell et al. 1993,shrub,14.84,Weighed,Nfixer/AMF,Sprent 2001; Lamont 1982 on AMF for Genus ,0.04,1.91
ACAINC,Acacia incrassata,native,FABACEAE,SEEDER,Alcoa DB,soil,Inferred using data for Genus,shrub,15.23,Approximation: avg seed mass of the other JF Acacia species (n = 29).,Nfixer/AMF,Sprent 2001; Lamont 1982 on AMF for Genus ,,
