Timestamp,Site,Species,Observer,Habit,Height_m,Inflor_cm,No_flowers_perinflor,No_inflor,Florlength_cm,Flordiam_cm,Colour,Symmetry,Tube,Notes
8/11/2020 8:57:43,FTT03,Boronia ledifolia,Rachael Gallagher,shrub,0.18,7,4,1,0.3,0.15,pink,actinomorphic,absent,
8/11/2020 9:21:29,FTT03,Acacia echinula,Rachael Gallagher,shrub,0.7,1,29,16,0.5,0.5,yellow,actinomorphic,absent,
8/11/2020 9:27:14,FTT03,Leucopogon microphyllus,Rachael Gallagher,shrub,0.39,0.8,2,6,0.3,0.5,white,actinomorphic,present,
8/11/2020 9:33:02,FTT03,Micrantheum ericoides,Rachael Gallagher,shrub,0.23,0.5,1,3,0.15,0.2,red,actinomorphic,absent,
8/11/2020 10:28:05,FTT03,Actinotus minor,Rachael Gallagher,herb,0.16,1.5,35,3,0.1,0.05,white,actinomorphic,absent,
8/11/2020 15:13:30,FTT05,Dillwynia retorta,Rachael Gallagher,shrub,0.7,4,7,40,1,1.8,yellow,zygomorphic,present,
8/11/2020 15:16:26,FTT05,Grevillea sericea,Rachael Gallagher,shrub,0.75,3,5,8,1.5,0.6,pink,zygomorphic,present,
8/11/2020 15:20:35,FTT05,Actinotus minor,Rachael Gallagher,herb,0.65,1.2,32,25,0.1,0.1,white,actinomorphic,present,
8/11/2020 15:28:04,FTT05,Leucopogon microphyllus,Rachael Gallagher,shrub,0.2,1,1,4,0.3,0.5,white,actinomorphic,present,
8/6/2020 10:52:22,FTT01,Boronia ledifolia,Ruby Stephens,shrub,0.69,1-12,1-4,11,0.3,2.5,pink,actinomorphic,absent,
8/6/2020 11:09:57,FTT01,Hibbertia cistiflora,Ruby Stephens,shrub,0.34,2.5,1,10,0.5,2.5,yellow,actinomorphic,absent,
8/6/2020 11:27:42,FTT01,Olax stricta,Ruby Stephens,shrub,1.2,0.5,1,180,0.5,0.5,white,actinomorphic,present,
8/6/2020 11:36:57,FTT01,Actinotus minor,Ruby Stephens,herb,0.38,1.5,30,1,0.2,0.1,white,actinomorphic,present,
8/6/2020 11:47:26,FTT01,Dillwynia retorta,Ruby Stephens,shrub,0.45,8,1-9,12,1,1.5,yellow,zygomorphic,present,
8/6/2020 12:04:55,FTT01,Hibbertia fasciculata,Ruby Stephens,shrub,0.36,1.2,0-1,22,0.2,1.2,yellow,actinomorphic,absent,
8/6/2020 12:13:47,FTT01,Grevillea sericea,Ruby Stephens,shrub,1.1,3.5,8,9,1.5,0.5,pink,zygomorphic,present,Inflorescence per plant includes inflorescences with buds only
8/6/2020 12:28:16,FTT01,Boronia pinnata,Ruby Stephens,shrub,0.73,6,2,2,0.6,1.8,pink,actinomorphic,absent,
8/6/2020 13:42:39,FTT02,Boronia ledifolia,Ruby Stephens,shrub,0.73,5.5,1-3,5,0.3,2.2,pink,actinomorphic,absent,
8/6/2020 13:49:41,FTT02,Grevillea buxifolia,Ruby Stephens,shrub,1.6,3.8,1,106,2.8,0.8,white,zygomorphic,present,Inflorescences include buds and anthetic flowers
8/6/2020 14:05:03,FTT02,Leucopogon microphyllus,Ruby Stephens,shrub,.3,0.7,1,1,0.4,0.4,white,actinomorphic,present,
8/6/2020 14:13:37,FTT02,Grevillea sericea,Ruby Stephens,shrub,0.97,2.5,1-3,16,2.2,0.7,pink,zygomorphic,present,
8/6/2020 14:22:45,FTT02,Dillwynia retorta,Ruby Stephens,shrub,0.6,15,20,1,0.9,1.5,yellow,zygomorphic,present,
8/6/2020 14:24:38,FTT02,Actinotus minor,Ruby Stephens,herb,0.32,0.8,30,4,0.1,0.1,white,actinomorphic,present,
8/6/2020 14:31:55,FTT02,Hibbertia cistiflora,Ruby Stephens,shrub,0.55,3,1,25,0.4,3,yellow,actinomorphic,absent,
8/6/2020 14:44:07,FTT02,Banksia ericifolia,Ruby Stephens,shrub,2.2,13,36,1,3,0.5,orange,zygomorphic,present,
