site,latitude,longitude,vegetation,MAP (mm),date,name_original,name_edited,rep,age,lab_or_tree_number,notes,delta_13C,plant_growth_form,photosynthetic_pathway,NRA pkat/g fw wo NO3,NRA pkat/g fw w NO3,collector
Gambubal,-28.03,152.83,Subtropical forest,1199,early 1993,Adianthum formosum,Adianthum formosum,,,768,,,fern,,0,16,
Gambubal,-28.03,152.83,Subtropical forest,1199,early 1993,Cissus antarctica,Cissus antarctica,,,775,,,climber,,4,45,
Gambubal,-28.03,152.83,Subtropical forest,1199,early 1993,Cynoglossum latifolium,Cynoglossum latifolium,,sapling,15,,,perennial herb,,1,78,
Gambubal,-28.03,152.83,Subtropical forest,1199,early 1993,Gallium migrans,Gallium migrans,,sapling,16,,,herb,,8,196,
Gambubal,-28.03,152.83,Subtropical forest,1199,early 1993,Geranium solandre,Geranium solandre,,sapling,17,,,herb,,6,17,
Gambubal,-28.03,152.83,Subtropical forest,1199,early 1993,Hibbertia scandens,Hibbertia scandens,,,670,,,herb,,11,20,
Gambubal,-28.03,152.83,Subtropical forest,1199,early 1993,Hydrocotyle pedicellosa,Hydrocotyle pedicellosa,,,777,,,herb ,,11,14,
Gambubal,-28.03,152.83,Subtropical forest,1199,early 1993,Hydrocotyle peduncularis,Hydrocotyle peduncularis,,,778,,,herb,,1,117,
Gambubal,-28.03,152.83,Subtropical forest,1199,early 1993,Palmeria scandens,Palmeria scandens,,,780,,,shrub,,1,16,
Gambubal,-28.03,152.83,Subtropical forest,1199,early 1993,Pimelea ligustrina,Pimelea ligustrina,,,672,,,shrub,,0,37,
Gambubal,-28.03,152.83,Subtropical forest,1199,early 1993,Polyscias elegans,Polyscias elegans,,,671,,,tree,,4,61,
Gambubal,-28.03,152.83,Subtropical forest,1199,early 1993,Rubus moluccanus,Rubus moluccanus,,,783,,,shrub,,6,38,
Gambubal,-28.03,152.83,Subtropical forest,1199,early 1993,Sloanea woolsii,Sloanea woolsii,,,761,,,seedling,,0,40,
