site,lab_or_tree_number,family,name_edited,delta_13C
Loganholme,L1,Elaeocarpaceae,Elaeocarpus obovatus,-28.02
Loganholme,L4,Elaeocarpaceae,Elaeocarpus obovatus,-30.70
Loganholme,L14,Elaeocarpaceae,Elaeocarpus obovatus,-29.86
Loganholme,L21,Elaeocarpaceae,Elaeocarpus obovatus,-28.11
Loganholme,L2,Myrtaceae,Melaleuca quinquinervia,-30.69
Loganholme,L19,Myrtaceae,Melaleuca quinquinervia,-30.43
Loganholme,,Myrtaceae,Melaleuca quinquinervia,-29.35
Loganholme,L19,Myrtaceae,Melaleuca quinquinervia,-27.13
Loganholme,MQ1,Myrtaceae,Melaleuca quinquinervia,-30.92
Loganholme,,Myrtaceae,Melaleuca quinquinervia,-30.31
Loganholme,L13,Myrtaceae,Callistemon saligna,-29.80
Loganholme,CS1,Myrtaceae,Callistemon saligna,-30.35
Loganholme,L15,Myrtaceae,Eucalyptus robusta,-27.33
Loganholme,LC2,Myrtaceae,Lophostemon confertus,-27.65
Loganholme,L3,Lauraceae,Cryptocarya erythroxylon,-27.53
Loganholme,L5,Rhamnaceae,Alphitonia excelsa,-28.68
Loganholme,L10,Rhamnaceae,Alphitonia excelsa,-27.15
Loganholme,,Rhamnaceae,Alphitonia excelsa,-24.96
Loganholme,L11,Rhamnaceae,Alphitonia excelsa,-26.15
Loganholme,L6,Casuarinaceae,Casuarina glauca,-29.67
Loganholme,,Casuarinaceae,Casuarina glauca,-29.94
Loganholme,L7,Euphorbiaceae,Glochidion sumatranum,-28.03
Loganholme,L8,Sapindaceae,Cupaniopsis anacardioides,-29.67
Loganholme,,Sapindaceae,Cupaniopsis anacardioides,-30.77
Loganholme,L9,Mimosaceae,Acacia aulacocarpa,-30.21
Loganholme,L18,Mimosaceae,Acacia aulacocarpa,-28.17
Loganholme,L16,Pittosporaceae,Pittosporum undulatum,-29.37
Loganholme,DA1,Pittosporaceae,Drypetes australasica,-29.44
Loganholme,L1,Elaeocarpaceae,Elaeocarpus obovatus,-28.13
Loganholme,L4,Elaeocarpaceae,Elaeocarpus obovatus,-30.66
Loganholme,L14,Elaeocarpaceae,Elaeocarpus obovatus,-29.83
Loganholme,L21,Elaeocarpaceae,Elaeocarpus obovatus,-28.06
Loganholme,L2,Myrtaceae,Melaleuca quinquinervia,-30.68
Loganholme,L19,Myrtaceae,Melaleuca quinquinervia,-30.37
Loganholme,,Myrtaceae,Melaleuca quinquinervia,-29.23
Loganholme,L19,Myrtaceae,Melaleuca quinquinervia,-27.05
Loganholme,MQ1,Myrtaceae,Melaleuca quinquinervia,-30.94
Loganholme,,Myrtaceae,Melaleuca quinquinervia,-30.33
Loganholme,L13,Myrtaceae,Callistemon saligna,-29.86
Loganholme,CS1,Myrtaceae,Callistemon saligna,-30.37
Loganholme,L15,Myrtaceae,Eucalyptus robusta,-27.31
Loganholme,LC2,Myrtaceae,Lophostemon confertus,-27.69
Loganholme,L3,Lauraceae,Cryptocarya erythroxylon,-27.48
Loganholme,L5,Rhamnaceae,Alphitonia excelsa,-28.66
Loganholme,L10,Rhamnaceae,Alphitonia excelsa,-27.12
Loganholme,,Rhamnaceae,Alphitonia excelsa,-25.12
Loganholme,L11,Rhamnaceae,Alphitonia excelsa,-26.14
Loganholme,L6,Casuarinaceae,Casuarina glauca,-29.78
Loganholme,,Casuarinaceae,Casuarina glauca,-29.96
Loganholme,L7,Euphorbiaceae,Glochidion sumatranum,-28.00
Loganholme,L8,Sapindaceae,Cupaniopsis anacardioides,-29.81
Loganholme,,Sapindaceae,Cupaniopsis anacardioides,-30.80
Loganholme,L9,Mimosaceae,Acacia aulacocarpa,-30.38
Loganholme,L18,Mimosaceae,Acacia aulacocarpa,-28.08
Loganholme,L16,Pittosporaceae,Pittosporum undulatum,-29.53
Loganholme,DA1,Pittosporaceae,Drypetes australasica,-29.45
Loganholme,L1,Elaeocarpaceae,Elaeocarpus obovatus,-28.08
Loganholme,L4,Elaeocarpaceae,Elaeocarpus obovatus,-30.58
Loganholme,L14,Elaeocarpaceae,Elaeocarpus obovatus,-29.84
Loganholme,L21,Elaeocarpaceae,Elaeocarpus obovatus,-31.10
Loganholme,L2,Myrtaceae,Melaleuca quinquinervia,-30.62
Loganholme,L19,Myrtaceae,Melaleuca quinquinervia,-30.47
Loganholme,,Myrtaceae,Melaleuca quinquinervia,-29.31
Loganholme,L19,Myrtaceae,Melaleuca quinquinervia,-27.15
Loganholme,MQ1,Myrtaceae,Melaleuca quinquinervia,-30.90
Loganholme,,Myrtaceae,Melaleuca quinquinervia,-30.34
Loganholme,L13,Myrtaceae,Callistemon saligna,-29.79
Loganholme,CS1,Myrtaceae,Callistemon saligna,-30.34
Loganholme,L15,Myrtaceae,Eucalyptus robusta,-27.23
Loganholme,LC2,Myrtaceae,Lophostemon confertus,-27.75
Loganholme,L3,Lauraceae,Cryptocarya erythroxylon,-27.42
Loganholme,L5,Rhamnaceae,Alphitonia excelsa,-28.58
Loganholme,L10,Rhamnaceae,Alphitonia excelsa,-26.91
Loganholme,,Rhamnaceae,Alphitonia excelsa,-25.02
Loganholme,L11,Rhamnaceae,Alphitonia excelsa,-26.17
Loganholme,L6,Casuarinaceae,Casuarina glauca,-29.68
Loganholme,,Casuarinaceae,Casuarina glauca,-29.96
Loganholme,L7,Euphorbiaceae,Glochidion sumatranum,-27.82
Loganholme,L8,Sapindaceae,Cupaniopsis anacardioides,-29.63
Loganholme,,Sapindaceae,Cupaniopsis anacardioides,-30.73
Loganholme,L9,Mimosaceae,Acacia aulacocarpa,-30.47
Loganholme,L18,Mimosaceae,Acacia aulacocarpa,-28.06
Loganholme,L16,Pittosporaceae,Pittosporum undulatum,-29.41
Loganholme,DA1,Pittosporaceae,Drypetes australasica,-29.46
