Author(s),source_id,Country,Region,Family,Species,Plant type,Annual or perennial nature,leaf color,Pi,Po,Metabolite_P,Metbolic_P,Lipid_P,Nucleic_P,Residual_P,Total_P
Close and Beadle 2004,Close_2004,Australia,Aus_NZ,Myrtaceae,Eucalyptus nitens,Tree,perennial,G,1147,*,*,*,*,740,*,3700
Close and Beadle 2004,Close_2004,Australia,Aus_NZ,Myrtaceae,Eucalyptus globulus,Tree,perennial,G,1007,*,*,*,*,1219,*,5300
Close and Beadle 2004,Close_2004,Australia,Aus_NZ,Myrtaceae,Eucalyptus nitens,Tree,perennial,G,1415,*,*,*,*,1292,*,6150
Close and Beadle 2004,Close_2004,Australia,Aus_NZ,Myrtaceae,Eucalyptus nitens,Tree,perennial,G,1896,*,*,*,*,1422,*,7900
Hooda and Weston 1999,Hooda_1999,Australia,Aus_NZ,Myrtaceae,Eucalyptus globulus,Tree,perennial,G,238,*,*,*,*,*,176,724
Hooda and Weston 1999,Hooda_1999,Australia,Aus_NZ,Myrtaceae,Eucalyptus globulus,Tree,perennial,G,220,*,*,*,*,*,110,599
Hooda and Weston 1999,Hooda_1999,Australia,Aus_NZ,Myrtaceae,Eucalyptus globulus,Tree,perennial,G,362,*,*,*,*,*,141,825
Hooda and Weston 1999,Hooda_1999,Australia,Aus_NZ,Myrtaceae,Eucalyptus globulus,Tree,perennial,G,303,*,*,*,*,*,191,784
Hooda and Weston 1999,Hooda_1999,Australia,Aus_NZ,Myrtaceae,Eucalyptus globulus,Tree,perennial,G,308,*,*,*,*,*,46,668
Hooda and Weston 1999,Hooda_1999,Australia,Aus_NZ,Myrtaceae,Eucalyptus globulus,Tree,perennial,G,253,*,*,*,*,*,54,579
Hooda and Weston 1999,Hooda_1999,Australia,Aus_NZ,Myrtaceae,Eucalyptus globulus,Tree,perennial,G,330,*,*,*,*,*,65,707
Hooda and Weston 1999,Hooda_1999,Australia,Aus_NZ,Myrtaceae,Eucalyptus globulus,Tree,perennial,G,338,*,*,*,*,*,92,733
Hooda and Weston 1999,Hooda_1999,Australia,Aus_NZ,Myrtaceae,Eucalyptus globulus,Tree,perennial,G,487,*,*,*,*,*,174,1099
