species,trait_name,trait_value,number_records,percent_records,notes
Banksia aculeata,growth_form,shrub,12,100,
Banksia aculeata,growth_response,"killed, new seedlings",9,78,
Banksia aculeata,growth_response,unspecified,9,22,
Banksia aculeata,flowering_response,occurred after fire,6,,
Banksia aculeata,flowering_response,median time to flowering: 25-36 months,6,,
Banksia aculeata,flowering_response,minimum time to flowering: <1 month,6,,
Banksia aculeata,flowering_response,not occurred after fire,3,,
Banksia aculeata,flowering_response,median time to no flowering: 13-24 months,3,,
Banksia aculeata,flowering_response,maximum time to no flowering: 25-36 months,3,,
Banksia aculeata,pollinator_type,no pollinator observed,3,100,
Banksia aculeata,months_flowering_range,Feb,2,,only month with 'majority flowers fully open' records in the monthly chart; text: 'Flowering was recorded once (in February)'
Banksia aculeata,months_flowering_peak,Feb,2,,
Banksia aculeata,months_fruiting_cones_present,"May, Jun, Sep, Oct",,,"read from monthly bar chart; non-contiguous months, low sample (1-6 records/month)"
Banksia aemula,growth_form,tree,273,60,
Banksia aemula,growth_form,shrub,273,38,
Banksia aemula,growth_form,unspecified,273,3,
Banksia aemula,growth_response,ground resprout,51,18,
Banksia aemula,growth_response,ground resprout and trunk resprout,51,20,
Banksia aemula,growth_response,"killed, new seedlings and trunk resprout",51,2,
Banksia aemula,growth_response,trunk resprout,51,39,
Banksia aemula,growth_response,unspecified,51,22,
Banksia aemula,flowering_response,occurred after fire,30,,
Banksia aemula,flowering_response,median time to flowering: 1-12 months,30,,
Banksia aemula,flowering_response,minimum time to flowering: <1 month,30,,
Banksia aemula,flowering_response,not occurred after fire,7,,
Banksia aemula,flowering_response,median time to no flowering: 1-12 months,7,,
Banksia aemula,flowering_response,maximum time to no flowering: 25-36 months,7,,
Banksia aemula,pollinator_type,bird,109,29,
Banksia aemula,pollinator_type,"bees, wasps, ants",109,18,
Banksia aemula,pollinator_type,"butterflies, moths",109,1,
Banksia aemula,pollinator_type,no pollinator observed,109,51,
Banksia aemula,specific_pollinator,honeyeater (unspecified),10,,
Banksia aemula,specific_pollinator,New Holland Honeyeater,2,,
Banksia aemula,specific_pollinator,Brown Honeyeater,4,,
Banksia aemula,specific_pollinator,White-cheeked Honeyeater,6,,
Banksia aemula,specific_pollinator,Tawny-crowned Honeyeater,1,,
Banksia aemula,specific_pollinator,Noisy Miner,1,,
Banksia aemula,specific_pollinator,wattlebird (unspecified),2,,
Banksia aemula,specific_pollinator,Little Wattlebird,2,,
Banksia aemula,specific_pollinator,friarbird (unspecified),2,,
Banksia aemula,specific_pollinator,Noisy Friarbird,1,,
Banksia aemula,specific_pollinator,lorikeets and allies (unspecified),2,,
Banksia aemula,specific_pollinator,Rainbow Lorikeet,1,,
Banksia aemula,specific_pollinator,flycatchers and allies (unspecified),1,,
Banksia aemula,specific_pollinator,ant,3,,
Banksia aemula,specific_pollinator,bee (unspecified),9,,
Banksia aemula,specific_pollinator,European honey bee,3,,
Banksia aemula,months_flowering_range,Jan-Oct,,,from Discussion text: 'B. aemula flowers from January to October'; monthly chart shows some 'fully open' bar in every month
Banksia aemula,months_flowering_peak,Feb-Mar,,,Discussion text: 'though mainly in February and March'
