species_name,site,collection_date,location,parasitism_status,host_availability_index,photosynthesis_per_area,count_photosynthesis_per_area,transpiration_per_area,count_transpiration_per_area,water_use_efficiency,count_water_use_efficiency,leaf_dry_matter_d13C_gas_exchange_canopy,count_leaf_dry_matter_d13C_gas_exchange_canopy,leaf_dry_matter_d13C_bulk_shoot,count_leaf_dry_matter_d13C_bulk_shoot,leaf_delta15N,count_leaf_delta15N,root_Ks_stele_area_basis,root_vessel_radius,root_vessel_lumina_pct_stele_area,root_Ks_total_vessel_lumina_area_basis,value_source,notes,resprouting_capacity,bud_bank_location,clonal_spread_mechanism,vegetative_reproduction_ability
Santalum acuminatum,Site A,1995-09,,,,3.05±0.27,5,0.91±0.10,5,3.72±0.62,5,-28.6±0.1,5,,,,,,,,,text (Table 1),,resprouts,basal_buds,root_buds,vegetative
Acacia rostellifera,Site A,1995-09,,,,7.71±0.32,5,1.57±0.07,5,4.98±0.23,5,-28.7±0.2,5,,,,,,,,,text (Table 1),,,,,
Santalum acuminatum,Site A,1996-01,,,,3.14±1.50,5,1.50±0.13,5,2.21±0.14,5,-27.6±0.5,5,,,,,,,,,text (Table 1),,resprouts,basal_buds,root_buds,vegetative
Acacia rostellifera,Site A,1996-01,,,,9.54±0.53,5,3.65±0.22,5,2.71±0.13,5,-28.1±0.3,5,,,,,,,,,text (Table 1),,,,,
Santalum acuminatum,Site A,1996-04,,,,1.48±0.34,5,1.08±0.23,5,1.34±0.07,5,-27.6±0.3,5,,,,,,,,,text (Table 1),,resprouts,basal_buds,root_buds,vegetative
Acacia rostellifera,Site A,1996-04,,,,5.03±0.45,5,2.13±0.22,5,2.40±0.14,5,-28.1±0.1,5,,,,,,,,,text (Table 1),,,,,
Santalum acuminatum,Site A,1996-07,,,,2.88±0.17,5,1.06±0.10,5,2.88±0.24,5,-27.3±0.1,5,,,,,,,,,text (Table 1),,resprouts,basal_buds,root_buds,vegetative
Acacia rostellifera,Site A,1996-07,,,,4.25±0.30,5,1.52±0.11,5,2.90±0.27,5,-28.3±0.6,5,,,,,,,,,text (Table 1),,,,,
Santalum acuminatum,Site A,1995-08,,,NA,,,,,,,,,-27.6,20,-0.13±0.01,20,,,,,"text (d15N, Fig 5); text (d13C, Fig 6)",,resprouts,basal_buds,root_buds,vegetative
Acacia rostellifera,Site A,1995-08,,,52,,,,,,,,,-27.2,20,0.89±0.08,20,,,,,"text (d15N, Fig 5); figure_digitized (d13C, Fig 6)",,,,,
Acacia pulchella,Site A,1995-08,,,6,,,,,,,,,-25.85,20,-0.35±0.10,20,,,,,"text (d15N, Fig 5); figure_digitized (d13C, Fig 6)",,,,,
Melaleuca viminea,Site A,1995-08,,,4,,,,,,,,,-26.1,20,1.3,20,,,,,"figure_digitized (d15N, Fig 5); figure_digitized (d13C, Fig 6)",,,,,
Cryptandra mutila,Site A,1995-08,,,4,,,,,,,,,-26.5,20,1.75,20,,,,,"figure_digitized (d15N, Fig 5); figure_digitized (d13C, Fig 6)",,,,,
Alyogyne hakeaefolia,Site A,1995-08,,,3,,,,,,,,,-25.55,20,4.7,20,,,,,"figure_digitized (d15N, Fig 5); figure_digitized (d13C, Fig 6)",,,,,
Baeckea tetragona,Site A,1995-08,,,1,,,,,,,,,-24.6,20,3.95,20,,,,,"figure_digitized (d15N, Fig 5); figure_digitized (d13C, Fig 6)",,,,,
Anthocercis viscosa,Site A,1995-08,,,1,,,,,,,,,-25.85,20,1.45,20,,,,,"figure_digitized (d15N, Fig 5); figure_digitized (d13C, Fig 6)",,,,,
Spyridium cordatum,Site A,1995-08,,,>1,,,,,,,,,-26.9,20,0.9,20,,,,,"figure_digitized (d15N, Fig 5); figure_digitized (d13C, Fig 6)",,,,,
Exocarpos sparteus,Site A,1995-08,,,>1,,,,,,,,,-25.75,20,2.3,20,,,,,"figure_digitized (d15N, Fig 5); figure_digitized (d13C, Fig 6)",,,,,
Dodonaea aptera,Site A,1995-08,,,>1,,,,,,,,,-25.75,20,1.0,20,,,,,"figure_digitized (d15N, Fig 5); figure_digitized (d13C, Fig 6)",,,,,
Santalum acuminatum,Site B,1996-09,,,NA,,,,,,,,,-26.8,20,-0.64±0.15,20,,,,,"text (d15N, Fig 5); text (d13C, Fig 6)",,resprouts,basal_buds,root_buds,vegetative
Allocasuarina campestris,Site B,1996-09,,,66,,,,,,,,,-26.85,20,-1.34±0.15,20,,,,,"text (d15N, Fig 5); figure_digitized (d13C, Fig 6)",,,,,
Acacia pulchella,Site B,1996-09,,,6,,,,,,,,,-27.7,20,-1.5,20,,,,,"figure_digitized (d15N, Fig 5); figure_digitized (d13C, Fig 6)",,,,,
Leucopogon ovalifolius,Site B,1996-09,,,4,,,,,,,,,-28.3,20,-3.7,20,,,,,"figure_digitized (d15N, Fig 5); figure_digitized (d13C, Fig 6)",,,,,
Spyridium cordatum,Site B,1996-09,,,2,,,,,,,,,-25.15,20,-2.6,20,,,,,"figure_digitized (d15N, Fig 5); figure_digitized (d13C, Fig 6)",,,,,
Lysinema ciliatum,Site B,1996-09,,,2,,,,,,,,,-26.9,20,-3.75,20,,,,,"figure_digitized (d15N, Fig 5); figure_digitized (d13C, Fig 6)",,,,,
Melaleuca viminea,Site B,1996-09,,,2,,,,,,,,,-28.7,20,-0.45,20,,,,,"figure_digitized (d15N, Fig 5); figure_digitized (d13C, Fig 6)",,,,,
Gompholobium tomentosum,Site B,1996-09,,,>1,,,,,,,,,-27.9,20,-1.9,20,,,,,"figure_digitized (d15N, Fig 5); figure_digitized (d13C, Fig 6)",,,,,
Desmocladus asperus,Site B,1996-09,,,>1,,,,,,,,,-27.95,20,-2.5,20,,,,,"figure_digitized (d15N, Fig 5); figure_digitized (d13C, Fig 6)",,,,,
Hemiandra pungens,Site B,1996-09,,,>1,,,,,,,,,-25.6,20,-2.3,20,,,,,"figure_digitized (d15N, Fig 5); figure_digitized (d13C, Fig 6)",,,,,
Conostylis candicans,Site B,1996-09,,,>1,,,,,,,,,-27.85,20,-3.5,20,,,,,"figure_digitized (d15N, Fig 5); figure_digitized (d13C, Fig 6)",,,,,
Santalum acuminatum,Site C,1996-09,,,NA,,,,,,,,,-27.6,20,-1.04±0.15,20,,,,,"text (d15N, Fig 5); text (d13C, Fig 6)",,resprouts,basal_buds,root_buds,vegetative
Acacia pulchella,Site C,1996-09,,,55,,,,,,,,,-27.2,20,-0.69±0.16,20,,,,,"text (d15N, Fig 5); figure_digitized (d13C, Fig 6)",,,,,
Phyllanthus calycinus,Site C,1996-09,,,8,,,,,,,,,-24.85,20,1.4,20,,,,,"figure_digitized (d15N, Fig 5); figure_digitized (d13C, Fig 6)",,,,,
Melaleuca viminea,Site C,1996-09,,,6,,,,,,,,,-27.75,20,1.95,20,,,,,"figure_digitized (d15N, Fig 5); figure_digitized (d13C, Fig 6)",,,,,
Acacia rostellifera,Site C,1996-09,,,3,,,,,,,,,-26.5,20,0.6,20,,,,,"figure_digitized (d15N, Fig 5); figure_digitized (d13C, Fig 6)",,,,,
Allocasuarina campestris,Site C,1996-09,,,2,,,,,,,,,-26.5,20,0.45,20,,,,,"figure_digitized (d15N, Fig 5); figure_digitized (d13C, Fig 6)",,,,,
Desmocladus asperus,Site C,1996-09,,,>1,,,,,,,,,-27.4,20,0.5,20,,,,,"figure_digitized (d15N, Fig 5); figure_digitized (d13C, Fig 6)",,,,,
Hemiandra pungens,Site C,1996-09,,,>1,,,,,,,,,-26.2,20,1.45,20,,,,,"figure_digitized (d15N, Fig 5); figure_digitized (d13C, Fig 6)",,,,,
Santalum acuminatum,Site A,,1,,,,,,,,,,,,,,,0.7,65,16,0.08,"figure_digitized (Fig 7, confidence=medium)",,resprouts,basal_buds,root_buds,vegetative
Acacia rostellifera,Site A,,1,unparasitised,,,,,,,,,,,,,,1.5,110,22,0.1,"figure_digitized (Fig 7, confidence=low)",,,,,
Acacia rostellifera,Site A,,1,parasitised,,,,,,,,,,,,,,1.3,90,16,0.08,"figure_digitized (Fig 7, confidence=low)",,,,,
