Abbreviation,Yrs,Ht,Length,Width,Diam,SLA,SD,SD_MASS,N,count_plants,Family,Genus,species,species_binomial,site
Acabra,0,0.1,0.1,0.1,NA,NA,NA,NA,NA,1,Mimosaceae,Acacia,bractybotrya,Acacia bractybotrya,MurraySunset
Acabra,2,120,120,100,13,NA,NA,NA,NA,6,Mimosaceae,Acacia,bractybotrya,Acacia bractybotrya,MurraySunset
Acabra,8,125,180,155,15.94,NA,NA,NA,NA,4,Mimosaceae,Acacia,bractybotrya,Acacia bractybotrya,MurraySunset
Acabra,15,110,120,200,14,NA,NA,NA,NA,5,Mimosaceae,Acacia,bractybotrya,Acacia bractybotrya,MurraySunset
Acabra,28,170,260,160,41.31,NA,NA,NA,NA,3,Mimosaceae,Acacia,bractybotrya,Acacia bractybotrya,MurraySunset
Acabra,41,270,340,340,42,NA,NA,NA,NA,8,Mimosaceae,Acacia,bractybotrya,Acacia bractybotrya,MurraySunset
Acamon,0,0.1,0.1,0.1,NA,NA,NA,NA,NA,1,Mimosaceae,Acacia,montana,Acacia montana,MurraySunset
Acamon,4,85,120,85,16.94,NA,NA,NA,NA,6,Mimosaceae,Acacia,montana,Acacia montana,MurraySunset
Acamon,6,170,300,310,66.54,NA,NA,NA,NA,5,Mimosaceae,Acacia,montana,Acacia montana,MurraySunset
Acamon,8,95,174,125,29.66,NA,NA,NA,NA,8,Mimosaceae,Acacia,montana,Acacia montana,MurraySunset
Acamon,13,110,150,190,50,NA,NA,NA,NA,7,Mimosaceae,Acacia,montana,Acacia montana,MurraySunset
Acamon,15,95,140,155,22.7,NA,NA,NA,NA,4,Mimosaceae,Acacia,montana,Acacia montana,MurraySunset
Acamon,26,128,382,415,5.5,NA,NA,NA,NA,3,Mimosaceae,Acacia,montana,Acacia montana,MurraySunset
Acamon,28,110,210,160,23,NA,NA,NA,NA,6,Mimosaceae,Acacia,montana,Acacia montana,MurraySunset
Acamon,33,170,440,390,95.51,NA,NA,NA,NA,6,Mimosaceae,Acacia,montana,Acacia montana,MurraySunset
Acamon,36,170,370,390,59.53,NA,NA,NA,NA,3,Mimosaceae,Acacia,montana,Acacia montana,MurraySunset
Acamon,41,210,390,420,130.13,NA,NA,NA,NA,14,Mimosaceae,Acacia,montana,Acacia montana,MurraySunset
Acawil,0,0.1,0.1,0.1,NA,NA,NA,NA,NA,1,Mimosaceae,Acacia,wilhelmiana,Acacia wilhelmiana,MurraySunset
Acawil,2,95,140,135,29.16,NA,NA,NA,NA,15,Mimosaceae,Acacia,wilhelmiana,Acacia wilhelmiana,MurraySunset
Acawil,3,50,72,65,1.5,NA,NA,NA,NA,1,Mimosaceae,Acacia,wilhelmiana,Acacia wilhelmiana,MurraySunset
Acawil,4,95,150,157,32.88,NA,NA,NA,NA,14,Mimosaceae,Acacia,wilhelmiana,Acacia wilhelmiana,MurraySunset
Acawil,6,160,280,270,51.96,NA,NA,NA,NA,9,Mimosaceae,Acacia,wilhelmiana,Acacia wilhelmiana,MurraySunset
Acawil,8,210,320,330,116.57,NA,NA,NA,NA,24,Mimosaceae,Acacia,wilhelmiana,Acacia wilhelmiana,MurraySunset
Acawil,13,145,200,210,58,NA,NA,NA,NA,17,Mimosaceae,Acacia,wilhelmiana,Acacia wilhelmiana,MurraySunset
Acawil,15,130,200,200,34.61,NA,NA,NA,NA,9,Mimosaceae,Acacia,wilhelmiana,Acacia wilhelmiana,MurraySunset
Acawil,26,200,330,340,6,NA,NA,NA,NA,3,Mimosaceae,Acacia,wilhelmiana,Acacia wilhelmiana,MurraySunset
Acawil,28,160,350,350,101.76,NA,NA,NA,NA,3,Mimosaceae,Acacia,wilhelmiana,Acacia wilhelmiana,MurraySunset
Acawil,33,200,370,360,53.59,NA,NA,NA,NA,7,Mimosaceae,Acacia,wilhelmiana,Acacia wilhelmiana,MurraySunset
Acawil,36,175,400,360,171.1,NA,NA,NA,NA,4,Mimosaceae,Acacia,wilhelmiana,Acacia wilhelmiana,MurraySunset
Acawil,41,320,520,520,141.21,NA,NA,NA,NA,17,Mimosaceae,Acacia,wilhelmiana,Acacia wilhelmiana,MurraySunset
Beyopa,0,0.1,0.1,0.1,NA,NA,NA,NA,NA,1,Euphorbiaceae,Beyeria,opaca,Beyeria opaca,MurraySunset
Beyopa,2,45,36,34,15,NA,NA,NA,NA,11,Euphorbiaceae,Beyeria,opaca,Beyeria opaca,MurraySunset
Beyopa,4,100,90,80,15,NA,NA,NA,NA,7,Euphorbiaceae,Beyeria,opaca,Beyeria opaca,MurraySunset
Beyopa,6,80,115,90,15,NA,NA,NA,NA,6,Euphorbiaceae,Beyeria,opaca,Beyeria opaca,MurraySunset
Beyopa,8,75,75,70,NA,NA,NA,NA,NA,8,Euphorbiaceae,Beyeria,opaca,Beyeria opaca,MurraySunset
Beyopa,13,85,80,80,5,NA,NA,NA,NA,5,Euphorbiaceae,Beyeria,opaca,Beyeria opaca,MurraySunset
