,SPP,SLA,SD,SD_MASS,N,Yrs,Ht,Length,Width,Diam
1,Acabra,4.11,0.81,21.86,1.46,0,0.1,0.1,0.1,NA
2,Acabra,4.11,0.81,21.86,1.46,8,90,140,120,15
3,Acabra,4.11,0.81,21.86,1.46,15,100,120,200,13
4,Acabra,4.11,0.81,21.86,1.46,2,70,110,50,10
5,Acabra,4.11,0.81,21.86,1.46,41,250,200,200,30
6,Acabra,4.11,0.81,21.86,1.46,41,270,340,340,40
7,Acabra,4.11,0.81,21.86,1.46,15,100,50,60,11
8,Acabra,4.11,0.81,21.86,1.46,15,110,100,110,12
9,Acabra,4.11,0.81,21.86,1.46,15,85,110,60,10
10,Acabra,4.11,0.81,21.86,1.46,41,190,230,230,25
11,Acabra,4.11,0.81,21.86,1.46,8,95,145,125,13.99
12,Acabra,4.11,0.81,21.86,1.46,15,90,110,110,14
13,Acabra,4.11,0.81,21.86,1.46,28,170,260,140,35.38
14,Acabra,4.11,0.81,21.86,1.46,2,110,90,90,13
15,Acabra,4.11,0.81,21.86,1.46,28,160,195,150,41.31
16,Acabra,4.11,0.81,21.86,1.46,8,125,180,155,15.94
17,Acabra,4.11,0.81,21.86,1.46,2,100,110,100,12
18,Acabra,4.11,0.81,21.86,1.46,41,160,160,200,20
19,Acabra,4.11,0.81,21.86,1.46,2,60,60,85,7
20,Acabra,4.11,0.81,21.86,1.46,28,125,150,160,17.28
21,Acabra,4.11,0.81,21.86,1.46,2,120,70,70,10
22,Acabra,4.11,0.81,21.86,1.46,41,240,300,300,40
23,Acabra,4.11,0.81,21.86,1.46,8,125,160,90,10
24,Acabra,4.11,0.81,21.86,1.46,41,80,300,160,25
25,Acabra,4.11,0.81,21.86,1.46,41,200,300,320,42
26,Acabra,4.11,0.81,21.86,1.46,41,240,250,250,35
27,Acabra,4.11,0.81,21.86,1.46,2,80,120,60,10
28,Acamon,3.59,0.91,10.4,1.56,41,160,280,300,52.58
29,Acamon,3.59,0.91,10.4,1.56,41,105,390,230,19.21
30,Acamon,3.59,0.91,10.4,1.56,41,150,350,300,36.61
31,Acamon,3.59,0.91,10.4,1.56,41,130,290,280,55.7
32,Acamon,3.59,0.91,10.4,1.56,33,140,220,200,35.7
33,Acamon,3.59,0.91,10.4,1.56,4,85,110,75,16.94
34,Acamon,3.59,0.91,10.4,1.56,4,65,60,77,9.11
35,Acamon,3.59,0.91,10.4,1.56,8,95,100,70,9.86
36,Acamon,3.59,0.91,10.4,1.56,41,130,275,270,39.94
