Species,Long,Lat,log_LA.SA,Sample,basis_of_record,entity_type,value_type,Height,Alpha,MI,References,location_name,source_id
Ceratopetalum apetalum ,150.0333333,-35.58333333,2.787812396,trunk sample,field,population,mean,,0.574502069,0.994401015,Barrett et al. 1996,lat_-35.58_lon_150.03,Barrett_1996
Doryphora sassafras ,150.0333333,-35.58333333,2.76700389,trunk sample,field,population,mean,,0.574502069,0.994401015,Barrett et al. 1996,lat_-35.58_lon_150.03,Barrett_1996
Eucalyptus maculata ,150.0333333,-35.58333333,3.218963061,trunk sample,field,population,mean,,0.574502069,0.994401015,Barrett et al. 1996,lat_-35.58_lon_150.03,Barrett_1996
Eucalyptus camaldulensis ,149.0333333,-32.7,3.459670525,trunk sample,captive_cultivated,individual,raw,,0.335759606,0.275243802,Benyon et al. 1999,lat_-32.7_lon_149.03,Benyon_1999
Eucalyptus camaldulensis ,149.0333333,-32.7,3.568636236,trunk sample,captive_cultivated,individual,raw,,0.335759606,0.275243802,Benyon et al. 1999,lat_-32.7_lon_149.03,Benyon_1999
Eucalyptus camaldulensis ,149.0333333,-32.7,3.501689446,trunk sample,captive_cultivated,individual,raw,6.7,0.460883508,0.543215325,Benyon et al. 1999,lat_-32.7_lon_149.03,Benyon_1999
Eucalyptus camaldulensis ,149.0333333,-32.7,3.48148606,trunk sample,captive_cultivated,individual,raw,4.8,0.460883508,0.543215325,Benyon et al. 1999,lat_-32.7_lon_149.03,Benyon_1999
Eucalyptus occidentalis ,149.0333333,-32.7,3.505845406,trunk sample,captive_cultivated,individual,raw,,0.335759606,0.275243802,Benyon et al. 1999,lat_-32.7_lon_149.03,Benyon_1999
Eucalyptus occidentalis ,149.0333333,-32.7,3.48148606,trunk sample,captive_cultivated,individual,raw,6.9,0.460883508,0.543215325,Benyon et al. 1999,lat_-32.7_lon_149.03,Benyon_1999
Eucalyptus marginata ,116.0166667,-32.65,3.42945706,branch sample,field captive_cultivated,individual,raw,,0.419727455,0.494142589,Bleby et al.2009,lat_-32.65_lon_116.02,Bleby_2009
Eucalyptus marginata ,116.0166667,-32.65,3.581698709,branch sample,field captive_cultivated,individual,raw,,0.419727455,0.494142589,Bleby et al.2009,lat_-32.65_lon_116.02,Bleby_2009
Eucalyptus marginata ,116.0166667,-32.65,3.57024772,branch sample,field captive_cultivated,individual,raw,,0.419727455,0.494142589,Bleby et al.2009,lat_-32.65_lon_116.02,Bleby_2009
Eucalyptus coccifera ,146.5833333,-42.68333333,3.542118103,branch sample,field,population,mean,,0.888741027,2.303332064,Brodribb and Felid 2000,lat_-42.68_lon_146.58,Brodribb_2000
Atherosperma moschatum ,146.5833333,-42.68333333,3.459670525,branch sample,field,population,mean,,0.888741027,2.303332064,Brodribb and Felid 2000,lat_-42.68_lon_146.58,Brodribb_2000
Diselma archeri ,146.5833333,-42.68333333,2.860120914,branch sample,field,population,mean,,0.888741027,2.303332064,Brodribb and Felid 2000,lat_-42.68_lon_146.58,Brodribb_2000
Leptospermum rupestre ,146.5833333,-42.68333333,3.017728767,branch sample,field,population,mean,,0.888741027,2.303332064,Brodribb and Felid 2000,lat_-42.68_lon_146.58,Brodribb_2000
Nothofagus cunninghamii ,146.5833333,-42.68333333,3.123205024,branch sample,field,population,mean,,0.888741027,2.303332064,Brodribb and Felid 2000,lat_-42.68_lon_146.58,Brodribb_2000
Phyllocladus aspleniifolius ,146.5833333,-42.68333333,3.524328812,branch sample,field,population,mean,,0.888741027,2.303332064,Brodribb and Felid 2000,lat_-42.68_lon_146.58,Brodribb_2000
Podocarpus lawrencei,146.5833333,-42.68333333,3.032920266,branch sample,field,population,mean,,0.888741027,2.303332064,Brodribb and Felid 2000,lat_-42.68_lon_146.58,Brodribb_2000
Richea scoparium ,146.5833333,-42.68333333,2.677780705,branch sample,field,population,mean,,0.888741027,2.303332064,Brodribb and Felid 2000,lat_-42.68_lon_146.58,Brodribb_2000
Tasmannia lanceolata ,146.5833333,-42.68333333,3.173925197,branch sample,field,population,mean,,0.888741027,2.303332064,Brodribb and Felid 2000,lat_-42.68_lon_146.58,Brodribb_2000
Eucalyptus kochii,116.2166667,-30.04111111,3.511449283,trunk sample,captive_cultivated,individual,raw,,0.174899369,0.190103726,Brooksbank et al. 2011 ,lat_-30.04_lon_116.22,Brooksbank_2011 
Eucalyptus kochii,116.2166667,-30.04111111,3.493494968,trunk sample,captive_cultivated,individual,raw,,0.174899369,0.190103726,Brooksbank et al. 2011 ,lat_-30.04_lon_116.22,Brooksbank_2011 
Eucalyptus kochii,116.2166667,-30.04111111,3.496209317,trunk sample,captive_cultivated,individual,raw,,0.174899369,0.190103726,Brooksbank et al. 2011 ,lat_-30.04_lon_116.22,Brooksbank_2011 
Eucalyptus kochii,116.2166667,-30.04111111,3.391473966,trunk sample,captive_cultivated,individual,raw,,0.174899369,0.190103726,Brooksbank et al. 2011 ,lat_-30.04_lon_116.22,Brooksbank_2011 
Eucalyptus kochii,116.2166667,-30.04111111,3.392544977,trunk sample,captive_cultivated,individual,raw,,0.174899369,0.190103726,Brooksbank et al. 2011 ,lat_-30.04_lon_116.22,Brooksbank_2011 
Eucalyptus kochii,116.2166667,-30.04111111,3.393618635,trunk sample,captive_cultivated,individual,raw,,0.174899369,0.190103726,Brooksbank et al. 2011 ,lat_-30.04_lon_116.22,Brooksbank_2011 
Eucalyptus kochii,116.2166667,-30.04111111,3.343901798,trunk sample,captive_cultivated,individual,raw,,0.174899369,0.190103726,Brooksbank et al. 2011 ,lat_-30.04_lon_116.22,Brooksbank_2011 
Eucalyptus kochii,116.2166667,-30.04111111,3.341988603,trunk sample,captive_cultivated,individual,raw,,0.174899369,0.190103726,Brooksbank et al. 2011 ,lat_-30.04_lon_116.22,Brooksbank_2011 
Eucalyptus kochii,116.2166667,-30.04111111,3.345823458,trunk sample,captive_cultivated,individual,raw,,0.174899369,0.190103726,Brooksbank et al. 2011 ,lat_-30.04_lon_116.22,Brooksbank_2011 
Banksia attenuata  ,115.95,-31.75,3.045757491,branch sample,field,individual,raw,,0.379622511,0.325850918,Canham et al. 2009,lat_-31.75_lon_115.95,Canham_2009
Banksia attenuata  ,115.95,-31.75,3.15490196,branch sample,field,individual,raw,,0.379622511,0.325850918,Canham et al. 2009,lat_-31.75_lon_115.95,Canham_2009
Banksia ilicifolia ,115.95,-31.75,3.096910013,branch sample,field,individual,raw,,0.379622511,0.325850918,Canham et al. 2009,lat_-31.75_lon_115.95,Canham_2009
Banksia ilicifolia ,115.95,-31.75,3.22184875,branch sample,field,individual,raw,,0.379622511,0.325850918,Canham et al. 2009,lat_-31.75_lon_115.95,Canham_2009
Banksia littoralis  ,115.95,-31.75,3.522878745,branch sample,field,individual,raw,,0.379622511,0.325850918,Canham et al. 2009,lat_-31.75_lon_115.95,Canham_2009
Banksia menziesii ,115.95,-31.75,3.15490196,branch sample,field,individual,raw,,0.379622511,0.325850918,Canham et al. 2009,lat_-31.75_lon_115.95,Canham_2009
Banksia menziesii ,115.95,-31.75,3.096910013,branch sample,field,individual,raw,,0.379622511,0.325850918,Canham et al. 2009,lat_-31.75_lon_115.95,Canham_2009
Eucalyptus kochii ,116.2116667,-30.03833333,3.468521083,trunk sample,captive_cultivated,individual,raw,,0.176291867,0.197302442,Carter and White 2009,lat_-30.04_lon_116.21,Carter_2009
Eucalyptus kochii ,116.2116667,-30.03833333,3.366531544,trunk sample,captive_cultivated,individual,raw,,0.176291867,0.197302442,Carter and White 2009,lat_-30.04_lon_116.21,Carter_2009
Eucalyptus miniata ,131.15,-12.48527778,3.647817482,branch sample,field,population,mean,,0.527595257,0.519456285,Cernusak et al. 2006,lat_-12.49_lon_131.15,Cernusak_2006
Eucalyptus tetrodonta ,131.15,-12.48527778,3.754487332,branch sample,field,population,mean,,0.527595257,0.519456285,Cernusak et al. 2006,lat_-12.49_lon_131.15,Cernusak_2006
Alphitonia excelsa ,145.75,-19.18333333,3.665546249,branch sample,field,population,mean,,0.496134495,0.690310998,Choat et al. 2005,lat_-19.18_lon_145.75,Choat_2005
Austromyrtus bidwillii,145.75,-19.18333333,3.804100348,branch sample,field,population,mean,,0.496134495,0.690310998,Choat et al. 2005,lat_-19.18_lon_145.75,Choat_2005
Brachychiton australis,145.75,-19.18333333,3.496209317,branch sample,field,population,mean,,0.496134495,0.690310998,Choat et al. 2005,lat_-19.18_lon_145.75,Choat_2005
Cochlospermum gillivraei ,145.75,-19.18333333,3.244887734,branch sample,field,population,mean,,0.496134495,0.690310998,Choat et al. 2005,lat_-19.18_lon_145.75,Choat_2005
Argyrodendron trifoliolatum ,145.5361111,-17.375,3.455931956,branch sample,field,individual,raw,,0.774466949,0.896439979,Drake and Franks 2003,lat_-17.38_lon_145.54,Drake_2003
Argyrodendron trifoliolatum ,145.5361111,-17.375,3.301029996,branch sample,field,individual,raw,,0.774466949,0.896439979,Drake and Franks 2003,lat_-17.38_lon_145.54,Drake_2003
Calamus australis ,145.5361111,-17.375,4,branch sample,field,individual,raw,,0.774466949,0.896439979,Drake and Franks 2003,lat_-17.38_lon_145.54,Drake_2003
Calamus australis ,145.5361111,-17.375,3.823908741,branch sample,field,individual,raw,,0.774466949,0.896439979,Drake and Franks 2003,lat_-17.38_lon_145.54,Drake_2003
Calamus caryotoides ,145.5361111,-17.375,3.638272164,branch sample,field,individual,raw,,0.774466949,0.896439979,Drake and Franks 2003,lat_-17.38_lon_145.54,Drake_2003
Calamus caryotoides ,145.5361111,-17.375,3.356547324,branch sample,field,individual,raw,,0.774466949,0.896439979,Drake and Franks 2003,lat_-17.38_lon_145.54,Drake_2003
Castanospora alphandii ,145.5361111,-17.375,3.886056648,branch sample,field,individual,raw,,0.774466949,0.896439979,Drake and Franks 2003,lat_-17.38_lon_145.54,Drake_2003
Castanospora alphandii ,145.5361111,-17.375,3.698970004,branch sample,field,individual,raw,,0.774466949,0.896439979,Drake and Franks 2003,lat_-17.38_lon_145.54,Drake_2003
Doryphora aromatica ,145.5361111,-17.375,3.853871964,branch sample,field,individual,raw,,0.774466949,0.896439979,Drake and Franks 2003,lat_-17.38_lon_145.54,Drake_2003
Doryphora aromatica ,145.5361111,-17.375,3.455931956,branch sample,field,individual,raw,,0.774466949,0.896439979,Drake and Franks 2003,lat_-17.38_lon_145.54,Drake_2003
Eucalyptus gomphocelia,116.15,-32.15,3.844663963,branch sample,field,individual,raw,,0.476803907,0.523414345,Drake et al. 2011,lat_-32.15_lon_116.15,Drake_2011
Eucalyptus gomphocelia,116.15,-32.15,3.882728704,branch sample,field,individual,raw,,0.476803907,0.523414345,Drake et al. 2011,lat_-32.15_lon_116.15,Drake_2011
Eucalyptus gomphocelia,116.15,-32.15,3.910094889,branch sample,field,individual,raw,,0.476803907,0.523414345,Drake et al. 2011,lat_-32.15_lon_116.15,Drake_2011
Eucalyptus gomphocelia,116.15,-32.15,3.869666232,branch sample,field,individual,raw,,0.476803907,0.523414345,Drake et al. 2011,lat_-32.15_lon_116.15,Drake_2011
Eucalyptus gomphocelia,116.15,-32.15,3.716698771,branch sample,field,individual,raw,,0.476803907,0.523414345,Drake et al. 2011,lat_-32.15_lon_116.15,Drake_2011
Eucalyptus gomphocelia,116.15,-32.15,3.818156412,branch sample,field,individual,raw,,0.476803907,0.523414345,Drake et al. 2011,lat_-32.15_lon_116.15,Drake_2011
Eucalyptus gomphocelia,116.15,-32.15,3.71219827,branch sample,field,individual,raw,,0.476803907,0.523414345,Drake et al. 2011,lat_-32.15_lon_116.15,Drake_2011
Eucalyptus gomphocelia,116.15,-32.15,3.744727495,branch sample,field,individual,raw,,0.476803907,0.523414345,Drake et al. 2011,lat_-32.15_lon_116.15,Drake_2011
Eucalyptus gomphocelia,116.15,-32.15,3.850780887,branch sample,field,individual,raw,,0.476803907,0.523414345,Drake et al. 2011,lat_-32.15_lon_116.15,Drake_2011
Eucalyptus gomphocelia,116.15,-32.15,3.73754891,branch sample,field,individual,raw,,0.476803907,0.523414345,Drake et al. 2011,lat_-32.15_lon_116.15,Drake_2011
Eucalyptus gomphocelia,116.15,-32.15,3.91721463,branch sample,field,individual,raw,,0.476803907,0.523414345,Drake et al. 2011,lat_-32.15_lon_116.15,Drake_2011
Eucalyptus gomphocelia,116.15,-32.15,3.709965389,branch sample,field,individual,raw,,0.476803907,0.523414345,Drake et al. 2011,lat_-32.15_lon_116.15,Drake_2011
Eucalyptus gomphocelia,116.15,-32.15,3.920818754,branch sample,field,individual,raw,,0.476803907,0.523414345,Drake et al. 2011,lat_-32.15_lon_116.15,Drake_2011
Eucalyptus gomphocelia,116.15,-32.15,3.68613278,branch sample,field,individual,raw,,0.476803907,0.523414345,Drake et al. 2011,lat_-32.15_lon_116.15,Drake_2011
Eucalyptus gomphocelia,116.15,-32.15,3.844663963,branch sample,field,individual,raw,,0.476803907,0.523414345,Drake et al. 2011,lat_-32.15_lon_116.15,Drake_2011
