species,family,growth_form,post_fire_regeneration_strategy,root_morphology,mean_maximum_root_diameter,ES,WS,AS,WS_AS,ES_WS_AS
Aciphylla galcialis,Apiaceae,Herb,Both,"Thick, fleshy",6,8.3,6.3,8.9,15.2,23.5
Oreomyrrhis eriopoda,Apiaceae,Herb,Seed,"Thick, fleshy",6,12.3,6.3,4.3,10.6,22.9
Trachymene humilis,Apiaceae,Herb,Seed,"Thick, fleshy",7,14.6,4.5,5.9,10.4,25
Brachyscome decipiens,Asteraceae,Herb,Seed,"Thin, fleshy",2,5.9,22.4,0,22.4,28.3
Brachyscome spathulata,Asteraceae,Herb,Both,"Thin, fleshy",2,7.6,37.2,0,37.2,44.8
Celmisia pugioniformis,Asteraceae,Herb,Sprout,"Thick, fleshy",6,9,31.9,0,31.9,40.9
Craspedia jamesii,Asteraceae,Herb,Both,"Thick, fleshy",4,4.4,23.6,0,23.6,28
Erigeron nitidus,Asteraceae,Herb,Both,"Thin, fleshy",1.5,11.8,24.5,0,24.5,36.3
Leptorhynchos squamatus,Asteraceae,Herb,Sprout,"Thin, firm",2,1.8,2.6,0.1,2.7,4.5
Microseris scapigera,Asteraceae,Herb,Both,"Thick, fleshy",8,18.7,43.1,0,43.1,61.8
Olearia phlogopappa,Asteraceae,Shrub,Both,Strong woody,2.5,5.5,13.5,0,13.5,19
Ozothamnus hookeri,Asteraceae,Shrub,Both,Firm,1.5,4,1.1,0,1.1,5.1
Podolepis robusta,Asteraceae,Herb,Sprout,"Thin, fleshy",3,7.4,29,0,29,36.4
Xerochrysum subundulatum,Asteraceae,Herb,Both,"Thin, fleshy",2,6.1,12.8,0,12.8,18.9
Scleranthus biflorus,Caryophyllaceae,Herb,Sprout,"Thin, fleshy",1,5.7,1,0.1,1.1,6.8
Carex gaudichaudiana,Cyperaceae,Herb,Sprout,Firm,2,2.1,1.8,1.2,3,5.1
Carex hebes,Cyperaceae,Herb,Both,Firm,1,1.7,0.8,0.3,1.1,2.8
Epacris gunnii,Epacridaceae,Shrub,Sprout,Strong woody,1,3.3,0.7,0.1,0.8,4.1
Leucopogon hookeri,Epacridaceae,Shrub,Both,Strong woody,3,4.7,2,3.1,5.1,9.8
Hovea montana,Fabaceae,Shrub,Both,Strong woody,1.5,2.1,1.8,1.7,3.5,5.6
Pultenaea tenella,Fabaceae,Shrub,Sprout,Strong woody,1.5,3.3,2.5,2.2,4.7,8
Geranium potentilloides,Geraniaceae,Herb,Seed,Firm,4,3.9,3,0.5,3.5,7.4
Goodenia hederacea,Goodeniaceae,Herb,Sprout,Firm,2,7.7,5,0,5,12.7
Baeckea gunniana,Myrtaceae,Shrub,Sprout,Firm,1.5,4.5,2.2,1.2,3.4,7.9
Plantago euryphylla,Plantaginaceae,Herb,Sprout,"Thick, fleshy",9,24.4,2.7,0,2.7,27.1
Grevillea australis,Proteaceae,Shrub,Seed,Strong woody,2,4.4,3.3,7,10.3,14.7
Caltha introloba,Ranunculaceae,Herb,Both,"Thin, fleshy",3,5.7,8.1,6.3,14.4,20.1
Ranunculus graniticola,Ranunculaceae,Herb,Both,"Thin, fleshy",3,7,5.2,6.3,11.5,18.5
Empodisma minus,Restionaceae,Herb,Sprout,Strong woody,1,5.6,1.1,0,1.1,6.7
Acaena novae-zelandiae,Rosaceae,Herb,Both,Firm,4,4.1,2,1.4,3.4,7.5
Asperula gunnii,Rubiaceae,Herb,Both,Firm,1,5.7,1.2,0.2,1.4,7.1
Euphrasia collina,Scrophulariaceae,Herb,Seed,Firm,3,4.6,1.4,0.2,1.6,6.2
Stackhousia monogyna,Stackhousiaceae,Herb,Both,Firm,2,3.2,1.2,0.2,1.4,4.6
Stackhousia pulvinaris,Stackhousiaceae,Herb,Sprout,Firm,1.5,4.3,1.7,0.5,2.2,6.5
Stylidium graminifolium,Stylidiaceae,Herb,Sprout,"Thin, fleshy",2.5,7,3.5,0.1,3.6,10.6
Pimelea alpina,Thymelaeaceae,Shrub,Sprout,Firm,3,10.1,1.1,0,1.1,11.2
Viola betonicifolia,Violaceae,Herb,Both,"Thin, fleshy",2,8.1,8.5,5.1,13.6,21.7
