species,site,specific_leaf_area_mm2/mg,leaf_dry_matter_content_g/g,area_of_leaf_mm2,fire_response_detailed,max_plant_height_cm,growth form,Fire response
Aristida contorta,Sturt National Park,9.35,0.369,25.9,NA,NA,NA,NA
Aristida contorta,Sturt National Park,8.89,0.332,20,NA,NA,NA,NA
Aristida contorta,Sturt National Park,9.74,0.33,23,NA,NA,NA,NA
Aristida contorta,Sturt National Park,8.46,0.384,21.6,NA,NA,NA,NA
Aristida contorta,Sturt National Park,8.68,0.393,25.4,NA,NA,NA,NA
Aristida jerichoensis,Trangie,9.09,0.39,56.6,NA,NA,NA,NA
Aristida jerichoensis,Trangie,9.88,0.378,70.3,NA,NA,NA,NA
Aristida jerichoensis,Trangie,10.28,0.387,106.7,NA,NA,NA,NA
Aristida jerichoensis,Trangie,10.32,0.393,78.3,NA,NA,NA,NA
Aristida jerichoensis,Trangie,8.95,0.413,65.8,NA,NA,NA,NA
Aristida jerichoensis,Barrier Hwy 1,8.92,0.38,155.7,NA,NA,NA,NA
Aristida jerichoensis,Barrier Hwy 1,7.07,0.424,106.6,NA,NA,NA,NA
Aristida jerichoensis,Barrier Hwy 1,5.86,0.404,74.5,NA,NA,NA,NA
Aristida jerichoensis,Barrier Hwy 1,7.6,0.384,145.1,NA,NA,NA,NA
Aristida jerichoensis,Barrier Hwy 1,7.32,0.386,183.2,NA,NA,NA,NA
Aristida jerichoensis var subspinulifera,Whooey Tank,7.41,0.423,NA,NA,NA,NA,NA
Aristida jerichoensis var subspinulifera,Whooey Tank,7.63,0.418,NA,NA,NA,NA,NA
Aristida jerichoensis var subspinulifera,Whooey Tank,8.11,0.447,NA,NA,NA,NA,NA
Aristida jerichoensis var subspinulifera,Whooey Tank,6.75,0.425,NA,NA,NA,NA,NA
Aristida jerichoensis var subspinulifera,Whooey Tank,7.34,0.444,NA,NA,NA,NA,NA
Atriplex semibaccata,Booberoi,13.16,0.289,NA,NA,NA,NA,NA
Atriplex semibaccata,Booberoi,11.3,0.241,NA,NA,NA,NA,NA
Atriplex semibaccata,Booberoi,14.11,0.171,NA,NA,NA,NA,NA
Atriplex semibaccata,Booberoi,15.69,0.153,NA,NA,NA,NA,NA
Atriplex semibaccata,Booberoi,13.29,NA,NA,NA,NA,NA,NA
Atriplex stipitata,Whooey Tank,13.52,0.21,NA,NA,NA,NA,NA
Atriplex stipitata,Whooey Tank,14.53,0.223,NA,NA,NA,NA,NA
Atriplex stipitata,Whooey Tank,14.32,0.233,NA,NA,NA,NA,NA
Atriplex stipitata,Whooey Tank,11.73,0.243,NA,NA,NA,NA,NA
Atriplex stipitata,Whooey Tank,9.81,0.255,NA,NA,NA,NA,NA
Beyeria opaca,Bay Area,7.09,0.419,NA,NA,NA,NA,NA
Beyeria opaca,Bay Area,6.41,0.446,NA,NA,NA,NA,NA
Beyeria opaca,Bay Area,6.54,0.429,NA,NA,NA,NA,NA
Beyeria opaca,Bay Area,6.41,0.428,NA,NA,NA,NA,NA
Beyeria opaca,Bay Area,6.71,0.406,NA,NA,NA,NA,NA
Bossiaea walkeri,Mallee 1,2.88,0.487,NA,NA,NA,NA,NA
Bossiaea walkeri,Mallee 1,2.47,0.534,NA,NA,NA,NA,NA
Bossiaea walkeri,Mallee 1,2.78,0.553,NA,NA,NA,NA,NA
Bossiaea walkeri,Mallee 1,3.69,0.456,NA,NA,NA,NA,NA
Bossiaea walkeri,Mallee 1,3.12,0.482,NA,NA,NA,NA,NA
Callitris glaucophylla,Whooey Tank,5.28,0.406,NA,NA,NA,NA,NA
Callitris glaucophylla,Whooey Tank,4.63,0.467,NA,NA,NA,NA,NA
Callitris glaucophylla,Whooey Tank,4.55,0.498,NA,NA,NA,NA,NA
Callitris glaucophylla,Whooey Tank,4.75,0.467,NA,NA,NA,NA,NA
Callitris glaucophylla,Whooey Tank,5.43,0.409,NA,NA,NA,NA,NA
Calotis cuneifolia,Whooey Tank,17.09,0.227,NA,NA,NA,NA,NA
Calotis cuneifolia,Whooey Tank,22.85,0.184,NA,NA,NA,NA,NA
Calotis cuneifolia,Whooey Tank,20.71,0.195,NA,NA,NA,NA,NA
