name_original,site_text,plant_height_cm,growth form,sprouting_w/i/s,
Aristida jerichoensis var subspinulifera,Whooey Tank,36,grass,i,
Atriplex semibaccata,Booberoi,24,subshrub,w,
Atriplex stipitata,Whooey Tank,73,subshrub,w,
Beyeria opaca,Bay Area,120,shrub,w,
Bossiaea walkeri,Mallee 1,207,subshrub,s,
Callitris glaucophylla,Whooey Tank,1358,tree,w,
Calotis cuneifolia,Whooey Tank,23,forb,w,
Calotis lappulacea,Whooey Tank,31,forb,s,
Cassinia laevis,Mallee 2,302,shrub,w,
Cheilanthes tenuifolia,Booberoi,23,fern,w,
Chenopodium desertorum,Whooey Tank,21,subshrub,w,
Chenopodium desertorum microphyllum,Whooey Tank,4,subshrub,w,
Chrysocephalum semipapposum,Hill,65,forb,s,
Danthonia caespitosa,Booberoi,31,grass,i,
Digitaria coenicola,Booberoi,50,grass,s,
Digitaria divaricatissima,Round Hill,33,grass,s,
Dodonaea viscosa angustissima,Round Hill Camp,373,shrub,w,
Dodonaea viscosa cuneata,Birdos,227,shrub,w,
Dodonaea viscosa spatulata,Round Hill Camp,417,shrub,w,
Einadia nutans,Whooey Tank,17,subshrub,w,
Enchylaena tomentosa,Whooey Tank,24,subshrub,w,
Enteropogon acicularis,Booberoi,32,grass,s,
Eremophila glabra,Birdos,163,shrub,s,
Eremophila longifolia,Whooey Tank,585,shrub,s,
Eutaxia microphylla,Bay Area,71,shrub,s,
Gonocarpus elatus,Micromyrtus,22,forb,s,
Grevillea anethifolia,Lake Road,43,shrub,w,
Hakea tephrosperma,Whooey Tank,1079,shrub,w,
Lomandra leucocephala subsp robusta,Mallee 1,58,graminoid,s,
Micromyrtus sessilis,Micromyrtus,142,shrub,w,
Minuria leptophylla,Whooey Tank,13,forb,s,
Olearia pimeleoides,Mallee 2,99,shrub,i,
Panicum queenslandicum var queenslandicum,Booberoi,37,grass,i,
Paspalidium constrictum,Booberoi,32,grass,s,
Pimelea microcephala,Birdos,193,shrub,w,
Rhagodia spinescens,Booberoi,139,subshrub,w,
Sclerolaena diacantha,Whooey Tank,17,subshrub,w,
Senna artemisioides,Birdos,212,shrub,i,
Sida cunninghamii,Whooey Tank,12,forb,s,
Solanum ellipticum,Whooey Tank,28,forb,s,
Solanum ferocissimum,Hill,108,forb,w,
Spartothamnella puberula,Birdos,63,shrub,s,
Themeda triandra,Booberoi,108,grass,s,
Thyridolepis mitchelliana,Whooey Tank,14,grass,s,
Vittadinia cuneata,Whooey Tank,20,forb,w,
Vittadinia triloba,Mallee 2,32,forb,w,
,,,,,
,,,,,
