sort,Species Code,Spp_Name,SLA(mm2/mg),Site,plant_growth_form,notes
258,Acanov1,Acaena novae-zealandiae,20.5,Basalt Hill,herb,
259,Acanov2,Acaena novae-zealandiae,24.3,Basalt Hill,herb,
260,Acanov3,Acaena novae-zealandiae,24,Basalt Hill,herb,
261,Acanov4,Acaena novae-zealandiae,23.4,Basalt Hill,herb,
262,Acanov5,Acaena novae-zealandiae,20.8,Basalt Hill,herb,
246,Acevul1,Acetosella vulgaris,16.8,Langford Gap Carpark,herb,
247,Acevul2,Acetosella vulgaris,17.5,Langford Gap Carpark,herb,
248,Acevul3,Acetosella vulgaris,19.7,Langford Gap Carpark,herb,
249,Acevul4,Acetosella vulgaris,22.1,Langford Gap Carpark,herb,
250,Acevul5,Acetosella vulgaris,20.6,Langford Gap Carpark,herb,
41,Acigla1,Aciphylla glacialis,5.4,Basalt Hill,herb,
42,Acigla2,Aciphylla glacialis,6.4,Basalt Hill,herb,
43,Acigla3,Aciphylla glacialis,5,Basalt Hill,herb,
44,Acigla4,Aciphylla glacialis,6.1,Basalt Hill,herb,
45,Acigla5,Aciphylla glacialis,5.7,Basalt Hill,herb,
46,Acigla6,Aciphylla glacialis,5.1,Basalt Hill,herb,
240,Aspgun1,Asperula gunnii,17.7,Basalt Hill,herb,
241,Aspgun2,Asperula gunnii,21.2,Basalt Hill,herb,
242,Aspgun3,Asperula gunnii,29.3,Basalt Hill,herb,
243,Aspgun4,Asperula gunnii,20,Basalt Hill,herb,
244,Aspgun5,Asperula gunnii,19.3,Basalt Hill,herb,
338,Asttry2.1,Asterolasia trymalioides ,5.5,Basalt Hill,shrub,
339,Asttry2.2,Asterolasia trymalioides ,6.3,Basalt Hill,shrub,
340,Asttry2.3,Asterolasia trymalioides ,5.7,Basalt Hill,shrub,
341,Asttry2.4,Asterolasia trymalioides ,6.3,Basalt Hill,shrub,
342,Asttry2.5,Asterolasia trymalioides ,5.8,Basalt Hill,shrub,
198,Asttry1,Asterolasia trymalioides ,3.7,Basalt Hill,shrub,
199,Asttry2,Asterolasia trymalioides ,4.9,Basalt Hill,shrub,
200,Asttry3,Asterolasia trymalioides ,5.4,Basalt Hill,shrub,
201,Asttry4,Asterolasia trymalioides ,6.4,Basalt Hill,shrub,
202,Asttry5,Asterolasia trymalioides ,3.9,Basalt Hill,shrub,
12,Ausvel1,Australopyrum velutinum,8.1,Basalt Hill,grass,
13,Ausvel2,Australopyrum velutinum,11.8,Basalt Hill,grass,
14,Ausvel3,Australopyrum velutinum,8.2,Basalt Hill,grass,
15,Ausvel4,Australopyrum velutinum,8.6,Basalt Hill,grass,
16,Ausvel5,Australopyrum velutinum,9.1,Basalt Hill,grass,
17,Ausvel6,Australopyrum velutinum,9.7,Basalt Hill,grass,
416,Baegun1,Baeckea gunniana,7.1,Basalt Hill,shrub,
