plant tissue,tissue,N_%,P_%,K_%,S_%,Ca_%,Mg_%,Na_%,Fe_ppm,Cu_ppm,Mn_ppm,Zn_ppm,Cl_ppm
Acacia concurrens,current leaves,2.1,0.04,0.6,0.13,0.9,0.18,0.12,53,7,83,47,
Banksia aemula,current leaves,0.7,0.05,0.4,0.08,0.14,0.08,0.15,154,5,27,39,
Caustis blakeii,current leaves,1.4,0.06,0.4,0.15,0.25,0.07,0.07,135,5,106,59,
Eucalyptus signata,current leaves,1.3,0.08,0.5,0.1,0.34,0.2,0.16,88,7,66,52,
Eucalyptus umbra ssp. umbra,current leaves,1.25,0.08,0.6,0.08,0.18,0.16,0.15,42,6,28,45,
Hibbertia vestita,current leaves,2,0.08,0.9,0.26,0.97,0.44,0.12,525,7,90,78,
Imperata cylindrica,current leaves,0.6,0.06,0.5,0.07,0.14,0.07,0.06,120,4,81,60,
Lepidosperma laterale,current leaves,0.3,0.02,0.4,0.1,0.22,0.07,0.07,179,4,111,53,
Leucopogon margarodes,current leaves,1.6,0.07,0.5,0.12,0.58,0.15,0.08,202,11,77,57,
Lomandra longifolia,current leaves,1.8,0.06,0.7,0.23,1.07,0.11,0.1,58,5,59,5.1,
Monotoca scoparia,current leaves,1.2,0.04,0.6,0.11,0.39,0.13,0.07,58,8,81,57,
Persoonia virgata,current leaves,1.3,0.08,0.5,0.12,0.28,0.16,0.13,135,6,100,38,
Petrophile sessilis,current leaves,0.8,0.07,0.3,0.007,0.16,0.15,0.04,77,4,31,49,
Pteridium esculentum,current leaves,1.7,0.1,0.9,0.13,0.12,0.13,0.07,35,6,51,37,
Pultenaea villosa,current leaves,2.6,0.09,0.6,0.17,0.55,0.28,0.13,192,7,160,59,
Tristania conferta,current leaves,1.6,0.08,0.8,1.2,0.73,0.25,0.1,92,6,49,60,
Acacia concurrens,older leaves,2.3,0.08,0.8,0.14,0.6,0.16,0.15,43,8,53,49,
Banksia aemula,older leaves,1,0.04,0.4,0.1,0.13,0.1,0.13,120,5,62,35,
Eucalyptus signata,older leaves,1.4,0.075,0.5,0.1,0.38,0.185,0.145,53,6,76,40.5,
Eucalyptus umbra ssp. umbra,older leaves,1.1,0.05,0.5,0.09,0.355,0.2,0.14,88,5,51,39.5,
Hibbertia vestita,older leaves,1.3,0.04,1.4,,1.3,400,1.92,200,10.4,80,40,
Leucopogon margarodes,older leaves,0.93,0.043,0.44,,0.55,0.08,0.06,80,7,135,17,
Monotoca scoparia,older leaves,0.95,0.023,0.78,,0.62,0.194,0.2,140,15,164,15.4,2000
Persoonia virgata,older leaves,0.96,0.095,0.5,,0.225,0.09,0.381,93,1.4,46,10,8200
Petrophile sessilis,older leaves,0.82,0.03,0.53,,0.38,0.172,0.044,186,5.2,96,36,
Tristania conferta,older leaves,1.7,0.07,0.7,0.14,0.87,0.29,0.09,112,6,72,63,
Banksia aemula,stem wood,0.1,0.005,0.01,,0.15,0.021,0.074,110,1.4,12,4.2,1250
Eucalyptus signata. live,stem wood,0.21,0.005,0.01,,0.075,0.003,0.171,70,0.6,4,2.4,
Eucalyptus signata. dead,stem wood,0.27,0.005,0.02,,0.175,0.043,0.062,150,6.5,4,9.4,350
"Eucalyptus sumbra sp. umbra, live",stem wood,0.2,0.005,0.01,,0.15,0.003,0.076,195,1.4,4,12,250
"Eucalyptus sumbra sp. umbra, dead",stem wood,0.23,0.005,0.03,,0.175,0.043,0.064,140,2.6,18,5,800
Monotoca scoparia,stem wood,0.31,0.005,0.21,,0.35,0.039,0.096,250,2.8,44,16,800
Petrophile sessilis,stem wood,0.3,0.034,0.25,,0.75,0.02,0.052,140,5.2,740,14,1200
Banksia aemula,stem bark,0.2,0.005,0.05,,0.35,0.123,0.202,252,0.6,62,7,2800
Eucalyptus signata. live,stem bark,0.26,0.008,1.6,,1.5,0.2,0.202,144,4,172,11,4400
Eucalyptus signata. dead,stem bark,0.38,0.01,0.06,,0.9,0.1,0.09,350,3.5,18,12,700
Eucalyptus sumbra sp. umbra,stem bark,0.31,0.005,0.07,,0.55,0.042,0.21,288,2.8,76,7.6,1700
Eucalyptus sumbra sp. umbra,stem bark,0.41,0.005,0.02,,0.35,0.11,0.06,140,1.4,28,9.4,350
Banksia aemula,Primary branch wood,0.1,0.005,0.05,,0.2,0.044,0.071,160,33,27,25,1400
Eucalyptus signata,Primary branch wood,0.16,0.005,0.01,,0.1,0.003,0.048,93,0.6,3,6.7,250
