site,species_name,Spp,tot lf A,ind lf A,twig A,# lvs,twig L,seed M,SLA,LA_SAtwig
Sydney,Acacia myrtifolia,AcaMyr,5693,582,5.4,9.8,174,8.9,5.48,1054
Sydney,Acacia suaveolens,AcaSua,4843,376,4.2,12.9,223,28.49,4.4,1161
Sydney,Angophora hispida,AngHis,13425,2048,6.7,6.6,141,28.5,4.41,2006
Sydney,Baeckea brevifolia,BaeBre,79,3,0.4,28,26,0.06,7.22,189
Sydney,Banksia oblongifolia,BanObl,27539,1318,17.4,20.9,149,19.92,3.37,1583
Sydney,Banksia spinulosa,BanSpi,4654,106,2.9,44,87,11.35,3.91,1586
Sydney,Boronia pinnata,BorPin,2769,240,2.1,11.6,121,1.65,5.39,1337
Sydney,Bossiaea obcordata,BosObc,100,17,0.2,6,18,3.1,9.37,538
Sydney,Corymbia gummifera,CorGum,7817,2270,4.3,3.4,131,7.32,4.61,1832
Sydney,Dillwynia retorta,DilRet,632,6,0.6,98.9,117,5.5,8.31,1085
Sydney,Epacris microphylla,EpaMic,455,8,0.4,56.9,118,0.02,10.91,1058
Sydney,Epacris pulchella,EpaPul,334,9,0.6,38.8,71,0.06,10.78,561
Sydney,Eucalyptus capitellata,EucCap,7141,989,2.7,7.2,134,0.8,3.51,2597
Sydney,Eucalyptus haemostoma,EucHae,33646,4520,16.4,7.4,222,1.74,3.37,2053
Sydney,Gompholobium glabratum,GomGla,1745,82,3.3,21.3,220,2.71,6.93,527
Sydney,Grevillea speciosa,GreSpe,2417,116,2.7,20.8,164,27.4,5.06,886
Sydney,Hakea dactyloides,HakDac,9389,531,5.2,17.7,160,20.02,3.31,1817
Sydney,Hakea teretifolia,HakTer,3897,67,5.7,57.8,425,14.45,1.65,680
Sydney,Hibbertia bracteata,HibBra,2077,69,1.7,30,156,3.68,11.04,1217
Sydney,Isopogon anemonifolius,IsoAne,5353,299,5.1,17.9,94,4.08,3.43,1041
Sydney,Lambertia formosa,LamFor,2577,158,3.3,16.3,104,25.09,4.29,787
Sydney,Leptospermum squarrosum,LepSqu,1310,38,1.3,34.7,214,0.13,5.57,975
Sydney,Leptospermum trinervium,LepTri,796,43,0.8,18.6,67,0.19,6.19,966
Sydney,Leucopogon esquamatus,LeuEsq,767,33,1,23.6,94,6.42,10.35,794
Sydney,Leucopogon microphyllus,LeuMic,72,2,0.3,29.6,36,0.59,8.97,284
Sydney,Micrantheum ericoides,MicEri,227,9,0.2,24,61,3.31,9.29,1039
Sydney,Persoonia levis,PerLev,29781,2553,11.4,11.7,183,225.93,5.46,2620
Sydney,Persoonia pinifolia,PerPin,7241,38,2.9,191.7,201,174.42,7.6,2475
Sydney,Petrophile pulchella,PetPul,28379,508,15,55.9,490,7.98,3.89,1888
Sydney,Phyllanthus hirtellus,PhyHir,213,8,0.7,27.6,65,1.5,7.01,295
Sydney,Phyllota phylicoides,PhyPhy,1390,11,1.6,129,123,2.96,7.49,871
Sydney,Pultenaea elliptica,PulEll,1849,21,0.8,89.4,97,2.16,8.62,2232
Sydney,Pultenaea stipularis,PulSti,3994,24,3.3,164.9,132,9.28,7,1225
woodland,Acacia doratoxylon,AcaDor,10236,1035,2.6,9.9,,10.11,4.65,3879
woodland,Brachychiton populneus,BraPop,10082,1334,6.6,7.6,,103.29,8,1531
woodland,Dodonaea viscosa spathulata,DodVisp,1460,266,0.7,5.5,,3.63,7.01,1976
woodland,Eremophila glabra,EreGla,2274,139,2.9,16.3,,3.41,6.23,790
woodland,Eremophila longifolia,EreLon,6324,261,3.9,24.2,,94.98,3.72,1618
woodland,Philotheca difformis,EriDifW,96,7,0.5,13.5,,1.97,3.7,182
woodland,Eucalyptus intertexta,EucInt,5599,1028,3.2,5.4,,0.54,6.87,1746
woodland,Geijera parviflora,GeiPar,8953,672,3.9,13.3,,23.91,5.39,2315
woodland,Melaleuca uncinata,MelUnc,338,36,0.8,9.3,,0.06,3.4,415
woodland,Pimelea microcephala,PimMic,1440,45,1.5,32.1,,7.25,12.22,947
woodland,Senna artemisioides,SenArt3,2115,203,2.5,10.4,,13.92,3.6,862
mallee,Acacia colletioides,AcaCol,477,25,3.4,18.8,,5.63,2.23,142
mallee,Acacia havilandii,AcaHav,947,55,3.5,17.1,,5.02,2.28,268
mallee,Acacia wilhelmiana,AcaWil,243,18,0.8,13.4,,6.05,5.01,304
mallee,Bertya cunninghamii,BerCun,117,15,0.7,7.9,,13.32,5.18,165
mallee,Beyeria opaca,BeyOpa,103,34,0.3,3,,8.58,5.64,295
mallee,Cassinia laevis,CasLae,704,21,1,34,,0.08,6.26,704
mallee,Eremophila deserti,EreDes,2022,114,1.6,17.7,,1.84,4.77,1282
mallee,Philotheca difformis,EriDifM,61,5,0.5,11.2,,1.97,4.61,135
mallee,Eucalyptus dumosa,EucDum,7139,1020,4,7,,0.65,2.82,1776
mallee,Eucalyptus socialis,EucSoc,5509,918,3.3,6,,0.73,3.25,1677
mallee,Eutaxia microphylla,EutMic,53,2,0.2,33.1,,1.5,8.27,212
mallee,Olearia oswaldii,Olesp,351,34,0.9,10.3,,0.26,5.06,407
mallee,Olearia pimelioides,OlePim,256,7,0.7,34.4,,0.52,8.09,344
mallee,Santalum acuminatum,SanAcu,1426,299,1.9,4.8,,537.3,3.32,740
