genus,species,binomial,growth form,longevity,min height (m),max height (m),min leaf length (mm),max leaf length (mm),min leaf width (mm),max leaf width (mm),leaf shape,leaf type
Carpobrotus,modestus,Carpobrotus modestus,shrub,perennial,,0.3,35,70,6,6,elliptic,simple
Carpobrotus,pulcher,Carpobrotus pulcher,shrub,perennial,,0.3,55,80,12,12,elliptic,simple
Tetragonia,implexicoma,Tetragonia  implexicoma,shrub,perennial,,0.3,20,50,5,25,ovate,simple
Alternanthera,nodiflora,Alternanthera  nodiflora,herb,annual,,0.8,13,45,2,7.5,oblong,simple
Ptilotus,drummondii,Ptilotus drummondii,herb,perennial,,0.8,10,25,1,4,linear,simple
Ptilotus,manglesii,Ptilotus manglesii,herb,perennial,,0.3,30,100,8,55,obovate,simple
Ptilotus,sericostachys,Ptilotus sericostachys,herb,perennial,,0.3,8,25,2,12,oblong,simple
Actinotus,glomeratus,Actinotus glomeratus,herb,perennial,,0.23,6.00,25.00,4,18,lobed,simple
Actinotus,laxus,Actinotus laxus,herb,perennial,,0.4,8,25,3,18,obovate,simple
Actinotus,omnifertilis,Actinotus omnifertilis,herb,perennial,,0.5,4,16,3,10,obovate,simple
Actinotus,sp. Walpole,Actinotus sp. Walpole,herb,perennial,,0.3,2,15,2,12,ovate,simple
Actinotus,whicheranus,Actinotus whicheranus,subshrub,perennial,,0.5,10,30,9,9,lobed,simple
Apium,annum,Apium annum,herb,annual,,0.15,20,40,20,40,ovate,simple
Apium,prostratum,Apium prostratum,herb,perennial,,0.3,40,90,10,,lobed,simple
Brachyscias,verecundus,Brachyscias verecundus,herb,annual,,0.02,5,14,1,1,,simple
Centella,asiatica,Centella asiatica,herb,perennial,,0.16,9,75,15,95,reniform,simple
Daucus,glochidiatus,Daucus glochidiatus,herb,annual,,0.6,10,20,4,12,ovate,simple
Eryngium,pinnatifidum,Eryngium pinnatifidum,herb,perennial,,0.5,30,360,10,90,ovate,simple
Homalosciadium,homalocarpum,Homalosciadium homalocarpum,herb,annual,,0.16,8,25,3,14,obovate,simple
Hydrocotyle,hirta,Hydrocotyle hirta,herb,perennial,,0.1,4,28,6,31,orbicular,simple
Hydrocotyle,plebeya,Hydrocotyle plebeya,herb,perennial,,0.4,5,51,10,70,reniform,simple
Hydrocotyle,tetragonocarpa,Hydrocotyle tetragonocarpa,herb,annual,,0.15,5,11,7,16,reniform,simple
Hydrocotyle,alata,Hydrocotyle alata,herb,annual,,0.05,1.5,5,2.5,8,triangular,simple
Hydrocotyle,diantha,Hydrocotyle diantha,herb,annual,,0.05,2,8,3,15,reniform,simple
Hydrocotyle,hamelinensis ms,Hydrocotyle hamelinensis ms,herb,annual,,0.1,1.5,14,2,18,orbicular,simple
Hydrocotyle,blepharocarpa,Hydrocotyle blepharocarpa,herb,annual,,0.05,2,7,3,8,orbicular,simple
Hydrocotyle,callicarpa,Hydrocotyle callicarpa,herb,annual,,0.08,3,7,5,11,ovate,simple
Hydrocotyle,hispidula,Hydrocotyle hispidula,herb,annual,,0.2,6,10,10,17,ovate,simple
Hydrocotyle,pilifera,Hydrocotyle pilifera,herb,annual,,0.16,4,11,7,23,reniform,simple
Hydrocotyle,puberla,Hydrocotyle puberla,herb,annual,,0.1,6,10,10,17,ovate,simple
Hydrocotyle,scutellifera,Hydrocotyle scutellifera,herb,annual,,0.3,2,10,2,10,reniform,simple
Pentapeltis,peltigera,Pentapeltis peltigera,herb,perennial,,0.3,8,30,14,70,ovate,simple
Pentapeltis,silvatica,Pentapeltis silvatica,herb,perennial,,0.1,10,53,7,25,ovate,simple
Platysace,compressa,Platysace compressa,herb,perennial,,0.7,,,,,lobed,simple
Platysace,filiformis,Platysace filiformis,herb,perennial,,0.6,,,,,lobed,simple
Platysace,haplosciadia,Platysace haplosciadia,herb,perennial,,0.23,,,,,lobed,simple
Platysace,pendula,Platysace pendula,herb,perennial,,0.25,,,,,lobed,simple
Platysace,tenuissima,Platysace tenuissima,herb,perennial,,0.3,1,9,2,5,lobed,simple
Schoenolaena,juncea,Schoenolaena juncea,herb,perennial,,0.75,150,250,0.5,1.5,linear,simple
Trachymene,coerulea,Trachymene coerulea,herb,annual,,2,20,55,20,70,lobed,simple
Trachymene,grandis,Trachymene grandis,herb,annual,,2.5,6,75,8,110,lobed,simple
Trachymene,pilosa,Trachymene pilosa,herb,annual,,0.3,5,30,5,30,lobed,simple
Xanthosia,atkinsonia,Xanthosia atkinsonia,herb,perennial,,1,8,25,3,20,triangular,simple
Xanthosia,rotundifolia,Xanthosia rotundifolia,herb,perennial,,0.9,15,60,14,60,ovate,simple
Xanthosia,candida,Xanthosia candida,herb,perennial,,0.3,5,26,3,20,ovate,simple
Xanthosia,ciliata,Xanthosia ciliata,herb,perennial,,0.2,6,17,1,3,obovate,simple
Xanthosia,eichleri,Xanthosia eichleri,herb,perennial,,0.2,5,12,1.5,4,obovate,simple
Xanthosia,singuliflora,Xanthosia singuliflora,herb,perennial,,0.2,6,19,4,15,spathulate,simple
Xanthosia,huegelii,Xanthosia huegelii,herb,perennial,,0.15,6,22,1,2.5,linear,simple
Xanthosia,tasmanica,Xanthosia tasmanica,herb,perennial,,0.3,6,15,3,7,elliptic,simple
Actites,megalocarpa,Actites megalocarpa,herb,perennial,,1,30,250,10,45,ovate,simple
Angianthus,preissianus,Angianthus preissianus,herb,annual,,0.15,5,12,1,2,linear,simple
Asteridea,nivea,Asteridea nivea,shrub,perennial,,0.3,10,30,1,1.5,linear,simple
Asteridea,pulverulenta,Asteridea pulverulenta,herb,annual,,0.7,15,70,1,6,elliptic,simple
Blennospora,sp. Ruabon,Blennospora sp. Ruabon,herb,annual,,0.1,10,20,0.5,1,linear,simple
Brachyscome,ciliaris,Brachyscome ciliaris,herb,perennial,,0.4,10,60,3,20,lobed,simple
Brachyscome,iberidifolia,Brachyscome iberidifolia,herb,annual,,0.45,15,80,5,20,lobed,simple
Centipeda,cunninghamii,Centipeda cunninghamii,herb,perennial,,0.2,10,30,2,7,oblong,simple
Cotula,australis,Cotula australis,herb,annual,,0.2,10,60,5,20,lobed,simple
Cotula,coronopifolia,Cotula coronopifolia,herb,annual,,0.5,12,80,2,20,oblong,simple
Cotula,cotuloides,Cotula cotuloides,herb,annual,,0.2,10,60,0.4,1,linear,simple
Craspedia,variabilis,Craspedia variabilis,herb,perennial,,0.5,80,250,8,30,obovate,simple
Euchiton,collinus,Euchiton collinus,herb,perennial,,0.3,25,180,3,10,elliptic,simple
Euchiton,sphaericus,Euchiton sphaericus,herb,annual,,0.7,10,80,3,14,elliptic,simple
Gnaphalium,indutum,Gnaphalium indutum,herb,annual,,0.8,5,15,0.5,1.5,oblong,simple
Gnephosis,drummondii,Gnephosis drummondii,herb,annual,,0.05,2,11,0.4,1,obovate,simple
Gnephosis,tenuissima,Gnephosis tenuissima,herb,annual,,0.15,2,12,0.5,4,elliptic,simple
Helichrysum,macranthum,Helichrysum macranthum,herb,perennial,,2,35,150,5,30,obovate,simple
hyalosperma,cotula,hyalosperma cotula,herb,annual,,0.25,5,15,0.3,1,linear,simple
