Column heading,Extant/Extinct,Native/Exotic,Species,Family,FOREST,WOODLAND,SCRUBLAND,DWARF SCRUB,GRASSLAND,COASTAL DUNES,H2O FRESH,H2O SALINE,DESERT,RIPARIAN,ANTHROPOGNEIC,Growth form,Life form,Plant height,Clonality ,Clonality_b,Dispersal mode,Nutrient uptake strategy,Spinescence,Seed Mass,Pollination System,Photosynthetic Pathway,SLA
2,1,0,Adiantum aethiopicum,ADIANTACEAE,1,1,1,,,,,,,1,,1,3,0.45,3,a,2,2,0,0.001,0,1,39.31
2,1,0,Cheilanthes austrotenuifolia,ADIANTACEAE,1,1,1,,,,,,,,,1,3,0.5,3,a,2,2,0,0.001,0,1,16.44
2,1,0,Cheilanthes distans,ADIANTACEAE,,,1,,,,,,,1,,1,3,0.3,3,a,2,2,0,0.001,0,1,
2,1,0,Cheilanthes sieberi ssp sieberi,ADIANTACEAE,,1,,,1,,,,,,,1,3,0.4,3,a,2,2,0,0.001,0,1,
2,1,0,Pellaea falcata,ADIANTACEAE,1,1,1,,,,,,,1,,6,3,0.8,3,a,2,12,0,0.001,0,1,
4,1,0,Carpobrotus modestus,AIZOACEAE,,,,1,,,,,,,,11,2,0.07,2,a,3,12,0,,1,,
4,1,0,Carpobrotus rossii,AIZOACEAE,,1,,,,1,,,,,,11,2,0.1,1,,3,12,0,,1,,
4,1,0,Disphyma crassifolium ssp clavellatum,AIZOACEAE,,1,,,,,,,,,,1,2,0.05,1,,1,,0,,1,,
4,1,0,Tetragonia implexicoma,AIZOACEAE,,1,,,,1,,,,,,15,1,3,1,,1,2,0,,0,,
4,1,0,Tetragonia tetragonioides,AIZOACEAE,,,,,,1,,,,,,1,2,0.08,1,,1,2,0,,0,,
3,1,0,Alisma plantago-aquatica,ALISMATACEAE,,,,,,,1,,,,,19,6,1,3,b,1,2,0,0.45,1,1,
3,1,0,Damasonium minus,ALISMATACEAE,,,,,,,1,,,,,19,5,0.5,1,,7,,0,0.21,,1,
4,1,0,Alternanthera denticulata,AMARANTHACEAE,1,1,,,,,,,,,,1,3,0.3,1,,2,12,0,,0,,
4,1,0,Alternanthera sp 1 (Plains),AMARANTHACEAE,1,1,,,,,,,,,,1,3,0.15,1,,2,12,0,,0,,
4,1,0,Hemichroa pentandra,AMARANTHACEAE,,,,,,,,,,,,1,3,0.05,3,a,,,0,,,2,
4,1,0,Ptilotus macrocephalus,AMARANTHACEAE,,1,,,1,,,,,,,1,3,0.5,1,,2,12,0,1.297,1,2,
4,1,0,Ptilotus spathulatus forma spathulatus,AMARANTHACEAE,,1,,,1,1,,,,,,1,3,0.06,1,,2,12,0,3.76,1,2,
4,1,0,Apium annuum,APIACEAE,1,,,,1,1,,,,,,4,5,0.2,1,,1,2,0,,1,1,
4,1,0,Apium prostratum ssp prostratum,APIACEAE,,1,,,,1,,,,1,,1,3,0.3,1,,1,2,0,,1,1,
4,1,0,Centella cordifolia,APIACEAE,1,,1,1,,,,,,1,,1,3,0.2,3,a,1,2,0,,1,1,
4,1,0,Daucus glochidiatus,APIACEAE,1,1,,,1,,,,,,,4,5,0.75,1,,4,2,0,0.78,1,1,18.45
4,1,0,Eryngium ovinum,APIACEAE,,1,,,1,,,,,,,3,3,0.6,3,b,1,2,2,1.95,1,1,6.54
4,1,0,Eryngium vesiculosum,APIACEAE,1,,1,1,,,,,,,,6,3,0.2,3,b,1,2,2,,1,1,
4,1,0,Hydrocotyle callicarpa,APIACEAE,1,,,,,1,,,,,,3,5,0.08,1,,1,2,0,0.41,1,1,31.14
4,1,0,Hydrocotyle capillaris,APIACEAE,1,,,,1,,,,,,,3,5,0.1,1,,1,2,0,,1,1,
4,1,0,Hydrocotyle foveolata,APIACEAE,1,,,,,,,,,,,3,5,0.15,1,,1,2,0,0.22,1,1,31.35
4,0,0,Hydrocotyle geraniifolia,APIACEAE,1,,,,,,,,,,,3,3,0.15,2,a,2,2,0,,1,1,
4,1,0,Hydrocotyle hirta,APIACEAE,1,,1,1,,,,,,,,1,3,0.05,2,a,2,2,0,,1,1,
4,1,0,Hydrocotyle laxiflora,APIACEAE,1,1,,,,,,,,,,1,3,0.2,3,a,1,2,0,0.24,1,1,23.34
4,0,0,Hydrocotyle medicaginoides,APIACEAE,,,1,1,,,,,,,,3,5,0.15,1,,2,2,0,,1,1,
4,1,0,Hydrocotyle sibthorpioides,APIACEAE,1,,,,,,,,,,,1,3,0.15,2,a,1,2,0,,1,1,
4,1,0,Hydrocotyle tripartita,APIACEAE,1,1,,,,,,,,,,1,3,0.15,2,a,1,2,0,,1,1,
4,1,0,Hydrocotyle verticillata,APIACEAE,,,,,,,1,,,,,19,7,0.25,3,a,1,2,0,,1,1,
4,1,0,Lilaeopsis polyantha,APIACEAE,,,,,,,1,,,,,19,7,0.25,3,a,7,2,0,,1,1,
4,1,0,Platysace heterophylla,APIACEAE,1,,,,,,,,,,,3,2,0.4,1,,1,2,0,,1,1,
4,1,0,Platysace lanceolata,APIACEAE,1,,,,,,,,,,,8,1,1.5,1,,1,2,0,,1,1,
4,1,0,Trachymene composita,APIACEAE,,,,,,,,,,,,3,5,1.2,1,,1,2,0,,1,1,
4,1,0,Xanthosia dissecta,APIACEAE,,,,,,,,,,,,3,2,0.3,1,,6,2,0,,1,1,
4,0,0,Xanthosia huegelii,APIACEAE,,1,,1,,,,,,,,3,2,0.15,1,,6,2,0,,1,1,
