error,dataset_id,species_name,site_name,context_name,observation_id,trait_name,value,unit,date,value_type,replicates,original_name
Duplicate of Angevin_2010_12,Williams_2020_1,Caladenia dilatata,NA,NA,Williams_2020_1_305,seed_mass,0.001,mg,NA,site_mean,unknown,Caladenia dilatata
Duplicate of Angevin_2010_49,Williams_2020_1,Lomandra nana,NA,NA,Williams_2020_1_483,seed_mass,0.638,mg,NA,site_mean,unknown,Lomandra nana
Duplicate of Angevin_2010_54,Williams_2020_1,Pelargonium rodneyanum,NA,NA,Williams_2020_1_668,seed_mass,3.94,mg,NA,site_mean,unknown,Pelargonium rodneyanum
Duplicate of Angevin_2010_55,Williams_2020_1,Pimelea humilis,NA,NA,Williams_2020_1_470,seed_mass,1.84,mg,NA,site_mean,unknown,Pimelea humilis
Duplicate of Angevin_2010_63,Williams_2020_1,Schoenus apogon,NA,NA,Williams_2020_1_155,seed_mass,0.54,mg,NA,site_mean,unknown,Schoenus apogon
Duplicate of Angevin_2010_72,Williams_2020_1,Thelymitra pauciflora,NA,NA,Williams_2020_1_347,seed_mass,0.001,mg,NA,site_mean,unknown,Thelymitra pauciflora
Duplicate of Angevin_2010_76,Williams_2020_1,Tricoryne elatior,NA,NA,Williams_2020_1_257,seed_mass,5,mg,NA,site_mean,unknown,Tricoryne elatior
Duplicate of Cross_2011_21,Williams_2020_1,Geranium solanderi,NA,NA,Williams_2020_1_201,seed_mass,1.14,mg,NA,site_mean,unknown,Geranium solanderi
Duplicate of Cross_2011_42,Williams_2020_1,Poa labillardierei,NA,NA,Williams_2020_1_402,seed_mass,0.71,mg,NA,site_mean,unknown,Poa labillardierei
Duplicate of Cross_2011_47,Williams_2020_1,Themeda triandra,NA,NA,Williams_2020_1_408,seed_mass,3.85,mg,NA,site_mean,unknown,Themeda triandra
Duplicate of Kew_2019_1_00510,Williams_2020_1,Eryngium ovinum,NA,NA,Williams_2020_1_015,seed_mass,1.95,mg,NA,site_mean,unknown,Eryngium ovinum
Duplicate of Kew_2019_1_01034,Williams_2020_1,Wahlenbergia gracilis,NA,NA,Williams_2020_1_081,seed_mass,0.03,mg,NA,site_mean,unknown,Wahlenbergia gracilis
Duplicate of Kew_2019_1_01041,Williams_2020_1,Wahlenbergia luteola,NA,NA,Williams_2020_1_082,seed_mass,0.0104,mg,NA,site_mean,unknown,Wahlenbergia luteola
Duplicate of Kew_2019_1_01896,Williams_2020_1,Leptorhynchos squamatus,NA,NA,Williams_2020_1_048,seed_mass,0.1,mg,NA,site_mean,unknown,Leptorhynchos squamatus ssp squamatus
Duplicate of Kew_2019_1_01902,Williams_2020_1,Leptorhynchos tenuifolius,NA,NA,Williams_2020_1_521,seed_mass,0.89,mg,NA,site_mean,unknown,Leptorhynchos tenuifolius
Duplicate of Kew_2019_1_02127,Williams_2020_1,Podolepis jaceoides,NA,NA,Williams_2020_1_536,seed_mass,1.37,mg,NA,site_mean,unknown,Podolepis jaceoides
Duplicate of Kew_2019_1_02282,Williams_2020_1,Sigesbeckia orientalis,NA,NA,Williams_2020_1_548,seed_mass,1.46,mg,NA,site_mean,unknown,Sigesbeckia orientalis
Duplicate of Kew_2019_1_02327,Williams_2020_1,Vittadinia cuneata,NA,NA,Williams_2020_1_064,seed_mass,1.54,mg,NA,site_mean,unknown,Vittadinia cuneata
Duplicate of Kew_2019_1_02523,Williams_2020_1,Crassula sieberiana,NA,NA,Williams_2020_1_588,seed_mass,0.01,mg,NA,site_mean,unknown,Crassula sieberiana
Duplicate of Kew_2019_1_03857,Williams_2020_1,Goodenia pinnatifida,NA,NA,Williams_2020_1_207,seed_mass,3.27,mg,NA,site_mean,unknown,Goodenia pinnatifida
Duplicate of Kew_2019_1_03918,Williams_2020_1,Velleia paradoxa,NA,NA,Williams_2020_1_209,seed_mass,5.19,mg,NA,site_mean,unknown,Velleia paradoxa
Duplicate of Kew_2019_1_05271,Williams_2020_1,Acacia paradoxa,NA,NA,Williams_2020_1_279,seed_mass,14.1,mg,NA,site_mean,unknown,Acacia paradoxa
Duplicate of Kew_2019_1_05900,Williams_2020_1,Cullen tenax,NA,NA,Williams_2020_1_641,seed_mass,5.26,mg,NA,site_mean,unknown,Cullen tenax
Duplicate of Kew_2019_1_06258,Williams_2020_1,Kennedia prostrata,NA,NA,Williams_2020_1_189,seed_mass,15.69,mg,NA,site_mean,unknown,Kennedia prostrata
Duplicate of Kew_2019_1_06490,Williams_2020_1,Sphaerolobium vimineum,NA,NA,Williams_2020_1_659,seed_mass,1,mg,NA,site_mean,unknown,Sphaerolobium vimineum
Duplicate of Kew_2019_1_06832,Williams_2020_1,Viminaria juncea,NA,NA,Williams_2020_1_195,seed_mass,6.4,mg,NA,site_mean,unknown,Viminaria juncea
Duplicate of Kew_2019_1_09300,Williams_2020_1,Eucalyptus viminalis,NA,NA,Williams_2020_1_292,seed_mass,0.55,mg,NA,site_mean,unknown,Eucalyptus viminalis ssp viminalis
Duplicate of Kew_2019_1_10437,Williams_2020_1,Plantago gaudichaudii,NA,NA,Williams_2020_1_353,seed_mass,2.31,mg,NA,site_mean,unknown,Plantago gaudichaudii
Duplicate of Kew_2019_1_10574,Williams_2020_1,Bothriochloa macra,NA,NA,Williams_2020_1_383,seed_mass,1.07,mg,NA,site_mean,unknown,Bothriochloa macra
Duplicate of Kew_2019_1_10614,Williams_2020_1,Cynodon dactylon,NA,NA,Williams_2020_1_827,seed_mass,0.3,mg,NA,site_mean,unknown,Cynodon dactylon
Duplicate of Kew_2019_1_10850,Williams_2020_1,Imperata cylindrica,NA,NA,Williams_2020_1_396,seed_mass,0.116,mg,NA,site_mean,unknown,Imperata cylindrica
Duplicate of Kew_2019_1_11306,Williams_2020_1,Rumex dumosus,NA,NA,Williams_2020_1_419,seed_mass,2.54,mg,NA,site_mean,unknown,Rumex dumosus
Duplicate of Kew_2019_1_12502,Williams_2020_1,Acaena echinata,NA,NA,Williams_2020_1_439,seed_mass,9.68,mg,NA,site_mean,unknown,Acaena echinata
Duplicate of Kew_2019_1_13651,Williams_2020_1,Caesia calliantha,NA,NA,Williams_2020_1_248,seed_mass,3.59,mg,NA,site_mean,unknown,Caesia calliantha
Duplicate of Leishman_1992_013,Williams_2020_1,Isoetopsis graminifolia,NA,NA,Williams_2020_1_043,seed_mass,0.9,mg,NA,site_mean,unknown,Isoetopsis graminifolia
Duplicate of Leishman_1992_092,Williams_2020_1,Convolvulus erubescens,NA,NA,Williams_2020_1_110,seed_mass,4.322,mg,NA,site_mean,unknown,Convolvulus erubescens
Duplicate of Leishman_1992_097,Williams_2020_1,Wahlenbergia capillaris,NA,NA,Williams_2020_1_079,seed_mass,0.01,mg,NA,site_mean,unknown,Wahlenbergia communis
Duplicate of Leishman_1992_254,Williams_2020_1,Chloris truncata,NA,NA,Williams_2020_1_826,seed_mass,0.108,mg,NA,site_mean,unknown,Chloris truncata
Duplicate of Leishman_1993_006,Williams_2020_1,Epacris obtusifolia,NA,NA,Williams_2020_1_629,seed_mass,0.03,mg,NA,site_mean,unknown,Epacris obtusifolia
Duplicate of Leishman_1993_030,Williams_2020_1,Oxalis exilis,NA,NA,Williams_2020_1_807,seed_mass,0.3397,mg,NA,site_mean,unknown,Oxalis exilis
Duplicate of Leishman_1993_035,Williams_2020_1,Galium propinquum,NA,NA,Williams_2020_1_883,seed_mass,0.3907,mg,NA,site_mean,unknown,Galium propinquum
Duplicate of Leishman_1993_037,Williams_2020_1,Bauera rubioides,NA,NA,Williams_2020_1_590,seed_mass,0.4137,mg,NA,site_mean,unknown,Bauera rubioides
Duplicate of Leishman_1993_056,Williams_2020_1,Goodenia ovata,NA,NA,Williams_2020_1_206,seed_mass,0.6978,mg,NA,site_mean,unknown,Goodenia ovata
Duplicate of Leishman_1993_069,Williams_2020_1,Carex appressa,NA,NA,Williams_2020_1_129,seed_mass,1.0009,mg,NA,site_mean,unknown,Carex appressa
Duplicate of Leishman_1993_075,Williams_2020_1,Gonocarpus teucrioides,NA,NA,Williams_2020_1_676,seed_mass,1.1229,mg,NA,site_mean,unknown,Gonocarpus teucrioides
Duplicate of Leishman_1993_083,Williams_2020_1,Eucalyptus globoidea,NA,NA,Williams_2020_1_739,seed_mass,1.4184,mg,NA,site_mean,unknown,Eucalyptus globoidea
Duplicate of Leishman_1993_085,Williams_2020_1,Hibbertia riparia,NA,NA,Williams_2020_1_164,seed_mass,1.445,mg,NA,site_mean,unknown,Hibbertia riparia
Duplicate of Leishman_1993_093,Williams_2020_1,Leptocarpus tenax,NA,NA,Williams_2020_1_436,seed_mass,1.5159,mg,NA,site_mean,unknown,Leptocarpus tenax
Duplicate of Leishman_1993_094,Williams_2020_1,Comesperma volubile,NA,NA,Williams_2020_1_410,seed_mass,1.6086,mg,NA,site_mean,unknown,Comesperma volubile
Duplicate of Leishman_1993_117,Williams_2020_1,Stackhousia viminea,NA,NA,Williams_2020_1_901,seed_mass,2.5605,mg,NA,site_mean,unknown,Stackhousia viminea
Duplicate of Leishman_1993_142,Williams_2020_1,Polyscias sambucifolia,NA,NA,Williams_2020_1_497,seed_mass,3.7014,mg,NA,site_mean,unknown,Polyscias sambucifolia
Duplicate of Leishman_1993_145,Williams_2020_1,Ehrharta juncea,NA,NA,Williams_2020_1_845,seed_mass,3.8258,mg,NA,site_mean,unknown,Tetrarrhena juncea
Duplicate of Leishman_1993_157,Williams_2020_1,Lomandra glauca,NA,NA,Williams_2020_1_481,seed_mass,5.2076,mg,NA,site_mean,unknown,Lomandra glauca
Duplicate of Leishman_1993_158,Williams_2020_1,Pandorea pandorana,NA,NA,Williams_2020_1_555,seed_mass,5.2148,mg,NA,site_mean,unknown,Pandorea pandorana
Duplicate of Leishman_1993_175,Williams_2020_1,Cassytha glabella,NA,NA,Williams_2020_1_238,seed_mass,6.8121,mg,NA,site_mean,unknown,Cassytha glabella
Duplicate of Leishman_1993_262,Williams_2020_1,Ricinocarpos pinifolius,NA,NA,Williams_2020_1_636,seed_mass,48.245,mg,NA,site_mean,unknown,Ricinocarpos pinifolius
Duplicate of Lunt_2012_132,Williams_2020_1,Ptilotus spathulatus,NA,NA,Williams_2020_1_922,seed_mass,3.76,mg,NA,site_mean,unknown,Ptilotus spathulatus
Duplicate of Meers_2010_001,Williams_2020_1,Acacia dealbata,NA,NA,Williams_2020_1_718,seed_mass,10.06,mg,NA,site_mean,unknown,Acacia dealbata
Duplicate of Meers_2010_003,Williams_2020_1,Acacia implexa,NA,NA,Williams_2020_1_721,seed_mass,28.39,mg,NA,site_mean,unknown,Acacia implexa
Duplicate of Meers_2010_004,Williams_2020_1,Acacia melanoxylon,NA,NA,Williams_2020_1_277,seed_mass,12.76,mg,NA,site_mean,unknown,Acacia melanoxylon
Duplicate of Meers_2010_007,Williams_2020_1,Acacia verniciflua,NA,NA,Williams_2020_1_282,seed_mass,11.07,mg,NA,site_mean,unknown,Acacia verniciflua
Duplicate of Meers_2010_008,Williams_2020_1,Acaena novae-zelandiae,NA,NA,Williams_2020_1_440,seed_mass,0.06,mg,NA,site_mean,unknown,Acaena novae-zelandiae
Duplicate of Meers_2010_009,Williams_2020_1,Acaena ovina,NA,NA,Williams_2020_1_441,seed_mass,0.03,mg,NA,site_mean,unknown,Acaena ovina
Duplicate of Meers_2010_011,Williams_2020_1,Acrotriche serrulata,NA,NA,Williams_2020_1_171,seed_mass,6.6,mg,NA,site_mean,unknown,Acrotriche serrulata
Duplicate of Meers_2010_012,Williams_2020_1,Ajuga australis,NA,NA,Williams_2020_1_235,seed_mass,2.24,mg,NA,site_mean,unknown,Ajuga australis
Duplicate of Meers_2010_013,Williams_2020_1,Arthropodium milleflorum,NA,NA,Williams_2020_1_700,seed_mass,0.58,mg,NA,site_mean,unknown,Arthropodium milleflorum
Duplicate of Meers_2010_014,Williams_2020_1,Dichopogon strictus,NA,NA,Williams_2020_1_245,seed_mass,2.2,mg,NA,site_mean,unknown,Arthropodium strictum
Duplicate of Meers_2010_016,Williams_2020_1,Astroloma humifusum,NA,NA,Williams_2020_1_172,seed_mass,51.22,mg,NA,site_mean,unknown,Astroloma humifusum
Duplicate of Meers_2010_017,Williams_2020_1,Rytidosperma caespitosum,NA,NA,Williams_2020_1_358,seed_mass,0.9,mg,NA,site_mean,unknown,Austrodanthonia caespitosa
Duplicate of Meers_2010_019,Williams_2020_1,Billardiera scandens,NA,NA,Williams_2020_1_809,seed_mass,3.6,mg,NA,site_mean,unknown,Billardiera scandens
Duplicate of Meers_2010_021,Williams_2020_1,Brunonia australis,NA,NA,Williams_2020_1_076,seed_mass,0.74,mg,NA,site_mean,unknown,Brunonia australis
Duplicate of Meers_2010_022,Williams_2020_1,Bulbine bulbosa,NA,NA,Williams_2020_1_246,seed_mass,1.61,mg,NA,site_mean,unknown,Bulbine bulbosa
Duplicate of Meers_2010_024,Williams_2020_1,Bursaria spinosa,NA,NA,Williams_2020_1_352,seed_mass,1.32,mg,NA,site_mean,unknown,Bursaria spinosa ssp spinosa
Duplicate of Meers_2010_025,Williams_2020_1,Carex inversa,NA,NA,Williams_2020_1_134,seed_mass,1.33,mg,NA,site_mean,unknown,Carex inversa
Duplicate of Meers_2010_026,Williams_2020_1,Cassinia aculeata,NA,NA,Williams_2020_1_510,seed_mass,0.022,mg,NA,site_mean,unknown,Cassinia aculeata
Duplicate of Meers_2010_027,Williams_2020_1,Cassinia arcuata,NA,NA,Williams_2020_1_032,seed_mass,0.026,mg,NA,site_mean,unknown,Cassinia arcuata
Duplicate of Meers_2010_028,Williams_2020_1,Cassinia trinerva,NA,NA,Williams_2020_1_511,seed_mass,0.033,mg,NA,site_mean,unknown,Cassinia longifolia
Duplicate of Meers_2010_029,Williams_2020_1,Centrolepis aristata,NA,NA,Williams_2020_1_088,seed_mass,0.006,mg,NA,site_mean,unknown,Centrolepis aristata
Duplicate of Meers_2010_030,Williams_2020_1,Chrysocephalum semipapposum,NA,NA,Williams_2020_1_035,seed_mass,0.04,mg,NA,site_mean,unknown,Chrysocephalum semipapposum
Duplicate of Meers_2010_031,Williams_2020_1,Coprosma quadrifida,NA,NA,Williams_2020_1_881,seed_mass,3.84,mg,NA,site_mean,unknown,Coprosma quadrifida
Duplicate of Meers_2010_034,Williams_2020_1,Crassula decumbens,NA,NA,Williams_2020_1_117,seed_mass,0.006,mg,NA,site_mean,unknown,Crassula decumbens
Duplicate of Meers_2010_036,Williams_2020_1,Cymbonotus preissianus,NA,NA,Williams_2020_1_037,seed_mass,2.28,mg,NA,site_mean,unknown,Cymbonotus preissianus
Duplicate of Meers_2010_037,Williams_2020_1,Cynoglossum suaveolens,NA,NA,Williams_2020_1_072,seed_mass,4.44,mg,NA,site_mean,unknown,Cynoglossum suaveolens
Duplicate of Meers_2010_038,Williams_2020_1,Daucus glochidiatus,NA,NA,Williams_2020_1_014,seed_mass,0.78,mg,NA,site_mean,unknown,Daucus glochidiatus
Duplicate of Meers_2010_039,Williams_2020_1,Daviesia leptophylla,NA,NA,Williams_2020_1_179,seed_mass,3.94,mg,NA,site_mean,unknown,Daviesia leptophylla
Duplicate of Meers_2010_041,Williams_2020_1,Dianella revoluta,NA,NA,Williams_2020_1_252,seed_mass,4.41,mg,NA,site_mean,unknown,Dianella revoluta s.l.
Duplicate of Meers_2010_042,Williams_2020_1,Dichelachne crinita,NA,NA,Williams_2020_1_386,seed_mass,0.65,mg,NA,site_mean,unknown,Dichelachne crinita
Duplicate of Meers_2010_043,Williams_2020_1,Dichondra repens,NA,NA,Williams_2020_1_112,seed_mass,3.19,mg,NA,site_mean,unknown,Dichondra repens
Duplicate of Meers_2010_046,Williams_2020_1,Dillwynia sericea,NA,NA,Williams_2020_1_181,seed_mass,2.3,mg,NA,site_mean,unknown,Dillwynia sericea
Duplicate of Meers_2010_048,Williams_2020_1,Drosera aberrans,NA,NA,Williams_2020_1_170,seed_mass,0.34,mg,NA,site_mean,unknown,Drosera whittakeri ssp aberrans
Duplicate of Meers_2010_049,Williams_2020_1,Echinopogon ovatus,NA,NA,Williams_2020_1_388,seed_mass,0.75,mg,NA,site_mean,unknown,Echinopogon ovatus
Duplicate of Meers_2010_050,Williams_2020_1,Elymus scabrus,NA,NA,Williams_2020_1_389,seed_mass,5.56,mg,NA,site_mean,unknown,Elymus scaber
Duplicate of Meers_2010_051,Williams_2020_1,Epacris impressa,NA,NA,Williams_2020_1_174,seed_mass,0.039,mg,NA,site_mean,unknown,Epacris impressa
Duplicate of Meers_2010_052,Williams_2020_1,Epilobium billardierianum,NA,NA,Williams_2020_1_297,seed_mass,0.05,mg,NA,site_mean,unknown,Epilobium billardierianum ssp billardierianum
Duplicate of Meers_2010_052,Williams_2020_1,Epilobium billardierianum,NA,NA,Williams_2020_1_299,seed_mass,0.05,mg,NA,site_mean,unknown,Epilobium billardierianum ssp intermedium
Duplicate of Meers_2010_053,Williams_2020_1,Eucalyptus camaldulensis,NA,NA,Williams_2020_1_287,seed_mass,0.21,mg,NA,site_mean,unknown,Eucalyptus camaldulensis
