Order,Order#,Family,Family#,genus,genus#,spp,crypto,cata,node,hypo,coty,emb
Laurales,1,Hernandiaceae,1,Gyrocarpus,1,americanus,1,,,,2,
Laurales,1,Hernandiaceae,1,Gyrocarpus,1,jacquini,1,1,1,2,1,
Laurales,1,Hernandiaceae,1,Hernandia,2,albiflora,2,,,,,
Laurales,1,Hernandiaceae,1,Hernandia,2,bivalvis,2,,1,,,1
Laurales,1,Hernandiaceae,1,Hernandia,2,nymphaeifolia,2,,,,,
Laurales,1,Idiospermaceae,2,Idiospermum,1,australe,2,2,1,,,2
Laurales,1,Lauraceae,3,Beilschmiedia,1,bancroftii,2,2,1,,,1
Laurales,1,Lauraceae,3,Beilschmiedia,1,brunnea,2,2,,,,1
Laurales,1,Lauraceae,3,Beilschmiedia,1,castrisinensis,2,2,,,,1
Laurales,1,Lauraceae,3,Beilschmiedia,1,obtusifolia,2,2,,,,1
Laurales,1,Lauraceae,3,Beilschmiedia,1,oligandra,2,2,,,,1
Laurales,1,Lauraceae,3,Beilschmiedia,1,peninsularis,2,2,,,,1
Laurales,1,Lauraceae,3,Beilschmiedia,1,recurva,2,2,,,,1
Laurales,1,Lauraceae,3,Beilschmiedia,1,tooram,2,2,,,,1
Laurales,1,Lauraceae,3,Beilschmiedia,1,volksii,2,2,,,,1
Laurales,1,Lauraceae,3,Cassytha,2,glabella,2,2,1,1,1,1
Laurales,1,Lauraceae,3,Cinnamomum,3,baileyanum,2,2,,,,1
Laurales,1,Lauraceae,3,Cinnamomum,3,laubatii,2,2,,,,1
Laurales,1,Lauraceae,3,Cinnamomum,3,oliveri,2,2,,,,1
Laurales,1,Lauraceae,3,Cinnamomum,3,propinquum,2,2,,,,1
Laurales,1,Lauraceae,3,Cryptocarya,4,angulata,2,2,,,,1
Laurales,1,Lauraceae,3,Cryptocarya,4,bamagana,2,2,,,,1
Laurales,1,Lauraceae,3,Cryptocarya,4,bellendenker,2,2,,,,1
Laurales,1,Lauraceae,3,Cryptocarya,4,bowei,2,2,1,,,
Laurales,1,Lauraceae,3,Cryptocarya,4,brassii,2,2,,,,1
Laurales,1,Lauraceae,3,Cryptocarya,4,burckiana,2,2,,,,1
Laurales,1,Lauraceae,3,Cryptocarya,4,clarksoniana,2,2,,,,1
Laurales,1,Lauraceae,3,Cryptocarya,4,claudiana,2,2,,,,1
Laurales,1,Lauraceae,3,Cryptocarya,4,cocosoides,2,2,,,,1
Laurales,1,Lauraceae,3,Cryptocarya,4,corrugata,2,2,,,,1
Laurales,1,Lauraceae,3,Cryptocarya,4,cunninghamii,2,2,,,,1
Laurales,1,Lauraceae,3,Cryptocarya,4,densiflora,2,2,,,,1
Laurales,1,Lauraceae,3,Cryptocarya,4,endiandrifolia,2,2,,,,1
Laurales,1,Lauraceae,3,Cryptocarya,4,erythroxylon,2,2,2,,,
Laurales,1,Lauraceae,3,Cryptocarya,4,exfoliata,2,2,,,,1
Laurales,1,Lauraceae,3,Cryptocarya,4,glaucocarpa,2,2,,,,1
Laurales,1,Lauraceae,3,Cryptocarya,4,grandis,2,2,,,,1
Laurales,1,Lauraceae,3,Cryptocarya,4,hypospodia,2,2,,,,1
Laurales,1,Lauraceae,3,Cryptocarya,4,laevigata,2,2,,,,1
Laurales,1,Lauraceae,3,Cryptocarya,4,leucophylla,2,2,,,,1
Laurales,1,Lauraceae,3,Cryptocarya,4,lividula,2,2,,,,1
Laurales,1,Lauraceae,3,Cryptocarya,4,mackinnoniana,2,2,,,,1
Laurales,1,Lauraceae,3,Cryptocarya,4,melanocarpa,2,2,,,,1
Laurales,1,Lauraceae,3,Cryptocarya,4,murrayi,2,2,,,,1
Laurales,1,Lauraceae,3,Cryptocarya,4,oblata,2,2,,,,1
Laurales,1,Lauraceae,3,Cryptocarya,4,onoprienkoana,2,2,,,,1
Laurales,1,Lauraceae,3,Cryptocarya,4,pleurosperma,2,2,,,,1
Laurales,1,Lauraceae,3,Cryptocarya,4,putida,2,2,,,,1
Laurales,1,Lauraceae,3,Cryptocarya,4,rhodosperma,2,2,,,,1
Laurales,1,Lauraceae,3,Cryptocarya,4,saccharata,2,2,,,,1
Laurales,1,Lauraceae,3,Cryptocarya,4,smargadina,2,2,,,,1
Laurales,1,Lauraceae,3,Cryptocarya,4,triplinervis,2,1,2,1,1,1
Laurales,1,Lauraceae,3,Cryptocarya,4,vulgaris,2,2,,,,1
Laurales,1,Lauraceae,3,Endiandra,5,acuminata,2,2,,,,1
Laurales,1,Lauraceae,3,Endiandra,5,anthropophagoru,2,2,,,,1
Laurales,1,Lauraceae,3,Endiandra,5,bellendenkerana,2,2,,,,1
Laurales,1,Lauraceae,3,Endiandra,5,bessaphila,2,2,,,,1
Laurales,1,Lauraceae,3,Endiandra,5,collinsii,2,2,,,,1
Laurales,1,Lauraceae,3,Endiandra,5,compressa,2,2,,,,1
Laurales,1,Lauraceae,3,Endiandra,5,cooperana,2,2,,,,1
Laurales,1,Lauraceae,3,Endiandra,5,cowleyana,2,2,,,,1
Laurales,1,Lauraceae,3,Endiandra,5,dichrophylla,2,2,,,,1
Laurales,1,Lauraceae,3,Endiandra,5,dielsiana,2,2,,,,1
Laurales,1,Lauraceae,3,Endiandra,5,discolor,2,2,,,,1
Laurales,1,Lauraceae,3,Endiandra,5,glauca,2,2,,,,1
Laurales,1,Lauraceae,3,Endiandra,5,globosa,2,2,,,,1
Laurales,1,Lauraceae,3,Endiandra,5,grayi,2,2,,,,1
Laurales,1,Lauraceae,3,Endiandra,5,hypotephra,2,2,,,,1
Laurales,1,Lauraceae,3,Endiandra,5,impressicosta,2,2,,,,1
Laurales,1,Lauraceae,3,Endiandra,5,insignis,2,2,,,,1
Laurales,1,Lauraceae,3,Endiandra,5,jonesii,2,2,,,,1
Laurales,1,Lauraceae,3,Endiandra,5,leptodendron,2,2,,,,1
Laurales,1,Lauraceae,3,Endiandra,5,limnophila,2,2,,,,1
Laurales,1,Lauraceae,3,Endiandra,5,longipedicellat,2,2,,,,1
Laurales,1,Lauraceae,3,Endiandra,5,microneura,2,2,,,,1
Laurales,1,Lauraceae,3,Endiandra,5,monothyra,2,2,,,,1
Laurales,1,Lauraceae,3,Endiandra,5,montana,2,2,,,,1
Laurales,1,Lauraceae,3,Endiandra,5,palmerstonii,2,2,1,,,1
Laurales,1,Lauraceae,3,Endiandra,5,phaeocarpa,2,2,,,,1
Laurales,1,Lauraceae,3,Endiandra,5,pubens,2,2,1,,,
Laurales,1,Lauraceae,3,Endiandra,5,sankeyana,2,2,,,,1
Laurales,1,Lauraceae,3,Endiandra,5,sideroxylon,2,2,,,,1
Laurales,1,Lauraceae,3,Endiandra,5,wolfei,2,2,,,,1
Laurales,1,Lauraceae,3,Endiandra,5,xanthocarpa,2,2,,,,1
Laurales,1,Lauraceae,3,Lindera,6,queenslandica,2,,,,,1
Laurales,1,Lauraceae,3,Litsea,7,bennettii,2,2,,,,1
Laurales,1,Lauraceae,3,Litsea,7,bindoniana,2,2,,,,1
Laurales,1,Lauraceae,3,Litsea,7,breviumbellata,2,2,,,,1
Laurales,1,Lauraceae,3,Litsea,7,connersii,2,2,,,,1
Laurales,1,Lauraceae,3,Litsea,7,dealbata,2,2,1,,,1
Laurales,1,Lauraceae,3,Litsea,7,fawcettiana,2,2,,,,1
Laurales,1,Lauraceae,3,Litsea,7,glutinosa,2,2,,,,1
Laurales,1,Lauraceae,3,Litsea,7,granitica,2,2,,,,1
Laurales,1,Lauraceae,3,Litsea,7,leefiana,2,2,,,,1
Laurales,1,Lauraceae,3,Litsea,7,macrophylla,2,2,,,,1
Laurales,1,Lauraceae,3,Neolitsea,8,brassii,2,2,,,,1
Laurales,1,Lauraceae,3,Neolitsea,8,dealbata,2,2,,,,1
Laurales,1,Monimiaceae,4,Atherosperma,1,moschatum,1,1,2,,,
Laurales,1,Monimiaceae,4,Daphnandra,2,repandula,1,,,,,
Laurales,1,Monimiaceae,4,Doryphora,3,aromatica,1,,,,,
Laurales,1,Monimiaceae,4,Doryphora,3,sassafrass,1,1,2,,,
Laurales,1,Monimiaceae,4,Dryadodaphne,4,sp,1,,,,,
Laurales,1,Monimiaceae,4,Hedycarya,5,loxocarya,1,,,,,
Laurales,1,Monimiaceae,4,Kibara,6,rigidifolia,1,,,,,
Laurales,1,Monimiaceae,4,Levieria,7,acuminata,1,,,,,
Laurales,1,Monimiaceae,4,Steganthera,8,macooraia,1,,,,,
Laurales,1,Monimiaceae,4,Tetrasynandra,9,laxiflora,1,,,,,
Laurales,1,Monimiaceae,4,Tetrasynandra,9,longipes,1,,,,,
Laurales,1,Monimiaceae,4,Tetrasynandra,9,pubescens,1,,,,,
Laurales,1,Monimiaceae,4,Tetrasynandra,9,sp aff,1,,,,,
Laurales,1,Monimiaceae,4,Wilkiea,10,angustifolia,1,,,,,
Laurales,1,Monimiaceae,4,Wilkiea,10,hugeliana,1,1,2,,1,
Laurales,1,Monimiaceae,4,Wilkiea,10,sp. 1944,1,,,,,
Magnoliales,1,Annonaceae,1,Cananga,1,odorata,1,,,,,
Magnoliales,1,Annonaceae,1,Fitzalania,2,heteropetala,2,,,,,
Magnoliales,1,Annonaceae,1,Goniothalamus,3,australis,2,,,,,
Magnoliales,1,Annonaceae,1,Miliusa,4,brahei,1,,,,,
