spp,abbrev,Site,Seed provenance,whole_M (mg),reserve_M (mg),reserve%,sd(wholeM),n (wholeM),metadata_id,primary_source,notes,Seed provenance simple
Acacia colletioides,AcaCol,loRloP,ASC - Broken Hill,5.6,3,54,1.5,20,31,29,,ASC - Broken Hill
Acacia doratoxylon,AcaDor,loRhiP,Leeton (wnsw) -seedstock,10.1,7.9,78,2,33,31,29,,Leeton (wnsw) -seedstock
Acacia floribunda,AcaFlo,hiRhiP,Shoalhaven - MLF,6.9,4.2,61,1.4,45,32,30,,Shoalhaven - MLF
Acacia hakeoides,AcaHak,loRhiP,ASC - Tenterfield,21.6,11,51,4,20,32,30,,ASC - Tenterfield
Acacia havilandii,AcaHav,loRloP,ASC - SW Slopes,5,3.3,65,0.9,20,31,29,,ASC - SW Slopes
Acacia suaveolens ,AcaSua,hiRloP,Harvest - Sydney,25.3,15,59,2.9,20,32,30,,Harvest - Sydney
Acacia wilhelmiana,AcaWil,loRloP,ASC Spencer Gulf,6,3.8,63,1,20,31,29,,ASC Spencer Gulf
Allocasuarina sp.,AllSp?,hiRhiP,westhead 12/98,2.4,1.2,50,0.5,20,32,30,,KCNP - West Head
Banksia marginata,BanMar,hiRloP,Harvest - CC,6.4,5.3,83,1.3,20,32,30,,Harvest - Central Coast
Bertya cunninghamii,BerCun,loRloP,RH mallee 11/98,13.3,,,1.9,20,31,29,,Round Hill mallee
Beyeria opaca,BeyOpa,loRloP,rh mallee 11/98,8.6,,,3.5,20,31,29,,Round Hill mallee
Brachychiton  populneus,BraPop,loRloP,ASC- Broken Hill,103.3,54.7,53,14.9,41,31,29,,ASC - Broken Hill
Brachychiton populneus,BraPop,loRhiP,ASC- Broken Hill,103.3,54.7,53,14.9,41,31,29,,ASC - Broken Hill
Cassinia laevis,CasLae,loRloP,seedstock,0.1,,,,113,31,29,"seed mass had been 10.7 in this file, but was 0.1 in the version under Westoby_2003_old_data which matches other observations",seedstock
Corymbia  gummifera,CorGum,hiRloP,Murrua 12/98,11.2,8.4,75,1.7,20,32,30,,Murrua
Dodonaea triquetra,DodTri,hiRhiP,westhead 12/98,3.5,,,0.2,20,32,30,,KCNP - West Head
Dodonaea viscosa angustissima,DodViAn,loRhiP,RH wdland 12/97,4.8,2.3,47,1.2,20,32,30,,Round Hill woodland
Dodonaea viscosa cuneata,Dodvicu,loRhiP,RH wdland 12/97,4.1,1.6,40,0.9,20,32,30,,Round Hill woodland
Dodonaea viscosa spatulata,Dodvivi,loRhiP,RH wdland 12/97,3.6,1.7,46,0.8,20,31,29,,Round Hill woodland
Eremophila deserti,EreDes,loRloP,RH mallee1&2,29.5,4.4,15,8,32,32,30,,Round Hill mallee
Eremophila glabra,EreGla,loRhiP,RH,53.3,6.8,13,14.6,29,32,30,,Round Hill
Eremophila glabra,EreGla,loRloP,RH,54.9,7.8,14,21,19,32,30,,Round Hill
Eremophila longifolia,EreLon,loRhiP,rhwland 6/99,95,,,28.3,27,31,29,,Round Hill woodland
Eriostemon australasius,EriAus,hiRloP,seedstock,19.3,,,3.6,20,32,30,,seedstock
Eriostemon australasius,EriAus,hiRloP,Murrua,21.4,,,3,20,32,30,,Murrua
Eriostemon difformis,EriDif,loRhiP,RHM2 10/98,2,,,0.4,10,32,30,,Round Hill mallee
Eriostemon difformis,EriDif,loRloP,RHM2 10/98,2,,,0.4,10,32,30,,Round Hill mallee
