Plot_name,long_dd,lat_dd
Kakadu fireplot 15,132.296,-13.545
Kakadu fireplot 33,132.459,-13.517
Kakadu fireplot 37,132.576,-13.499
Kakadu fireplot 41,132.272,-13.554
Western Arnhem Land WALFA plot 31,133.838,-12.711
Western Arnhem Land WALFA plot 32,133.836,-12.711
Western Arnhem Land WALFA plot 33,133.835,-12.710
Western Arnhem Land WALFA plot 58,133.940,-12.154
Western Arnhem Land WALFA plot 59,133.877,-12.114
Western Arnhem Land WALFA plot 70,134.365,-12.342
Western Arnhem Land WALFA plot 71,134.159,-12.357
Western Arnhem Land WALFA plot 72,134.077,-12.257
Western Arnhem Land WALFA plot 73 ,133.794,-12.130
