spp,age,spp_age,Rep,date,ID,vial#,DryMass_mg,area_mm2,n(lvs),LfSize_mm2,SLAmm2mg,C%,N%,P%,notes
AcaDif,adult,AcaDif_A,2,dry season (Sep 2010),AcaDif_A_2,1,978,8268,3,2756,8.5,50.93,1.614,0.05652,
AcaDif,adult,AcaDif_A,11,dry season (Sep 2010),AcaDif_A_11,2,1169,10692,3,3564,9.1,50.5,1.521,0.05793,
AcaDif,adult,AcaDif_A,12,dry season (Sep 2010),AcaDif_A_12,3,1172,11035,3,3678,9.4,49.58,1.252,0.04243,
AcaDif,adult,AcaDif_A,1,dry season (Sep 2010),AcaDif_A_1,4,1218,10324,3,3441,8.5,49.87,1.799,0.06099,
AcaDif,adult,AcaDif_A,10,dry season (Sep 2010),AcaDif_A_10,5,1227,10755,3,3585,8.8,49.73,1.615,0.05024,
AcaLat,adult,AcaLat_A,2,dry season (Sep 2010),AcaLat_A_2,6,761,6470,3,2157,8.5,53.84,2.04,0.05219,
AcaLat,adult,AcaLat_A,40,dry season (Sep 2010),AcaLat_A_40,7,810,6747,3,2249,8.3,52.31,2.227,0.03718,
AcaLat,adult,AcaLat_A,3,dry season (Sep 2010),AcaLat_A_3,8,815,7985,3,2662,9.8,50.74,2.513,0.08439,
AcaLat,adult,AcaLat_A,4,dry season (Sep 2010),AcaLat_A_4,9,898,7219,3,2406,8,52.43,1.841,0.05324,
AcaLat,adult,AcaLat_A,1,dry season (Sep 2010),AcaLat_A_1,10,982,8024,3,2675,8.2,51.5,2.506,0.06625,
AcaLat,sapling,AcaLat_S,3,dry season (Sep 2010),AcaLat_S_3,11,686,7470,3,2490,10.9,49.23,2.413,0.08957,
AcaLat,adult,AcaLat_A,5,dry season (Sep 2010),AcaLat_A_5,12,1256,9416,3,3139,7.5,51.94,2.328,0.04177,
AcaLat,sapling,AcaLat_S,2,dry season (Sep 2010),AcaLat_S_2,13,1061,9120,3,3040,8.6,51.68,2.237,0.06726,
AcaLat,sapling,AcaLat_S,1,dry season (Sep 2010),AcaLat_S_1,14,909,7588,2,3794,8.3,52.03,1.717,0.05329,
AcaLat,sapling,AcaLat_S,4,dry season (Sep 2010),AcaLat_S_4,15,945,7496,3,2499,7.9,51.09,2.081,0.06099,
AcaLat,sapling,AcaLat_S,5,dry season (Sep 2010),AcaLat_S_5,16,1119,8560,3,2853,7.6,50.49,2.043,0.03676,
AcaMim,adult,AcaMim_A,42,dry season (Sep 2010),AcaMim_A_42,17,648,5121,3,1707,7.9,51.31,2.339,0.04713,
AcaMim,adult,AcaMim_A,40,dry season (Sep 2010),AcaMim_A_40,18,798,6153,3,2051,7.7,51.34,2.313,0.04196,
AcaMim,adult,AcaMim_A,1,dry season (Sep 2010),AcaMim_A_1,19,822,5814,3,1938,7.1,50.81,1.987,0.03425,
AcaMim,adult,AcaMim_A,41,dry season (Sep 2010),AcaMim_A_41,20,836,5821,3,1940,7,51.65,2.154,0.03725,
AcaMim,adult,AcaMim_A,10,dry season (Sep 2010),AcaMim_A_10,21,1145,7120,3,2373,6.2,51.87,2.134,0.03788,
AcaMim,sapling,AcaMim_S,11,dry season (Sep 2010),AcaMim_S_11,22,1228,8282,3,2761,6.7,52.33,2.135,0.03251,
AcaMim,sapling,AcaMim_S,10,dry season (Sep 2010),AcaMim_S_10,23,1234,7982,3,2661,6.5,51.3,2.203,0.0382,
AcaMim,sapling,AcaMim_S,40,dry season (Sep 2010),AcaMim_S_40,24,1258,9059,3,3020,7.2,51.34,1.84,0.03367,
AcaMim,sapling,AcaMim_S,2,dry season (Sep 2010),AcaMim_S_2,25,1280,9276,3,3092,7.2,52.27,2.015,0.03183,
AcaMim,sapling,AcaMim_S,1,dry season (Sep 2010),AcaMim_S_1,26,1768,11003,3,3668,6.2,51.94,2.176,0.03494,
BucObo,sapling,BucObo_S,20,dry season (Sep 2010),BucObo_S_20,27,7541,54116,3,18039,7.2,44.88,0.9073,0.05997,
BucObo,sapling,BucObo_S,60,dry season (Sep 2010),BucObo_S_60,28,10422,61804,3,20601,5.9,45.83,0.6346,0.05196,
BucObo,sapling,BucObo_S,61,dry season (Sep 2010),BucObo_S_61,29,10488,67886,3,22629,6.5,44.98,0.7585,0.0651,
