origrow,sample_date,spp,age,date,spp_type,Rep,ID,Displacement (g),Dry mass (g),Diam1_mm,Diam2_mm,avDiam,WD
6,9/24/2010,AcaDif,adult,dry season (Sep 2010),AcaDif_A,1,AcaDif_A_1,3.07,1.826,7.2,7.3,7.2,0.59
7,9/24/2010,AcaDif,adult,dry season (Sep 2010),AcaDif_A,2,AcaDif_A_2,2.7,1.683,6.8,7,6.9,0.62
57,9/24/2010,AcaDif,adult,dry season (Sep 2010),AcaDif_A,10,AcaDif_A_10,1.17,0.627,5,5.1,5,0.54
58,9/24/2010,AcaDif,adult,dry season (Sep 2010),AcaDif_A,11,AcaDif_A_11,1.3,0.8,5.3,5.5,5.4,0.62
59,9/24/2010,AcaDif,adult,dry season (Sep 2010),AcaDif_A,12,AcaDif_A_12,1.48,0.859,5.8,6,5.9,0.58
90,9/27/2010,AcaLat,adult,dry season (Sep 2010),AcaLat_A,1,AcaLat_A_1,0.91,0.545,4.6,4.7,4.6,0.6
92,9/27/2010,AcaLat,adult,dry season (Sep 2010),AcaLat_A,2,AcaLat_A_2,1.77,0.871,6.3,6.7,6.5,0.49
93,9/27/2010,AcaLat,adult,dry season (Sep 2010),AcaLat_A,3,AcaLat_A_3,2.44,1.119,7.3,7.6,7.4,0.46
94,9/27/2010,AcaLat,adult,dry season (Sep 2010),AcaLat_A,4,AcaLat_A_4,3.77,2.323,9.3,9.8,9.5,0.62
95,9/27/2010,AcaLat,adult,dry season (Sep 2010),AcaLat_A,5,AcaLat_A_5,1.78,1.108,6.4,6.8,6.6,0.62
91,9/27/2010,AcaLat,adult,dry season (Sep 2010),AcaLat_A,6,AcaLat_A_6,1.28,0.744,5.5,5.6,5.5,0.58
88,9/27/2010,AcaLat,sapling,dry season (Sep 2010),AcaLat_S,3,AcaLat_S_3,1.96,1.002,6.5,6.6,6.5,0.51
89,9/27/2010,AcaLat,sapling,dry season (Sep 2010),AcaLat_S,5,AcaLat_S_5,2.64,1.552,7.5,8.4,7.9,0.59
169,9/29/2010,AcaLat,sapling,dry season (Sep 2010),AcaLat_S,60,AcaLat_S_60,1.77,1.033,6.8,7.3,7,0.58
170,9/29/2010,AcaLat,sapling,dry season (Sep 2010),AcaLat_S,61,AcaLat_S_61,1.54,0.998,6.4,7.1,6.7,0.65
171,9/29/2010,AcaLat,sapling,dry season (Sep 2010),AcaLat_S,62,AcaLat_S_62,1.67,0.972,6.5,7.5,7,0.58
133,9/23/2010,AcaMim,adult,dry season (Sep 2010),AcaMim_A,1,AcaMim_A_1,2.34,1.585,6.9,7.1,7,0.68
134,9/23/2010,AcaMim,adult,dry season (Sep 2010),AcaMim_A,2,AcaMim_A_2,1.94,1.245,6.5,7,6.7,0.64
135,9/23/2010,AcaMim,adult,dry season (Sep 2010),AcaMim_A,3,AcaMim_A_3,1.99,1.163,6.7,7.2,6.9,0.58
136,9/23/2010,AcaMim,adult,dry season (Sep 2010),AcaMim_A,4,AcaMim_A_4,1.63,1.233,5.9,6.6,6.2,0.76
137,9/23/2010,AcaMim,adult,dry season (Sep 2010),AcaMim_A,6,AcaMim_A_6,1.45,0.996,6.3,6.6,6.4,0.69
82,9/27/2010,AcaMim,sapling,dry season (Sep 2010),AcaMim_S,1,AcaMim_S_1,2.71,1.638,8.2,8.7,8.4,0.6
132,9/23/2010,AcaMim,sapling,dry season (Sep 2010),AcaMim_S,3,AcaMim_S_3,3.34,1.936,8,8.5,8.2,0.58
17,9/24/2010,AcaMim,sapling,dry season (Sep 2010),AcaMim_S,4,AcaMim_S_4,1.52,1.012,5.8,6,5.9,0.67
55,9/24/2010,AcaMim,sapling,dry season (Sep 2010),AcaMim_S,10,AcaMim_S_10,0.97,0.635,4.7,5.7,5.2,0.65
56,9/24/2010,AcaMim,sapling,dry season (Sep 2010),AcaMim_S,11,AcaMim_S_11,1.95,1.194,7.1,7.5,7.3,0.61
83,9/27/2010,AcaMim,sapling,dry season (Sep 2010),AcaMim_S,12,AcaMim_S_12,1.56,0.993,6.4,6.9,6.6,0.64
5,9/24/2010,BucObo,adult,dry season (Sep 2010),BucObo_A,1,BucObo_A_1,3.33,1.19,7,7.4,7.2,0.36
4,9/24/2010,BucObo,adult,dry season (Sep 2010),BucObo_A,2,BucObo_A_2,4.39,1.767,8.6,9.7,9.1,0.4
3,9/24/2010,BucObo,adult,dry season (Sep 2010),BucObo_A,3,BucObo_A_3,2.79,1.143,6.3,8.2,7.2,0.41
166,9/29/2010,BucObo,adult,dry season (Sep 2010),BucObo_A,50,BucObo_A_50,2.69,1.008,7.5,8.4,7.9,0.37
2,9/24/2010,BucObo,sapling,dry season (Sep 2010),BucObo_S,1,BucObo_S_1,5.85,1.998,9.3,9.8,9.5,0.34
1,9/24/2010,BucObo,sapling,dry season (Sep 2010),BucObo_S,2,BucObo_S_2,3.3,1.233,7.7,8.2,7.9,0.37
70,9/24/2010,BucObo,sapling,dry season (Sep 2010),BucObo_S,10,BucObo_S_10,2.03,0.778,6.8,7,6.9,0.38
71,9/24/2010,BucObo,sapling,dry season (Sep 2010),BucObo_S,11,BucObo_S_11,1.95,0.728,6.4,6.7,6.5,0.37
72,9/24/2010,BucObo,sapling,dry season (Sep 2010),BucObo_S,12,BucObo_S_12,1.71,0.72,6.5,6.9,6.7,0.42
167,9/29/2010,BucObo,sapling,dry season (Sep 2010),BucObo_S,50,BucObo_S_50,1.91,0.7,6.9,7.4,7.1,0.37
143,9/23/2010,CorBle,adult,dry season (Sep 2010),CorBle_A,1,CorBle_A_1,2.7,1.721,7.2,7.9,7.5,0.64
144,9/23/2010,CorBle,adult,dry season (Sep 2010),CorBle_A,3,CorBle_A_3,2.45,1.462,6.9,6.9,6.9,0.6
145,9/23/2010,CorBle,adult,dry season (Sep 2010),CorBle_A,4,CorBle_A_4,2.23,1.333,6.1,6.6,6.3,0.6
164,9/29/2010,CorBle,adult,dry season (Sep 2010),CorBle_A,60,CorBle_A_60,1.6,1.057,7,7.3,7.1,0.66
165,9/29/2010,CorBle,adult,dry season (Sep 2010),CorBle_A,61,CorBle_A_61,1.85,1.21,7.3,7.7,7.5,0.65
146,9/23/2010,CorBle,sapling,dry season (Sep 2010),CorBle_S,1,CorBle_S_1,2.76,1.895,7.9,8.1,8,0.69
147,9/23/2010,CorBle,sapling,dry season (Sep 2010),CorBle_S,2,CorBle_S_2,3.23,1.979,8.4,8.5,8.4,0.61
148,9/23/2010,CorBle,sapling,dry season (Sep 2010),CorBle_S,3,CorBle_S_3,4.06,2.673,8.6,9,8.8,0.66
150,9/23/2010,CorBle,sapling,dry season (Sep 2010),CorBle_S,4,CorBle_S_4,1.83,0.927,5.7,6.1,5.9,0.51
151,9/23/2010,CorBle,sapling,dry season (Sep 2010),CorBle_S,5,CorBle_S_5,1.92,1.215,6.1,6.4,6.2,0.63
149,9/23/2010,CorBle,sapling,dry season (Sep 2010),CorBle_S,6,CorBle_S_6,3.48,1.799,8,8.2,8.1,0.52
60,9/24/2010,CorBle,sapling,dry season (Sep 2010),CorBle_S,10,CorBle_S_10,1.66,0.954,6.2,6.4,6.3,0.57
120,9/23/2010,CorPor,adult,dry season (Sep 2010),CorPor_A,1,CorPor_A_1,2.73,1.703,8.1,8.4,8.2,0.62
121,9/23/2010,CorPor,adult,dry season (Sep 2010),CorPor_A,3,CorPor_A_3,2.67,1.761,8.2,8.5,8.3,0.66
122,9/23/2010,CorPor,adult,dry season (Sep 2010),CorPor_A,5,CorPor_A_5,3.21,1.848,8.8,9.4,9.1,0.58
160,9/29/2010,CorPor,adult,dry season (Sep 2010),CorPor_A,41,CorPor_A_41,1.71,0.874,7.4,7.6,7.5,0.51
168,9/29/2010,CorPor,adult,dry season (Sep 2010),CorPor_A,60,CorPor_A_60,1.4,0.738,7,7.4,7.2,0.53
161,9/29/2010,CorPor,adult,dry season (Sep 2010),CorPor_A,61,CorPor_A_61,2.05,1.086,7.5,7.7,7.6,0.53
123,9/23/2010,CorPor,sapling,dry season (Sep 2010),CorPor_S,1,CorPor_S_1,3.3,1.721,7.6,7.8,7.7,0.52
124,9/23/2010,CorPor,sapling,dry season (Sep 2010),CorPor_S,2,CorPor_S_2,2.85,1.912,7.9,8.1,8,0.67
125,9/23/2010,CorPor,sapling,dry season (Sep 2010),CorPor_S,3,CorPor_S_3,3.93,2.29,8.3,9.4,8.8,0.58
126,9/23/2010,CorPor,sapling,dry season (Sep 2010),CorPor_S,4,CorPor_S_4,2.16,1.319,6.3,7.1,6.7,0.61
73,9/24/2010,EryChl,adult,dry season (Sep 2010),EryChl_A,10,EryChl_A_10,1.84,0.918,7.5,8.2,7.8,0.5
75,9/24/2010,EryChl,adult,dry season (Sep 2010),EryChl_A,11,EryChl_A_11,2.33,1.058,8.6,8.8,8.7,0.45
76,9/24/2010,EryChl,adult,dry season (Sep 2010),EryChl_A,12,EryChl_A_12,1.55,0.663,7.1,7.2,7.1,0.43
77,9/24/2010,EryChl,adult,dry season (Sep 2010),EryChl_A,13,EryChl_A_13,1.89,0.791,6.9,7.8,7.3,0.42
78,9/24/2010,EryChl,adult,dry season (Sep 2010),EryChl_A,14,EryChl_A_14,2.24,0.987,7.5,7.8,7.6,0.44
74,9/24/2010,EryChl,adult,dry season (Sep 2010),EryChl_A,15,EryChl_A_15,2.2,1.003,7.3,7.8,7.5,0.46
127,9/23/2010,EryChl,sapling,dry season (Sep 2010),EryChl_S,1,EryChl_S_1,2.05,1.097,6.6,6.9,6.7,0.54
69,9/24/2010,EryChl,sapling,dry season (Sep 2010),EryChl_S,2,EryChl_S_2,1.73,1.015,7,7.4,7.2,0.59
129,9/23/2010,EryChl,sapling,dry season (Sep 2010),EryChl_S,3,EryChl_S_3,2.58,1.366,6.7,6.7,6.7,0.53
130,9/23/2010,EryChl,sapling,dry season (Sep 2010),EryChl_S,4,EryChl_S_4,2.5,1.124,7,7.5,7.2,0.45
128,9/23/2010,EryChl,sapling,dry season (Sep 2010),EryChl_S,5,EryChl_S_5,1.16,0.602,4.8,5.4,5.1,0.52
131,9/23/2010,EryChl,sapling,dry season (Sep 2010),EryChl_S,7,EryChl_S_7,3.1,1.529,8.2,8.4,8.3,0.49
