Site_name,Locality,Species,leaf age,Replicate,Nitrogen_mg_g,Phosphorus_mg_g,Potassium_mg_g,Sulfur_mg_g,Carbon_mg_g,Calcium_mg_g,Magnesium_mg_g,Sodium_mg_g,Copper_mg_kg,Zinc_mg_kg,Manganese_mg_kg,Iron_mg_kg,Boron_mg_kg,Silicon_mg_kg,Nitrogen_Sulfur_Ratio,Nitrogen_Phosphorus_Ratio,Nitrogen_Potassium_Ratio,Carbon_Nitrogen_Ratio
EucFACE,EucFACE,Angophora floribunda,mature,1,13.70,0.81,7.64,1.25,499.00,5.00,1.24,2.20,3.94,49.22,869.37,204.54,30.98,239.67,10.96,16.82,1.79,36.42
EucFACE,EucFACE,Angophora floribunda,mature,2,15.00,0.81,8.71,1.26,497.00,6.59,2.50,1.40,5.29,63.76,1520.22,92.36,28.32,246.91,11.90,18.62,1.72,33.13
EucFACE,EucFACE,Angophora floribunda,mature,3,14.40,0.58,9.49,1.31,508.00,3.36,1.56,0.22,3.73,54.93,711.08,87.98,30.55,243.18,10.99,24.82,1.52,35.28
EucFACE,EucFACE,Angophora floribunda,mature,4,14.40,0.60,5.83,1.30,500.00,5.62,1.82,0.29,3.50,72.57,959.79,142.29,48.13,256.68,11.08,23.98,2.47,34.72
EucFACE,EucFACE,Angophora subvelutina,mature,1,16.10,0.64,8.10,1.47,496.00,8.54,2.34,0.26,4.07,82.73,1675.51,336.09,45.77,291.75,10.95,25.16,1.99,30.81
EucFACE,EucFACE,Angophora subvelutina,mature,2,15.40,0.58,8.71,1.33,502.00,5.08,1.79,0.74,3.24,65.42,1569.41,133.59,26.91,281.84,11.58,26.63,1.77,32.60
EucFACE,EucFACE,Angophora subvelutina,mature,3,17.40,0.76,6.68,1.54,494.00,5.74,2.57,1.30,4.59,84.42,965.72,237.44,39.19,286.22,11.30,22.77,2.60,28.39
EucFACE,EucFACE,Angophora subvelutina,mature,4,20.30,0.76,8.96,1.65,499.00,4.54,1.62,1.35,5.50,98.78,682.26,279.43,43.97,303.17,12.30,26.73,2.27,24.58
EucFACE,EucFACE,Angophora subvelutina,mature,5,14.60,0.60,5.76,1.25,501.00,3.89,1.32,2.93,3.87,50.07,1044.51,185.68,31.43,290.79,11.68,24.35,2.54,34.32
EucFACE,EucFACE,Eucalyptus tereticornis,mature,1,18.15,0.92,7.02,1.64,495.00,9.53,1.99,2.41,8.85,48.93,1631.36,98.79,61.21,288.80,11.10,19.70,2.59,27.27
EucFACE,EucFACE,Eucalyptus tereticornis,mature,2,16.60,0.75,6.98,1.37,506.00,5.79,2.23,2.11,7.12,30.10,660.80,222.84,47.38,308.83,12.12,21.99,2.38,30.48
EucFACE,EucFACE,Eucalyptus tereticornis,mature,3,18.80,0.90,4.93,1.66,498.00,7.86,1.67,1.96,4.09,21.45,951.80,165.59,42.27,300.99,11.33,20.96,3.81,26.49
EucFACE,EucFACE,Eucalyptus tereticornis,mature,4,18.20,1.13,8.35,1.82,513.00,8.14,2.01,3.34,7.34,26.31,959.25,82.16,53.21,316.77,10.00,16.05,2.18,28.19
EucFACE,EucFACE,Eucalyptus tereticornis,mature,5,23.60,0.93,7.24,1.86,503.00,7.83,1.98,1.92,8.11,46.08,1626.84,187.76,49.28,331.54,12.69,25.47,3.26,21.31
EucFACE,EucFACE,Acacia parramattensis,mature,1,32.30,0.90,5.52,2.01,515.00,8.55,2.56,0.71,13.30,13.67,176.75,158.77,23.63,312.34,16.07,35.91,5.85,15.94
