Site ,Site name,locality,latitude (deg),longitude (deg),region, pH (H2O),pH (CaCl2),EC (dS m-1),Total P (mg kg-1),Olsen P (mg kg-1),Mn (mg kg-1),Fe (mg kg-1),Mg (mg kg-1),Ca (mg kg-1),K (mg kg-1),Cu (mg kg-1),Zn (mg kg-1)
1,EucFACE,EucFACE,-33.620333,150.73965,Western Sydney,5.0 (SE=0.1; n=5),4.6 (SE=0.1; n=5),0.03 (SE=0.003; n=5),64 (SE=7; n=5),2.3 (SE=0.2; n=5),24.7 (SE=7.3; n=5),2.2 (SE=0.4; n=5),90 (SE=11; n=5),74 (SE=14; n=5),137 (SE=9; n=5),2.4 (SE=0.1; n=5),3.8 (SE=0.4; n=5)
2,Davies Park,"Davies Park, Blue Mountains",-33.7078,150.546933,Blue Mountains,5.1 (SE=0.1; n=5),4.5 (SE=0.1; n=5),0.02 (SE=0.002; n=5),<50,1.2 (SE=0.1; n=5),4.4 (SE=0.4; n=5),2.6 (SE=0.3; n=5),94 (SE=5; n=5),57 (SE=4; n=5),133 (SE=14; n=5),1.1 (SE=0.1; n=5),2.3 (SE=0.3; n=5)
3,Grose Road,"Grose Road 1, Blue Mountains",-33.669083,150.546117,Blue Mountains,5.0 (SE=0.1; n=5),4.5 (SE=0.1; n=5),0.03 (SE=0.001; n=5),<50,1.4 (SE=0.2; n=5),4.6 (SE=0.3; n=5),7.3 (SE=0.5; n=5),131 (SE=11; n=5),68 (SE=11; n=5),205 (SE=13; n=5),<1.0,3.1 (SE=0.4; n=5)
4,Minnehaha 1,"Minnehaha 1, Blue Mountains",-33.682283,150.3276,Blue Mountains,4.7 (SE=0.1; n=5),4.3 (SE=0.1; n=5),0.03 (SE=0.002; n=5),60 (SE=7; n=5),1.5 (SE=0.1; n=5),5.0 (SE=0.5; n=5),7.6 (SE=0.9; n=5),124 (SE=11; n=5),51 (SE=1; n=5),114 (SE=10; n=5),2.0 (SE=0.2; n=5),2.9 (SE=0.2; n=5)
5,Minnehaha 2,"Minnehaha 2, Blue Mountains",-33.68605,150.327317,Blue Mountains,4.9 (SE=0.1; n=5),4.5 (SE=0.1; n=5),0.03 (SE=0.003; n=5),<50,2.0 (SE=0.2; n=5),12.1 (SE=0.7; n=5),15.6  (SE=0.9; n=5),210 (SE=27; n=5),59 (SE=5; n=5),140 (SE=10; n=5),1.3 (SE=0.1; n=5),4.8 (SE=0.2; n=5)
6,Castlereagh Reserve 1,Castlereagh Reserve 1,-33.6782,150.7676,Western Sydney,5.3 (SE=0.1; n=5),4.7 (SE=0.1; n=5),0.02 (SE=0.001; n=5),<50,1.2 (SE=0.1; n=5),10.4 (SE=1.4; n=5),18.6 (SE=3.3; n=5),112 (SE=6; n=5),51 (SE=2; n=5),57 (SE=3; n=5),1.6 (SE=0.2; n=5),3.0 (SE=0.2; n=5)
7,Castlereagh Reserve 2,Castlereagh Reserve 2,-33.680017,150.7441,Western Sydney,5.3 (SE=0.1; n=5),4.5 (SE=0.1; n=5),0.03 (SE=0.001; n=5),62 (SE=6; n=5),1.8 (SE=0.2; n=5),19.1 (SE=1.4; n=5),35.8 (SE=8.3; n=5),297 (SE=32; n=5),74 (SE=6; n=5),168 (SE=14; n=5),3.5 (SE=0.5; n=5),6.0 (SE=0.4; n=5)
8,Ku-ring-gai Chase NP1,Ku-ring-gai Chase National Park near West Head 1,-33.577817,151.29145,Coastal,5.6 (SE=0.2; n=5),4.9 (SE=0.2; n=5),0.06 (SE=0.006; n=5),313 (SE=77; n=5),2.9 (SE=0.2; n=5),109.4 (SE=29.9; n=5),65.3 (SE=16.1; n=5),781 (SE=164; n=5),1357 (SE=428; n=5),204 (SE=30; n=5),6.5 (SE=1.9; n=5),14.2 (SE=3.4; n=5)
9,Ku-ring-gai Chase NP2,Ku-ring-gai Chase National Park near West Head 2,-33.595317,151.277217,Coastal,4.6 (SE=0.1; n=5),4.0 (SE=0.1; n=5),0.04 (SE=0.003; n=5),<50,1.5 (SE=0.2; n=5),2.2 (SE=0.5; n=5),2.1 (SE=0.7; n=5),87 (SE=13; n=5),56 (SE=4; n=5),273 (SE=33; n=5),<1.0,2.4 (SE=0.4; n=5)
10,Euroka 1,"Euroka 1, Blue Mountains",-33.790533,150.61445,Blue Mountains,5.4 (SE=0.1; n=5),4.6 (SE=0.1; n=5),0.03 (SE=0.003; n=5),63 (SE=5; n=5),1.9 (SE=0.1; n=5),19.2 (SE=2.6; n=5),8.3 (SE=1.1; n=5),217 (SE=33; n=5),128 (SE=29; n=5),189 (SE=18; n=5),1.5 (SE=0.1; n=5),4.9 (SE=0.2; n=5)
11,Euroka 2,"Euroka 2, Blue Mountains",-33.784783,150.61265,Blue Mountains,5.0 (SE=0.2; n=5),4.3 (SE=0.2; n=5),0.02 (SE=0.003; n=5),<50,1.7 (SE=0.1; n=5),7.0 (SE=0.9; n=5),2.6 (SE=0.5; n=5),97 (SE=9; n=5),66 (SE=7; n=5),136 (SE=11; n=5),1.4 (SE=0.1; n=5),4.5 (SE=0.3; n=5)
12,Lapstone,"Lapstone 1, close to Lapstone train station",-33.774517,150.643933,Blue Mountains,5.0 (SE=0.1; n=5),4.2 (SE=0.1; n=5),0.03 (SE=0.004; n=5),94 (SE=10; n=5),2.5 (SE=0.1; n=5),18.8 (SE=6.0; n=5),6.4 (SE=1.3; n=5),238 (SE=39; n=5),186 (SE=63; n=5),280 (SE=32; n=5),4.0 (SE=0.7; n=5),8.7 (SE=1.3; n=5)
