name_original,Wood density (g/cm^3),metadata_id,primary_source_id,secondary_ref
Acacia aulacocarpa,0.594,46,44,Bolza_1975
Adenanthera pavonina,0.775,46,44,Bolza_1975
Agathis dammara,0.413,46,44,Bolza_1975
Aglaia cucullata,0.456,46,44,Bolza_1975
Aglaia indet,0.723,46,44,Bolza_1975
Ailanthus peekelii,0.465,46,44,Bolza_1975
Albizia falcataria,0.284,46,44,Bolza_1975
Albizia procera,0.56,46,44,Bolza_1975
Aleurites moluccana,0.327,46,44,Bolza_1975
Alphitonia moluccana,0.525,46,44,Bolza_1975
Alstonia brassii,0.551,46,44,Bolza_1975
Alstonia scholaris,0.327,46,44,Bolza_1975
Alstonia spectabilis,0.551,46,44,Bolza_1975
Anisoptera polyandra,0.551,46,44,Bolza_1975
Antiaris toxicaria,0.344,46,44,Bolza_1975
Araucaria cunninghamii,0.439,46,44,Bolza_1975
Araucaria hunsteinii,0.387,46,44,Bolza_1975
Artocarpus indet,0.461,46,44,Bolza_1975
Avicennia marina,0.732,46,44,Bolza_1975
Barringtonia asiatica,0.413,46,44,Bolza_1975
Beilschmiedia indet,0.581,46,44,Bolza_1975
Bischofia javanica,0.577,46,44,Bolza_1975
Bombax malabaricum,0.276,46,44,Bolza_1975
Brachychiton carruthersii,0.232,46,44,Bolza_1975
Breonia chinensis,0.349,46,44,Bolza_1975
Bridelia penangiana,0.465,46,44,Bolza_1975
Brownlowia argentata,0.396,46,44,Bolza_1975
Bruguiera gymnorhiza,0.796,46,44,Bolza_1975
Bruguiera parviflora,0.796,46,44,Bolza_1975
Buchanania heterophylla,0.284,46,44,Bolza_1975
Buchanania macrocarpa,0.284,46,44,Bolza_1975
Burckella obovata,0.629,46,44,Bolza_1975
Caldcluvia indet,0.577,46,44,Bolza_1975
Calophyllum inophyllum,0.534,46,44,Bolza_1975
Calophyllum papuanum,0.508,46,44,Bolza_1975
Campnosperma brevipetiolata,0.353,46,44,Bolza_1975
Cananga odorata,0.353,46,44,Bolza_1975
Canarium indicum,0.56,46,44,Bolza_1975
Canarium oleosum,0.482,46,44,Bolza_1975
Carallia brachiata,0.62,46,44,Bolza_1975
Casearia grewiifolia,0.491,46,44,Bolza_1975
Castanopsis acuminatissima,0.577,46,44,Bolza_1975
