Species,"Al (mg/kg)","Cu (mg/kg)","Fe (mg/kg)","Mn (mg/kg)","Zn (mg/kg)",S %,Na %,Mg %,Ca %,K %,"P(mg/g)"
Eucalyptus patens,145,2.1,64,267.8,9,1.178812116,1.273135856,5.266667449,7.246933833,3.437360852,0.398664456
Eucalyptus patens,84,2.5,66,161.2,16,0.88127818,3.411021177,3.26232599,4.392907934,8.394349619,0.476810085
Eucalyptus patens,87,3.6,81,157,15,0.939393277,3.046287446,3.325289696,6.593787259,5.211827284,0.505545674
Eucalyptus patens,160,2.6,85,270,6,1.303117008,1.260902941,5.463011811,7.233432686,3.461251853,0.414452003
Eucalyptus patens,79,2.5,72,160.4,18,0.88888843,3.420860363,3.269343336,4.541245705,8.292007153,0.478309239
Banksia grandis,740,1.9,138,285.6,5,0.988215184,2.18254165,1.890203759,3.251952521,3.397451456,0.380655763
Banksia grandis,1159,1.7,116,343.5,4,0.993386959,1.974344751,1.733198946,3.386546773,3.7851089,0.356089856
Banksia grandis,1078,2.4,197,390.4,6,2.039260632,2.184378833,2.115872122,7.070607237,4.255618193,0.41457061
Banksia grandis,928,2.1,132,385.4,6,1.221531944,2.370002159,2.037007019,5.592667264,3.356189754,0.342315735
Banksia grandis,1151,2.1,168,524.8,7,2.296658831,1.322183946,3.079063642,9.395703282,2.334356493,0.410165996
Banksia grandis,707,2.3,148,288,5,0.997886723,2.207398014,1.919296422,3.255066681,3.417825692,0.36698846
Banksia grandis,1348,2.2,167,357.2,4,1.100513013,1.977042556,1.904061871,3.856064103,3.904392571,0.393896628
Banksia grandis,1039,2.5,221,393.5,5,2.086640556,2.205607775,2.150382969,7.056356527,4.243510043,0.410475181
Banksia grandis,916,2.6,150,408.4,6,1.280345879,2.502700969,2.145905667,5.748125158,3.496006437,0.355667441
Banksia grandis,1098,2.3,190,546.4,6,2.402066467,1.378220273,3.158683157,9.437999062,2.409664871,0.41348432
Pteridium esculentum,123,3.7,122,73.5,14,0.935646519,1.244295234,2.90617053,3.228611221,11.91835538,0.734695106
Pteridium esculentum,94,2.5,87,65,8,0.698960248,0.926395609,1.43459495,1.517311792,9.046427322,0.520483624
Pteridium esculentum,13,5,53,68.5,29,1.410689686,0.928100499,1.710540059,2.324111765,20.54892103,1.424432665
Pteridium esculentum,68,1.9,66,88.2,7,0.639177251,0.642539922,1.407100471,1.954368074,7.438329066,0.469416347
Pteridium esculentum,49,4.6,54,48.7,15,1.195199666,0.598718597,1.737766511,1.080759,16.66567194,1.309386165
Tremandra diffusa,117,7.8,126,164.6,12,2.39435331,2.254303665,2.414667088,10.63119119,13.97166837,0.652252547
Tremandra diffusa,449,5.1,316,169.4,11,2.004366572,1.653149901,3.186365947,9.827965767,3.889684931,0.601442542
Tremandra diffusa,297,7.2,233,276.1,11,1.75604217,1.618266365,2.940483539,8.506833045,3.785454721,0.529051093
Tremandra diffusa,105,7.3,143,169.1,12,2.545238362,2.290186989,2.46932258,10.66529294,14.05218235,0.662523757
Tremandra diffusa,402,5.5,340,168.9,10,1.947649713,1.674219192,3.316980596,9.850388545,3.888521008,0.587076613
Tremandra diffusa,314,6.8,288,285,9,1.820491861,1.678350864,3.103726192,8.713065618,3.823653479,0.56069372
Bossiaea aquifolium,51,8.7,73,88.7,9,1.760569344,0.280944564,2.166450642,5.905514533,4.678137098,0.460120837
Bossiaea aquifolium,38,5.1,58,174.7,9,1.672754568,0.455681158,1.355857572,4.546284552,4.785058152,0.362438171
Bossiaea aquifolium,78,7.1,94,266.7,11,1.895265145,0.632426821,1.4818654,4.700826765,5.603933674,0.520655323
Bossiaea aquifolium,44,5.9,63,104,9,1.800555138,0.370195597,1.596832854,5.740368497,4.919787467,0.550389985
Bossiaea aquifolium,44,5,66,154.4,10,1.863017258,0.726997839,1.522486597,5.872698815,4.378804404,0.534746068
Bossiaea aquifolium,45,7.9,76,82.8,9,1.598711984,0.247909577,2.079710688,5.353432201,4.312924832,0.426130848
Bossiaea aquifolium,38,5,72,190.8,9,1.812825687,0.489016151,1.497603151,4.871998036,5.159357229,0.387876806
Bossiaea aquifolium,69,6.5,95,259.4,9,1.84720019,0.619115141,1.462811833,4.543801163,5.382652716,0.479477911
