site,species,wood_density
Blencoe Falls,Corymbia citriodora,0.62292
Blencoe Falls,Corymbia clarksoniana,0.54905
Blencoe Falls,Eucalyptus sp.,0.5048066666666666
Blencoe Falls,Grevillea glauca,0.60608
Blencoe Falls,Grevillea parallela,0.5969466666666666
Blencoe Falls,Lophostemon suaveolens,0.5251033333333334
Blencoe Falls,Melaleuca nervosa,0.56497
Blencoe Falls,Melaleuca viridiflora,0.5572466666666667
Blencoe Falls,Persoonia falcata,0.57891
Blencoe Falls,Pimelea linifolia,0.4419866666666667
Blencoe Falls,Xylomelum scottianum,0.6150766666666667
Bothwell,Acacia dealbata,0.6670266666666667
Bothwell,Aotus ericoides,0.8251933333333333
Bothwell,Banksia marginata,0.5973866666666666
Bothwell,Bossiaea cinerea,0.8272233333333333
Bothwell,Daviesia latifolia,0.6536166666666666
Bothwell,Epacris impressa,0.6999233333333333
Bothwell,Eucalyptus pauciflora,0.6184766666666667
Bothwell,Eucalyptus rubida,0.6903699999999999
Bothwell,Eucalyptus tenuiramis,0.7497733333333333
Bothwell,Exocarpos cupressiformis,0.6459766666666666
Bothwell,Leucopogon ericoides,0.6785066666666667
Bothwell,Leucopogon virgatus,0.76801
Bothwell,Persoonia juniperina,0.6536333333333334
Cape Tribulation,Antirhea tenuiflora,0.5737266666666666
Cape Tribulation,Argyrodendron peralatum,0.5775233333333334
Cape Tribulation,Austromuellera trinervia,0.46374333333333334
Cape Tribulation,Brombya platynema,0.5635733333333334
Cape Tribulation,Cardwellia sublimis,0.46862333333333334
Cape Tribulation,Casearia dallachii,0.5048233333333334
Cape Tribulation,Castanospermum australe,0.4312066666666667
Cape Tribulation,Cleistanthus myrianthus,0.53695
Cape Tribulation,Cryptocarya grandis,0.5609275
Cape Tribulation,Cryptocarya mackinnoniana,0.6081933333333334
Cape Tribulation,Cryptocarya murrayi,0.47377
Cape Tribulation,Doryphora aromatica,0.5360199999999999
Cape Tribulation,Dysoxylum alliaceum,0.42996666666666666
Cape Tribulation,Dysoxylum arborescens,0.5275866666666666
Cape Tribulation,Dysoxylum papuanum,0.5245866666666666
Cape Tribulation,Dysoxylum parasiticum,0.44003749999999997
Cape Tribulation,Dysoxylum pettigrewianum,0.45879
Cape Tribulation,Elaeocarpus grandis,0.44528
Cape Tribulation,Endiandra leptodendron,0.57383
Cape Tribulation,Endiandra microneura,0.6132133333333333
Cape Tribulation,Eupomatia laurina,0.49724999999999997
Cape Tribulation,Ficus variegata,0.40904
Cape Tribulation,Gillbeea whypallana,0.42150666666666664
Cape Tribulation,Gomphandra australiana,0.4632866666666667
Cape Tribulation,Harpullia rhyticarpa,0.6083466666666667
Cape Tribulation,Hernandia albiflora,0.46318
Cape Tribulation,Leea indica,0.39564333333333335
Cape Tribulation,Litsea leefeana,0.51544
Cape Tribulation,Mallotus paniculatus,0.45432666666666666
Cape Tribulation,Melicope xanthoxyloides,0.4295333333333333
Cape Tribulation,Musgravea heterophylla,0.4487333333333333
Cape Tribulation,Myristica globosa,0.44615666666666665
Cape Tribulation,Palaquium galactoxylum,0.50362
Cape Tribulation,Polyalthia xanthocarpa,0.5698466666666666
Cape Tribulation,Pouteria xerocarpa,0.53022
Cape Tribulation,Rockinghamia angustifolia,0.44867
Cape Tribulation,Syzygium graveolens,0.5435433333333334
Cape Tribulation,Syzygium monospermum,0.6119866666666667
Cape Tribulation,Syzygium sayeri,0.48861333333333334
Cape Tribulation,Toechima erythrocarpum,0.5700833333333333
Cape Tribulation,Wrightia laevis,0.38158
Cardwell,Acacia crassicarpa,0.5077
Cardwell,Acacia flavescens,0.6370533333333334
Cardwell,Acacia mangium,0.4035533333333333
Cardwell,Allocasuarina torulosa,0.6226066666666666
Cardwell,Alphitonia excelsa,0.37065
Cardwell,Canarium australianum,0.4527466666666667
Cardwell,Chionanthus ramiflorus,0.5599066666666667
Cardwell,Corymbia intermedia,0.5965033333333334
Cardwell,Eucalyptus platyphylla,0.48584666666666665
Cardwell,Ixora timorensis,0.5198066666666666
Cardwell,Lophostemon suaveolens,0.5382966666666666
Cardwell,Macaranga involucrata,0.3985266666666667
Cardwell,Macaranga tanarius,0.39073
Cardwell,Planchonia careya,0.44164
Cardwell,Polyscias elegans,0.37997333333333333
Cardwell,Timonius timon,0.47167333333333333
Longley,Acacia dealbata,0.45177999999999996
Longley,Acacia terminalis,0.5424599999999999
Longley,Allocasuarina monilifera,0.5795766666666666
Longley,Aotus ericoides,0.6843266666666666
Longley,Banksia marginata,0.51828
Longley,Epacris impressa,0.7249833333333333
Longley,Epacris lanuginosa,0.66416
Longley,Eucalyptus amygdalina,0.5982966666666667
Longley,Exocarpos cupressiformis,0.6078100000000001
Longley,Leptomeria drupacea,0.66035
Longley,Leptospermum glaucescens,0.65137
Longley,Leptospermum scoparium,0.7441333333333333
Longley,Leucopogon collinus,0.7137566666666667
Longley,Leucopogon ericoides,0.7057666666666667
Longley,Melaleuca squarrosa,0.6191733333333334
Longley,Monotoca scoparia,0.64865
Longley,Olearia phlogopappa,0.7299933333333334
Longley,Ozothamnus ferugineum,0.68483
Princess Hills,Acacia flavescens,0.7641966666666666
Princess Hills,Acacia leptostachya,0.70577
Princess Hills,Allocasuarina torulosa,0.7116033333333334
Princess Hills,Corymbia citriodora,0.6092066666666667
Princess Hills,Corymbia intermedia,0.6531866666666667
Princess Hills,Corymbia trachyphloia,0.62898
Princess Hills,Eucalyptus portuensis,0.5842333333333333
Princess Hills,Gastrolobium grandiflorum,0.7003199999999999
Princess Hills,Grevillea glauca,0.6447266666666667
Princess Hills,Grevillea parallela,0.6337766666666667
Princess Hills,Lophostemon suaveolens,0.5558266666666667
Princess Hills,Persoonia falcata,0.6355466666666667
Princess Hills,Petalostigma pubescens,0.7289166666666667
Princess Hills,Planchonia careya,0.5429266666666667
Princess Hills,Xylomelum scottianum,0.6500533333333333
Round Hill,Acacia colletioides,0.85431
Round Hill,Acacia havilandiorum,0.9066066666666667
Round Hill,Beyeria opaca,0.73901
Round Hill,Bossiaea walkeri,0.94392
Round Hill,Brachychiton populneus,0.46994
Round Hill,Dodonaea viscosa,0.8384433333333333
Round Hill,Eremophila deserti,0.8182633333333333
Round Hill,Eremophila glabra,0.70656
Round Hill,Eucalyptus dumosa,0.75668
Round Hill,Eucalyptus socialis,0.7857566666666667
Round Hill,Geijera parviflora,0.8700633333333333
Round Hill,Melaleuca uncinata,0.6795133333333333
Round Hill,Pimelea microcephala,0.6980066666666667
Round Hill,Santalum acuminatum,0.7190300000000001
Round Hill,Senna artemisioides,0.8086666666666666
Thredbo,Acacia dealbata,0.5331566666666667
Thredbo,Acacia melanoxylon,0.5087333333333334
Thredbo,Acacia obliquinervia,0.56235
Thredbo,Coprosma hirtella,0.6007966666666666
Thredbo,Eucalyptus pauciflora,0.6086333333333334
Thredbo,Eucalyptus sp.,0.6071633333333334
Thredbo,Exocarpos strictus,0.60384
Thredbo,Hakea lissosperma,0.5395033333333333
Thredbo,Hakea microcarpa,0.6076666666666667
Thredbo,Leionema phylicifolium,0.6093233333333333
Thredbo,Lomatia myricoides,0.5620233333333333
Thredbo,Olearia megalophylla,0.6175566666666666
Thredbo,Olearia phlogopappa,0.618
Thredbo,Ozothamnus secundiflorus,0.5718566666666667
Thredbo,Persoonia subvelutina,0.54815
Thredbo,Pimelea linifolia,0.49781333333333333
Thredbo,Polyscias sambucifolia,0.5510433333333333
