Species,depth to ground water (m),season,osmotic potential at full turgor (MPa),Psi-TLP (MPa),RWCTLP (%),bulk modulus of elasticity (MPa),SLA (cm2 g-1),P50 (MPa),P88 (MPa),sapwood density (g/cm3)
Eucalyptus piperita,2.4,winter,-0.7,-1.03,95.62,14.73,55.7,-0.66,-1.87,0.54
Eucalyptus piperita,2.4,summer,-0.8,-1.16,93.791,12.91,49.28,-0.69,-2.75,
Eucalyptus piperita,4.3,winter,-0.74,-1.1,95.9,15.72,49.21,-1.11,-2.05,0.53
Eucalyptus piperita,4.3,summer,-0.98,-1.35,93.26,13.19,52.05,-0.96,-3.1,
Eucalyptus piperita,9.8,winter,-1.03,-1.35,94.43,16.22,46,-1.07,-2.02,0.52
Eucalyptus piperita,9.8,summer,-0.9,-1.25,92.89,11.6,63.33,-1,-3,
Eucalyptus piperita,37.5,winter,-1.28,-1.61,91.95,15.44,46.47,-1.12,-2.34,0.55
Eucalyptus piperita,37.5,summer,-1.25,-1.59,91.97,13.73,49.78,-1.11,-3.1,
Eucalyptus globoidea,2.4,winter,-0.69,-1.03,94.2,9.66,58.87,-0.87,-2.06,0.55
Eucalyptus globoidea,2.4,summer,-0.58,-0.86,94.33,8.937,51.82,-0.77,-2.12,
Eucalyptus globoidea,4.3,winter,-0.61,-0.94,94.02,8.43,56.47,-1.17,-2.06,0.54
Eucalyptus globoidea,4.3,summer,-0.92,-1.29,93.74,10.79,46.44,-0.86,-2.99,
Eucalyptus globoidea,9.8,winter,-0.88,-1.32,93.32,12.4,41.01,-1.23,-2.3,0.54
Eucalyptus globoidea,9.8,summer,-1.03,-1.28,93.02,13.49,50.79,-1.2,-3.19,
Eucalyptus globoidea,37.5,winter,-1.13,-1.57,91.27,10.93,39.62,-1.52,-2.06,0.56
Eucalyptus globoidea,37.5,summer,-1.02,-1.3,92.85,10.28,48.68,-0.82,-3.23,
Eucalyptus sieberi,4.3,winter,-0.83,-1.17,93.76,11,51.24,-0.76,-1.68,0.54
Eucalyptus sieberi,4.3,summer,-0.98,-1.34,91.68,10.04,44.37,-0.74,-1.99,
Eucalyptus sieberi,9.8,winter,-1.37,-1.72,90.17,13.2,39.67,-0.89,-1.79,0.58
Eucalyptus sieberi,9.8,summer,-1.06,-1.53,91.21,10.21,35.06,-0.84,-2.29,
Eucalyptus sieberi,37.5,winter,-1.25,-1.64,91.55,13.78,38.77,-1.42,-2.8,0.53
Eucalyptus sieberi,37.5,summer,-1.28,-1.57,89.78,11.78,36.59,-1.57,-2.75,
Eucalyptus sclerophylla,4.3,winter,-0.77,-1.1,96.47,19.49,47.86,-0.9,-2.11,0.49
Eucalyptus sclerophylla,4.3,summer,-0.86,-1.2,95.68,18.52,46.39,-0.8,-2.09,
Eucalyptus sclerophylla,9.8,winter,-1.06,-1.37,95.63,21.8,41.01,-1.22,-2.09,0.52
Eucalyptus sclerophylla,9.8,summer,-1.1,-1.41,93.6,17.25,43.13,-1.2,-2.85,
Eucalyptus sclerophylla,13,winter,-1.13,-1.51,94.34,18.42,42.94,,-2.17,0.47
Eucalyptus sclerophylla,13,summer,-0.92,-1.28,95.49,19.38,39.51,,-2.95,
Eucalyptus sclerophylla,16.3,winter,-1.22,-1.59,94.02,19.36,58.72,,,0.45
Eucalyptus sclerophylla,37.5,,,,,,,,,0.49
Eucalyptus radiata,4.3,,,,,,,,,0.53
