Species,depth to ground water (m),π100 (MPa),ΨTLP (MPa),RWCTLP (%),ϵ (MPa),SLA (cm2 g−1),P50 (MPa),season
Eucalyptus piperita,2.4,−0.70 ± 0.05,−1.03 ± 0.05,95.62 ± 0176,14.73 ± 1.14,55.70 ± 1.09,−0.66,winter
Eucalyptus piperita,2.4,−0.80 ± 0.07,−1.16 ± 0.07,93.791 ± 0.68,12.91 ± 1.332,49.28 ± 0.99,−0.69,summer
Eucalyptus piperita,4.3,−0.74 ± 0.05,−1.10 ± 0.07,95.90 ± 0.28,15.72 ± 1.59,49.21 ± 1.01,−1.11,winter
Eucalyptus piperita,4.3,−0.98 ± 0.13,−1.35 ± 0.11,93.26 ± 0.60,13.19 ± 1.66,52.05 ± 0.67,−0.96,summer
Eucalyptus piperita,9.8,−1.03 ± 0.13,−1.35 ± 0.08,94.43 ± 0.28,16.22 ± 1.33,46.00 ± 1.4,−1.07,winter
Eucalyptus piperita,9.8,−0.90 ± 0.10,−1.25 ± 0.09,92.89 ± 0.59,11.60 ± 1.45,63.33 ± 1.81,−1.00,summer
Eucalyptus piperita,37.5,−1.28 ± 0.11,−1.61 ± 0.06 ,91.95 ± 0.49 ,15.44 ± 1.19,46.47 ± 0.7,−1.12,winter
Eucalyptus piperita,37.5,−1.25 ± 0.14,−1.59 ± 0.10,91.97 ± 0.58,13.73 ± 0.83,49.78 ± 1,−1.11,summer
Eucalyptus globoidea,2.4,−0.69 ± 0.06,−1.03 ± 0.07,94.20 ± 0.182,9.66 ± 0.91,58.87 ± 1.91,−0.87,winter
Eucalyptus globoidea,2.4,−0.58 ± 0.05,−0.86 ± 0.05,94.33 ± 0.57,8.937 ± 0.85,51.82 ± 1.30,−0.77,summer
Eucalyptus globoidea,4.3,−0.61 ± 0.05,−0.94 ± 0.06,94.02 ± 0.32,8.43 ± 0.98,56.47 ± 1.1,−1.17,winter
Eucalyptus globoidea,4.3,−0.92 ± 0.14,−1.29 ± 0.13,93.74 ± 0.70,10.79 ± 1.01,46.44 ± 1.00,−0.86,summer
Eucalyptus globoidea,9.8,−0.88 ± 0.06,−1.32 ± 0.10,93.32 ± 0.63,12.40 ± 0.98,41.01 ± 0.53,−1.23,winter
Eucalyptus globoidea,9.8,−1.03 ± 0.08,−1.28 ± 0.07,93.02 ± 0.52,13.49 ± 0.65,50.79 ± 1.01,−1.2,summer
Eucalyptus globoidea,37.5,−1.13 ± 0.13,−1.57 ± 0.12 ,91.27 ± 0.84,10.93 ± 0.76,39.62 ± 1.15,−1.52,winter
Eucalyptus globoidea,37.5,−1.02 ± 0.05,−1.30 ± 0.05,92.85 ± 0.36,10.28 ± 1.13,48.68 ± 1.23,−0.82,summer
Eucalyptus sieberi,4.3,−0.83 ± 0.11,−1.17 ± 0.10,93.76 ± 0.47,11.00 ± 0.82,51.24 ± 1.01,−0.76,winter
Eucalyptus sieberi,4.3,−0.98 ± 0.10,−1.34 ± 0.08,91.68 ± 0.61,10.04 ± 0.66,44.37 ± 0.91,−0.74,summer
Eucalyptus sieberi,9.8,−1.37 ± 0.09,−1.72 ± 0.06,90.17 ± 0.54,13.20 ± 0.56,39.67 ± 0.52,−0.89,winter
Eucalyptus sieberi,9.8,−1.06 ± 0.5,−1.53 ± 0.04,91.21 ± 0.22,10.21 ± 0.48,35.06 ± 1.09,−0.84,summer
Eucalyptus sieberi,37.5,−1.25 ± 0.12,−1.64 ± 0.10,91.55 ± 0.63,13.78 ± 0.84,38.77 ± 1.31,−1.42,winter
Eucalyptus sieberi,37.5,−1.28 ± 0.12,−1.57 ± 0.06,89.78 ± 0.39,11.78 ± 0.59,36.59 ± 0.91,−1.57,summer
Eucalyptus sclerophylla,4.3,−0.77 ± 0.08,−1.10 ± 0.09,96.47 ± 0.4,19.49 ± 0.86,47.86 ± 0.75,−0.9,winter
Eucalyptus sclerophylla,4.3,−0.86 ± 0.07,−1.20 ± 0.07,95.68 ± 0.40,18.52 ± 0.73,46.39 ± 0.84,−0.8,summer
Eucalyptus sclerophylla,9.8,−1.06 ± 0.14,−1.37 ± 0.1,95.63 ± 0.42,21.80 ± 1.14,41.01 ± 1.06,−1.22,winter
Eucalyptus sclerophylla,9.8,−1.10 ± 0.12,−1.41 ± 0.11,93.60 ± 0.84,17.25 ± 1.79,43.13 ± 1.64 ,−1.2,summer
Eucalyptus sclerophylla,13,−1.13 ± 0.10,−1.51 ± 0.1,94.34 ± 0.57,18.42 ± 1.81,42.94 ± 1.72,,winter
Eucalyptus sclerophylla,13,−0.92 ± 0.04,−1.28 ± 0.05,95.49 ± 0.22,19.38 ± 0.82,39.51 ± 1.03,,summer
Eucalyptus sclerophylla,16.3,−1.22 ± 0.13,−1.59 ± 0.11,94.02 ± 0.68,19.36 ± 1.18,58.72 ± 2.6 ,,winter
