name_original,metadata_id,primary_source,raw_trait_value,trait,units
Calamus australis,13,12,1,dispersal mode,NA
Calamus caryotoides,13,12,1,dispersal mode,NA
Calamus muelleri,13,12,1,dispersal mode,NA
Cansjera leptostachya,13,12,1,dispersal mode,NA
Capparis sepiaria,13,12,1,dispersal mode,NA
Cassytha phaeolasia (pubescens),13,12,1,dispersal mode,NA
Cassytha pubescens,13,12,1,dispersal mode,NA
Connarus conchocarpus,13,12,1,dispersal mode,NA
Connarus conchocarpus subsp. conchocarpus,13,12,1,dispersal mode,NA
Jasminum elongatum,13,12,1,dispersal mode,NA
Mallotus repandus,13,12,1,dispersal mode,NA
Melodorum uhrii,13,12,1,dispersal mode,NA
Neosepicaea jucunda,13,12,2,dispersal mode,NA
Pararistolochia praevenosa,13,12,2,dispersal mode,NA
Pycnarrhena novoguineensis,13,12,1,dispersal mode,NA
Ripogonum elseyanum,13,12,2,dispersal mode,NA
Rourea brachyandra,13,12,2,dispersal mode,NA
Salacia chinensis,13,12,2,dispersal mode,NA
Salacia disepala,13,12,2,dispersal mode,NA
Smilax blumei,13,12,1,dispersal mode,NA
Tetrastigma thorsborneorum,13,12,1,dispersal mode,NA
