SITE_text,name_original,raw_trait_value,trait,units
Ku-ring-gai Chase National Park,Acacia myrtifolia,360.1,area leaf,mm2
Ku-ring-gai Chase National Park,Acacia suaveolens,226.3,area leaf,mm2
Ku-ring-gai Chase National Park,Angophora hispida,1763.7,area leaf,mm2
Ku-ring-gai Chase National Park,Banksia ericifolia,12.9,area leaf,mm2
Ku-ring-gai Chase National Park,Banksia oblongifolia,1017.7,area leaf,mm2
Ku-ring-gai Chase National Park,Banksia spinulosa,79.2,area leaf,mm2
Ku-ring-gai Chase National Park,Boronia pinnata,264.5,area leaf,mm2
Ku-ring-gai Chase National Park,Bossiaea heterophylla,19.3,area leaf,mm2
Ku-ring-gai Chase National Park,Dillwynia retorta,5.3,area leaf,mm2
Ku-ring-gai Chase National Park,Epacris pulchella,5.9,area leaf,mm2
Ku-ring-gai Chase National Park,Gompholobium glabratum,7.3,area leaf,mm2
Ku-ring-gai Chase National Park,Grevillea speciosa,111.4,area leaf,mm2
Ku-ring-gai Chase National Park,Hakea dactyloides,462.1,area leaf,mm2
Ku-ring-gai Chase National Park,Hakea teretifolia,71.8,area leaf,mm2
Ku-ring-gai Chase National Park,Isopogon anemonifolius,262.1,area leaf,mm2
Ku-ring-gai Chase National Park,Kunzea capitata,11.2,area leaf,mm2
Ku-ring-gai Chase National Park,Lambertia formosa,104.8,area leaf,mm2
Ku-ring-gai Chase National Park,Leptospermum squarrosum,26,area leaf,mm2
Ku-ring-gai Chase National Park,Leptospermum trinervium,52.2,area leaf,mm2
Ku-ring-gai Chase National Park,Lomatia siliafolia,1633.4,area leaf,mm2
Ku-ring-gai Chase National Park,Persoonia lanceolata,753.9,area leaf,mm2
Ku-ring-gai Chase National Park,Persoonia levis,2017.1,area leaf,mm2
Ku-ring-gai Chase National Park,Persoonia pinifolia,39.2,area leaf,mm2
Ku-ring-gai Chase National Park,Phyllota phylicoides,12.8,area leaf,mm2
Ku-ring-gai Chase National Park,Pultenaea elliptica,27.6,area leaf,mm2
