site_id,site_TEXT,name_original,"TRAIT: Growth Form CATEGORICAL: EP epiphyte (mistletoe) F fern G grass H herb S shrub T tree V vine",TRAIT: SLA UNITS: mm2/g,TRAIT: Leaf Size UNITS: mm2,TRAIT: Leaf Dry Mass UNITS: g,TRAIT: LeafWidth UNITS: mm,TRAIT: Height UNITS: m
1,Balranald,Atriplex angulata,H,6.9,89.3,0.013,9.3,0.15
1,Balranald,Atriplex nummularia,S,5.1,178.8,0.035,13.1,1.50
1,Balranald,Atriplex vesicaria,S,5.4,34.9,0.006,4.0,0.50
1,Balranald,Chenopodium desertorum,S,2.0,11.3,0.006,5.6,0.20
1,Balranald,Dissocarpus biflorus,H,4.9,10.9,0.002,1.2,0.20
1,Balranald,Einadia nutans,S,10.2,22.9,0.002,3.9,0.20
1,Balranald,Enchylaena tomentosa,S,3.7,9.3,0.003,1.1,0.40
1,Balranald,Maireana appressa,S,4.1,4.0,0.001,1.2,0.50
1,Balranald,Maireana pyramidata,S,2.7,2.9,0.001,1.2,0.80
1,Balranald,Osteocarpum acropterum,S,4.9,2.9,0.001,1.0,0.10
1,Balranald,Salsola kali,S,3.2,9.5,0.003,0.8,0.30
1,Balranald,Sclerolaena brachyptera,S,5.5,8.0,0.001,1.2,0.40
1,Balranald,Sclerolaena divaricata,S,5.0,7.6,0.002,0.9,0.40
1,Balranald,Sclerolaena obliquicuspis,S,7.1,8.5,0.001,1.3,0.30
10,Rosewood,Acacia decora,S,4.8,144.4,0.030,6.1,2.00
10,Rosewood,Acacia doratoxylon,T,3.5,456.0,0.131,4.8,6.00
10,Rosewood,Amyema miquelii,EP,3.2,495.3,0.155,8.8,3.00
10,Rosewood,Asteraceae sp,,7.7,13.3,0.002,2.2,0.18
10,Rosewood,Atriplex stipitata,S,7.1,22.1,0.003,2.7,0.40
10,Rosewood,Boerhavia dominii,H,6.9,45.9,0.007,4.9,
10,Rosewood,Brunonia australis,H,8.1,41.0,0.005,5.0,0.15
10,Rosewood,Callitris columellaris,T,2.0,24.8,0.012,1.2,6.00
10,Rosewood,Calotis hispidula,H,11.6,25.9,0.002,4.8,0.10
10,Rosewood,Chenopodium desertorum,S,7.0,20.2,0.003,4.5,0.15
10,Rosewood,Chloris virgata,G,9.1,73.1,0.008,2.1,0.20
