species,site,leaf size (cm2),LMA (g/m2),height (m)
Acacia holosericea#,arid_45,28.4,133,3
Archidendropsis basaltica,arid_45,15.8,172.6,10
Carissa lanceolata#,arid_45,1.2,127.4,2
Corymbia polycarpa,arid_45,12.9,156,15
Dodonaea physocarpa#,arid_45,1.7,136.2,1.5
Erythrophleum chlorostachys,arid_45,380.6,160.3,15
Gardenia vilhelmii#,arid_45,2.6,99.7,4
Grevillea parallela#,arid_45,12.2,217.3,7
Grevillea striata,arid_45,14.8,386.7,8
Melaleuca citrolens#,arid_45,2.2,183.4,9
Melaleuca stenostachya,arid_45,1.5,156.4,9
Melaleuca viridiflora#,arid_45,28.3,261.2,5
Petalostigma banksii,arid_45,3.5,142.1,4
Terminalia platyptera,arid_45,9.3,121.1,9
Ventilago viminalis#,arid_45,5.5,133.4,12
Acacia flavescens,dry_45,45.9,182.7,16
Acacia leptostachya,dry_45,7.1,180,1.5
Allocasuarina torulosa,dry_45,0.7,264.4,15
Corymbia citriodora,dry_45,18.8,116.5,35
Corymbia intermedia,dry_45,24.6,135.3,35
Corymbia trachyphloia,dry_45,13.9,145.3,30
Eucalyptus portuensis,dry_45,23.5,206.2,35
Gastrolobium grandiflorum,dry_45,15.3,148.3,1.3
Grevillea glauca,dry_45,27.6,151.6,8
Grevillea parallela,dry_45,7.8,212.1,7
Lophostemon suaveolens,dry_45,26.1,136.9,25
Persoonia falcata,dry_45,16,193.6,4
Petalostigma pubescens,dry_45,5.9,140.9,5
Planchonia careya,dry_45,27.6,96.5,7
Xylomelum scottianum,dry_45,22.1,135.7,7
Acacia crassicarpa,wet_45,57.9,78.9,20
Acacia flavescens,wet_45,60.6,108.2,20
Acacia mangium,wet_45,87.2,101.1,30
Allocasuarina torulosa,wet_45,1,188.4,15
Alphitonia excelsa,wet_45,32.3,80.6,25
Canarium australianum,wet_45,255.5,108.2,20
Chionanthus ramiflora,wet_45,100.2,117.9,18
Corymbia intermedia,wet_45,32.6,93.8,35
Eucalyptus platyphylla,wet_45,92.4,103.4,35
Ixora timorensis,wet_45,90.3,81.5,8
Lophostemon suaveolens,wet_45,51.5,61.8,25
Macaranga involucrata,wet_45,98,69.8,5
Macaranga tanarius,wet_45,145.2,78.7,7
Planchonia careya,wet_45,38.1,89.1,7
Timonius timon,wet_45,27.4,84.9,10
