var_name,character,unit
growth form,growth form,
seed size categorical: <10mm,seed size < 10mm,
seed size categorical: >10mm,seed size > 10mm,
leaf type,leaf type,
leaves lobed,leaf lobed,
leaf longevity,leaf longevity,
wood density species,wood density,?
wood density genus,wood density (genus),?
wood density family,wood density (family),?
Height (m),plant height,m
leaf length minimum (mm),leaf length minimum,mm
leaf length maximum (mm),leaf length maximum,mm
leaf width minimum (mm),leaf width minimum,mm
leaf width maximum (mm),leaf width maximum,mm
seed length minimum (mm),seed length minimum,mm
seed length maximum (mm),seed length maximum,mm
seed width minimum (mm),seed width minimum,mm
seed width maximum (mm),seed width maximum,mm
seed breadth (mm),seed breadth,mm
