Taxon,trait value,trait,units,primary_source_id,metadata_id
Astrebla lappacea,rhizatomous/tufted,growth habit,NA,13,84
Aristida vagans,rhizatomous/tufted,growth habit,NA,13,84
Amphibromus sinuatus,stoloniferous,growth habit,NA,13,84
Brachyachne ciliaris,stoloniferous,growth habit,NA,13,84
Chloris ventricosa,stoloniferous,growth habit,NA,13,84
Alexfloydia repens,stoloniferous,growth habit,NA,13,84
Amphibromus macrorhinus,tufted,growth habit,NA,13,84
Australopyrum pectinatum,tufted,growth habit,NA,13,84
Amphibromus neesii,tufted,growth habit,NA,13,84
Amphibromus nervosus,tufted,growth habit,NA,13,84
Amphibromus pithogastrus,tufted,growth habit,NA,13,84
Australopyrum retrofractum,tufted,growth habit,NA,13,84
Austrostipa blackii,tufted,growth habit,NA,13,84
Austrostipa densiflora,tufted,growth habit,NA,13,84
Austrostipa eremophila,tufted,growth habit,NA,13,84
Austrostipa flavescens,tufted,growth habit,NA,13,84
Austrostipa gibbosa,tufted,growth habit,NA,13,84
Austrostipa mollis,tufted,growth habit,NA,13,84
Austrostipa nitida,tufted,growth habit,NA,13,84
Austrostipa nivicola,tufted,growth habit,NA,13,84
Austrostipa nodosa,tufted,growth habit,NA,13,84
Austrostipa nullanulla,tufted,growth habit,NA,13,84
Austrostipa platychaeta,tufted,growth habit,NA,13,84
Austrostipa pubescens,tufted,growth habit,NA,13,84
Austrostipa pubinodis,tufted,growth habit,NA,13,84
Austrostipa ramosissima,tufted,growth habit,NA,13,84
Austrostipa rudis subsp. australis,tufted,growth habit,NA,13,84
Austrostipa rudis subsp. nervosa,tufted,growth habit,NA,13,84
Austrostipa scabra,tufted,growth habit,NA,13,84
Austrostipa scabra subsp. falcata,tufted,growth habit,NA,13,84
Austrostipa scabra subsp. Scabra,tufted,growth habit,NA,13,84
Austrostipa semibarbata,tufted,growth habit,NA,13,84
Austrostipa setacea,tufted,growth habit,NA,13,84
Austrostipa stipoides,tufted,growth habit,NA,13,84
Austrostipa stuposa,tufted,growth habit,NA,13,84
Austrostipa wakoolica,tufted,growth habit,NA,13,84
Bothriochloa bladhii,tufted,growth habit,NA,13,84
Bothriochloa bladhii subsp. bladhii,tufted,growth habit,NA,13,84
Bothriochloa erianthoides,tufted,growth habit,NA,13,84
Bothriochloa ewartiana,tufted,growth habit,NA,13,84
Capillipedium parviflorum,tufted,growth habit,NA,13,84
Capillipedium spicigerum,tufted,growth habit,NA,13,84
Bothriochloa decipiens,tufted,growth habit,NA,13,84
Bothriochloa decipiens var. cloncurrensis,tufted,growth habit,NA,13,84
Bothriochloa decipiens var. decipiens,tufted,growth habit,NA,13,84
Austrostipa drummondii,tufted,growth habit,NA,13,84
Austrostipa elegantissima,tufted,growth habit,NA,13,84
Austrostipa puberula,tufted,growth habit,NA,13,84
Austrostipa trichophylla,tufted,growth habit,NA,13,84
Austrostipa tuckeri,tufted,growth habit,NA,13,84
Austrostipa verticillata,tufted,growth habit,NA,13,84
Agrostis boormanii,tufted,growth habit,NA,13,84
Austrostipa metatoris,tufted,growth habit,NA,13,84
Agrostis muelleriana,tufted,growth habit,NA,13,84
Agrostis parviflora,tufted,growth habit,NA,13,84
Agrostis propinqua,tufted,growth habit,NA,13,84
Agrostis thompsoniae,tufted,growth habit,NA,13,84
Agrostis venusta,tufted,growth habit,NA,13,84
Bothriochloa biloba,tufted,growth habit,NA,13,84
Australopyrum velutinum,tufted,growth habit,NA,13,84
Bothriochloa macra,tufted,growth habit,NA,13,84
Agrostis joyceae,tufted,growth habit,NA,13,84
