dataset_id,dataset_num,metadata_id,primary_source_id,source_access,compiled_for,data_contributor,contributor_institution_2016,year_collected,primary_data_collector,data_collector_institution_2016,primary_lab_leader_when_collected,primary_lab_leader_institution,data_description,collection_type,sample_age_class,original_file,need_further_checking,notes
dataset_057,57,87,83,NA,Grassy Woodland Trait Database,Rachael Gallagher,Macquarie University Sydney,2011,John Morgan,Latrobe University,John Morgan,Latrobe University,John Morgan Grassy woodland trait database,field_assumed,adult_assumed,2014  updated plant functional trait database.xls,,
dataset_057,57,88,84,NA,Woodlands of western Victoria trait database,Rachael Gallagher,Macquarie University Sydney,2011,Erika Cross,Charles Sturt University,Ian Lunt,Charles Sturt University,Erika Cross Woodlands of western Victoria trait data,field_assumed,adult_assumed,2014  updated plant functional trait database.xls,,
dataset_057,57,89,85,NA,Andrew Scott Honours Project,Rachael Gallagher,Macquarie University Sydney,2010,Andrew John Scott,Latrobe University,John Morgan,Latrobe University,Andrew John Scott 2010 data via John Morgan ,field_assumed,adult_assumed,2014  updated plant functional trait database.xls,,
dataset_057,57,90,86,NA,John Morgan 2011 Trait Database Campaign,Rachael Gallagher,Macquarie University Sydney,2011,John Morgan,Latrobe University,John Morgan,Latrobe University,John Morgan Grassy woodland trait database,field_assumed,adult_assumed,2014  updated plant functional trait database.xls,,
dataset_057,57,91,87,NA,Tara Angevin Honours project,Rachael Gallagher,Macquarie University Sydney,2010,Tara Angevin,Latrobe University,John Morgan,Latrobe University,Tara Trait database via John Morgan,field_assumed,adult_assumed,2014  updated plant functional trait database.xls,,
dataset_057,57,92,88,NA,10.1007/s11258-010-9806-x,Rachael Gallagher,Macquarie University Sydney,2007,Amber Briggs,unknown,John Morgan,Latrobe University,Amber Briggs 2007 via John Morgan Terrick Terrick NP,field_assumed,adult_assumed,2014  updated plant functional trait database.xls,,
dataset_057,57,93,89,NA,Bryan Roberts project,Rachael Gallagher,Macquarie University Sydney,2006,Bryan Roberts,unknown,John Morgan,Latrobe University,Bryan Roberts 2006 data via John Morgan,field_assumed,adult_assumed,2014  updated plant functional trait database.xls,,
dataset_057,57,94,90,NA,various Morgan and Lunt projects 1990-2012,Rachael Gallagher,Macquarie University Sydney,1990-2012,Ian Lunt,Charles Sturt University,Ian Lunt,Charles Sturt University,"Lunt, Morgan, Scarlett, Salmon, Angevin trait data 1990s-2012 via John Morgan",field_assumed,adult_assumed,2014  updated plant functional trait database.xls,,
dataset_057,57,95,91,NA,"Venn, Angevin, Pickering projects ",Rachael Gallagher,Macquarie University Sydney,,Susanna Venn,Latrobe University,Catherine Pickering,Griffith University,"Venn, Angevin, Pickering projects via John Morgan",field_assumed,adult_assumed,2014  updated plant functional trait database.xls,,
dataset_057,57,96,92,NA,John Morgan unnamed trait campaign,Rachael Gallagher,Macquarie University Sydney,unknown,John Morgan,Latrobe University,John Morgan,Latrobe University,trait data from John Morgan not specifically associated with a campaign in 2014  updated plant functional trait database.xls,field_assumed,adult_assumed,2014  updated plant functional trait database.xls,,
