Scientific Name,metadata_id,primary_source_id,SLA (mg/mm2),longevity,Height (cm),Seed Dispersal,Seed mass (mg),Growth form,LDMC (mg/g),LDMC (%),Leaf area (mm2)
Atriplex nummaularia,93,89,NA,NA,NA,NA,0.005,NA,NA,NA,NA
Austrostipa nodosa,93,89,NA,NA,NA,NA,0.002,NA,NA,NA,NA
Chloris truncata,93,89,NA,NA,NA,NA,4e-04,NA,NA,NA,NA
Dichanthium sericeum,93,89,NA,NA,NA,NA,0.001,NA,NA,NA,NA
Enteropogon acicularis,93,89,NA,NA,NA,NA,0.006,NA,NA,NA,NA
Linum marginale,93,89,NA,NA,NA,NA,0.0024,NA,NA,NA,NA
Panicum laevinode,93,89,NA,NA,NA,NA,8e-04,NA,NA,NA,NA
Rhodanthe pygmaea,93,89,NA,NA,NA,NA,0.0049,NA,NA,NA,NA
Vittadinia cuneata,93,89,NA,NA,NA,NA,0.002,NA,NA,NA,NA
Malva preissiana ,93,89,NA,NA,NA,NA,0.034,NA,NA,NA,NA
