site_name,trait_name,unit,value,notes
Bothwell,longitude,deg,147.048,
Bothwell,latitude,deg,-42.387,
Bothwell,leaf_area_index,,2.2,
Bothwell,soil_organic_C,,3.886,
Bothwell,soil_conductivity,dS/m,0.036,
Bothwell,soil_pH_(CaCl2),,3.24,
Bothwell,soil_pH,,4.38,
Bothwell,exc_AI,cmol/kg,1.465,
Bothwell,exc_Ca,cmol/kg,0.93,
Bothwell,exc_Mg,cmol/kg,0.644,
Bothwell,exc_K,cmol/kg,0.288,
Bothwell,exc_Na,cmol/kg,0.09,
Bothwell,soil_total_N,%,0.034,
Bothwell,soil_total_P,mg/kg,102.848,
Bothwell,soil_cation_exchange_capacity,,cmol(+)/kg,3.417,
Bothwell,AI_sat,%,42.867,
Bothwell,soil_C:N,,114.294,
Bothwell,soil_C:P,,37.784,
Bothwell,soil_N:P,,0.331,
Cardwell,longitude,deg,146.13,
Cardwell,latitude,deg,-18.437,
Cardwell,leaf_area_index,,6.13,
Cardwell,soil_organic_C,,3.678,
Cardwell,soil_conductivity,dS/m,0.05,
Cardwell,soil_pH_(CaCl2),,4.78,
Cardwell,soil_pH,,5.66,
Cardwell,exc_AI,cmol/kg,0.449,
Cardwell,exc_Ca,cmol/kg,4.68,
Cardwell,exc_Mg,cmol/kg,1.81,
Cardwell,exc_K,cmol/kg,0.21,
Cardwell,exc_Na,cmol/kg,0.082,
Cardwell,soil_total_N,%,0.188,
Cardwell,soil_total_P,mg/kg,131.984,
Cardwell,soil_cation_exchange_capacity,,cmol(+)/kg,7.231,
Cardwell,AI_sat,%,6.212,
Cardwell,soil_C:N,,19.564,
Cardwell,soil_C:P,,27.867,
Cardwell,soil_N:P,,1.424,
Claraville,longitude,deg,141.818,
Claraville,latitude,deg,-18.705,
Claraville,leaf_area_index,,0.5,
Claraville,soil_organic_C,,0.29,
Claraville,soil_conductivity,dS/m,0,
Claraville,soil_pH_(CaCl2),,5.033,
Claraville,soil_pH,,5.967,
Claraville,exc_AI,cmol/kg,0.113,
