genus,species,binomial,longevity,growth form,min height (m),max height (m),leaf length min (mm),leaf length max (mm),leaf width min (mm),leaf width max (mm),seed min length (mm),seed max length (mm),seed min width (mm),seed max width (mm),seed min breadth (mm),seed max breadth (mm),flowering month begin,flowering month end
Thyrptomene,caduca,Thyrptomene caduca,p,s,0.7,1.5,0.8,2.5,1,1.2,1.1,1.1,1.5,1.5,,,7,9
Thyrptomene,calicola,Thyrptomene calicola,p,s,0.3,1.8,5,9,0.4,0.8,,,,,,,8,10
Thyrptomene,hubbardii,Thyrptomene hubbardii,p,s,0.5,1,2.5,4.3,2.8,3.4,0.9,1.1,1.5,1.7,,,8,12
Thyrptomene,nitida,Thyrptomene nitida,p,s,0.3,0.8,1.8,2.4,0.8,1.4,0.8,0.8,1.3,1.3,,,6,9
Thyrptomene,orbiculata,Thyrptomene orbiculata,p,s,0.5,1.5,2,3.5,2.3,3.3,,,,,,,7,10
Thyrptomene,pinifolia,Thyrptomene pinifolia,p,s,,0.5,8.5,8.5,0.4,0.4,,,,,,,10,11
Thyrptomene,podantha,Thyrptomene podantha,p,s,0.5,1.3,2.5,6.5,1.3,1.7,0.9,0.9,1.5,1.5,,,6,9
Thyrptomene,repens,Thyrptomene repens,p,s,,0.1,2.5,3,0.6,1.3,,,,,,,8,9
Thyrptomene,shirleyae,Thyrptomene shirleyae,p,s,0.3,1.1,1.1,2.2,1,1.5,,,,,,,7,10
Thyrptomene,spicata,Thyrptomene spicata,p,s,,1.5,3.5,5.5,2.5,4,1.1,1.1,2.1,2.1,,,10,11
Thyrptomene,stapfii,Thyrptomene stapfii,p,s,0.2,1,4,7,1,2,0.8,0.8,1.6,1.6,,,8,10
Thyrptomene,velutina,Thyrptomene velutina,p,s,1,1.5,8,13,1.3,2.6,,,,,,,5,9
Thyrptomene,wannooensis,Thyrptomene wannooensis,p,s,,0.8,2,2,2.5,2.5,,,,,,,7,8
