site name,"SoilC,0-10cm","SoilN,0-10cm",Soil C:N,"SoilP,0-10cm"
Kakadu fireplot 15_96,1.66,0.051964,31.94519283,80.9713175
Kakadu fireplot 33_96,0.7359,0.029337,25.08436445,84.16936354
Kakadu fireplot 37_96,0.5837,0.027368,21.32782812,38.59029728
Kakadu fireplot 41_96,1.381,0.068519,20.15499351,77.86034133
Western Arnhem Land WALFA plot 31_96,,,,
Western Arnhem Land WALFA plot 32_96,0.2686,0.00737,36.44504749,10.25633453
Western Arnhem Land WALFA plot 33_96,0.7359,0.029337,25.08436445,84.16936354
Western Arnhem Land WALFA plot 58_96,,,,
Western Arnhem Land WALFA plot 59_96,,,,
Western Arnhem Land WALFA plot 70_96,0.6702,0.020372,32.89809543,28.16073542
Western Arnhem Land WALFA plot 71_96,,,,
Western Arnhem Land WALFA plot 72_96,1.345,0.049291,27.28692865,50.15677547
Western Arnhem Land WALFA plot 73_96,,,,
