spp,sla mm2/g
Acacia aneura,2.3
Acacia aneura,2.9
Acacia brachybotrya,5.6
Acacia brachystachya,1.9
Acacia burkitti,2.0
Acacia colletioides,2.4
Acacia doratoxylon,4.2
Acacia tetragonophylla,3.3
Acacia wilhelmiana,4.0
Alectryon oleifolius,3.8
Atriplex stipitata,7.8
Boerhavia dominii,7.4
Bossiaea walkeri,2.5
Brunonia australis ,8.1
Casuarina pauper,2.0
Chenopodium desertorum ,8.0
Chenopodium desertorum ,7.9
Chrysocephalum apiculatum,17.2
Cryptandra leucophracta,5.4
Dodonaea peduncularis,22.5
Eremophila duttonii,5.6
Eremophila glabra,4.5
Eremophila glabra,3.9
Eremophila longifolia,6.1
Eremophila longifolia,4.0
Eremophila sturtii,4.4
Eremophila sturtii,3.8
Eriostemon linearis,2.6
Eucalyptus dwyeri,3.8
Eucalyptus dumosa,2.8
Eucalyptus intertexta,3.7
Eucalyptus intertexta,4.7
Eucalyptus leptophylla,3.9
Eucalyptus socialis,3.5
Eucalyptus viridis,3.4
Eutaxia microphylla,7.0
Geijera parviflora,5.0
Halgania cyanea,6.6
Jasminum lineare,7.9
Maireana sedifolia,5.1
Maireana villosa,8.0
Maytenus cunninghamii,5.3
Melaleuca uncinata,2.3
Olearia pimeleoides,5.7
Pimelea trichostachya,4.0
Prostanthera striatiflora,3.6
Ptilotus obovatus,12.9
Rhagodia ulicina,11.2
Sclerolaena bicornis,4.9
Sclerolaena diacantha,4.6
Sclerolaena divaricata,5.7
Sclerolaena patenticuspis,4.0
Senna artemisioides artemisioides,2.2
Senna artemisioides artemisioides,2.7
Senna artemisioides artemisioides,2.8
Sida cunninghamii,6.5
Solanum ellipticum,5.4
Solanum esuriale,5.1
Solanum ferocissimum,8.6
Templetonia aculeata,4.3
