site,taxon ,leaf longevity,photosynthetic pathway,Nitrogen fixing,SLA (cm2g),Nmass
Cunningham_Agnes Banks_15m_111,Eucalyptus amplifolia,evergreen,C3,,49,1.6
Cunningham_Agnes Banks_15m_111,Hibbertia diffusa,,C3,no,134.6,1.5
Cunningham_Braidwood_600m_111,Olearia erubescens,evergreen,C3,no,62.4,1.2
Cunningham_Castlereagh_15m_111,Grevillea juniperina,evergreen,C3,no,51.1,0.8
Cunningham_Copper Range_300m_111,Eremophila latrobei,evergreen,C3,no,47.5,3.2
Cunningham_Hillston_125m_111,Eucalyptus largiflorens,evergreen,C3,no,45.2,1.2
Cunningham_Knights Hill_665m_111,Acacia binervata,,C3,yes,79.8,2.6
Cunningham_Knights Hill_665m_111,Senecio linearifolius,evergreen,C3,no,182.7,2.7
Cunningham_KNP-Barrenjoey_33m_111,Correa reflexa,evergreen,C3,no,120.7,1
Cunningham_KNP-Barrenjoey_33m_111,Leptospermum laevigatum,evergreen,C3,no,56.3,1.1
Cunningham_KNP-Barrenjoey_33m_111,Leptospermum polygalifolium,evergreen,C3,no,93.3,0.9
Cunningham_KNP-Barrenjoey_33m_111,Phyllanthus hirtellus,,,,80.1,1.4
Cunningham_KNP-Barrenjoey_33m_111,Pultenaea daphnoides,evergreen,,,99.9,1.8
Cunningham_KNP-Bobbin Head_115m_111,Ceratopetalum gummiferum,,,,77.9,0.9
Cunningham_KNP-Bobbin Head_115m_111,Eriostemon australasius,evergreen,C3,no,75.4,1.3
Cunningham_KNP-Bobbin Head_115m_111,Grevillea sericea,evergreen,C3,no,65.9,1
Cunningham_KNP-Bobbin Head_115m_111,Hakea dactyloides,evergreen,C3,no,34.2,0.6
Cunningham_KNP-Bobbin Head_115m_111,Pultenaea elliptica,evergreen,,,109.1,1.4
Cunningham_KNP-Waratah_165m_111,Boronia ledifolia,evergreen,C3,no,51.9,1
Cunningham_KNP-Waratah_165m_111,Hibbertia cistiflora,,C3,no,73.1,1
Cunningham_KNP-West Head_152m_111,Synoum glandulosum,evergreen,C3,no,95.7,1.5
Cunningham_Londonderry_15m_111,Melaleuca linariifolia,evergreen,C3,no,75.5,1.7
Cunningham_Mitchell Park_45m_111,Eucalyptus oblonga,evergreen,C3,no,48.7,1
Cunningham_Narooma_25m_111,Acacia stricta,,C3,yes,73.1,2.7
Cunningham_Nombinnie_160m_111,Acacia brachybotrya,evergreen,C3,yes,55.6,1.6
Cunningham_Nombinnie_160m_111,Grevillea hueglii,evergreen,C3,no,26,0.8
Cunningham_Nombinnie_160m_111,Melaleuca uncinata,evergreen,C3,no,25.2,1.1
Cunningham_Nombinnie_160m_111,Olearia pimeleoides,evergreen,C3,no,74.3,
Cunningham_Nuntherungie_190m_111,Senecio magnificus,,C3,no,126.2,2.3
Cunningham_Patonga_5m_111,Myoporum acuminatum,evergreen,C3,,95.9,2.2
Cunningham_Rankins-Springs_170m_111,Acacia rigens,,C3,yes,24.8,1.2
Cunningham_RNP-Audley_5m_111,Callicoma serratifolia,evergreen,,,102.5,1.2
Cunningham_RNP-Audley_5m_111,Phyllanthus gasstroemii,evergreen,,,129.7,2.8
Cunningham_RNP-Bola Creek_50m_111,Helichrysum elatum,evergreen,C3,no,239.9,
Cunningham_RNP-Fosters Flat_50m_111,Syncarpia glomulifera,evergreen,C3,no,83,1.2
Cunningham_White Cliffs_80m_111,Dodonaea attenuata,evergreen,C3,no,40.2,1.9
Cunningham_White Cliffs_80m_111,Flindersia maculosa,,,,66.3,2.5
