var_name,trait_name,unit
flowering month,flowering_month,NA
longevity,life_history,NA
woodiness,woodiness,NA
growth form,plant_growth_form,NA
foliage,leaf_phenology,NA
special life form,special_life_form,NA
special growth form,special_growth_form,NA
flower colour,flower_colour,NA
height class,height_class,NA
leaf arrangement,leaf_arrangement,NA
leaf type,leaf_compoundness,NA
leaf margin,leaf_margin,NA
fruiting,fruiting,NA
propogation,propagation,NA
local spread,regen_strategy,NA
introduced,introduced,NA
leaf length minimum,leaf_length_min,mm
leaf length maximum,leaf_length_max,mm
leaf width minimum,leaf_width_min,mm
leaf width maximum,leaf_width_max,mm
plant height minimum,plant_height_min,cm
plant height maximum,plant_height_max,cm
