NDat,Species,AuthTax,Family,Order,trait_name,Reference,Character_state,Value,Min,Max,Notes,User,Date,User_update,Date_update,FullRef,WeblinkRef
126039,Abatia parviflora,Ruiz & Pav.,Salicaceae,Malpighiales,100. Floral structural sex (D1),"Warburg O. 1894. Flacourtiaceae. In: Engler A, Prantl K, eds. Die Natürlichen Pflanzenfamilien III/6a.  Leipzig: Wilhelm Engelmann. 1–56.",100. Floral structural sex (D1): (0) bisexual,NA,NA,NA,NA,Yannick Städler,09-Jul-13,NA,NA,"Warburg O. 1894. Flacourtiaceae. In: Engler A, Prantl K, eds. Die Natürlichen Pflanzenfamilien III/6a.  Leipzig: Wilhelm Engelmann. 1–56.",NA
126251,Abatia parviflora,Ruiz & Pav.,Salicaceae,Malpighiales,201. Number of perianth parts (C1),Sleumer HO. 1980. Flacourtiaceae. In: Flora Neotropica 22. New York: New York Botanical Garden Press. http://www.jstor.org/stable/4393727 .,NA,NA,4,5,NA,Yannick Städler,09-Jul-13,NA,NA,Sleumer HO. 1980. Flacourtiaceae. In: Flora Neotropica 22. New York: New York Botanical Garden Press.,http://www.jstor.org/stable/4393727 .
126369,Abatia parviflora,Ruiz & Pav.,Salicaceae,Malpighiales,305. Filament (D1),"Warburg O. 1894. Flacourtiaceae. In: Engler A, Prantl K, eds. Die Natürlichen Pflanzenfamilien III/6a.  Leipzig: Wilhelm Engelmann. 1–56.",305. Filament (D1): (2) long and narrow,NA,NA,NA,NA,Yannick Städler,09-Jul-13,NA,NA,"Warburg O. 1894. Flacourtiaceae. In: Engler A, Prantl K, eds. Die Natürlichen Pflanzenfamilien III/6a.  Leipzig: Wilhelm Engelmann. 1–56.",NA
126396,Abatia parviflora,Ruiz & Pav.,Salicaceae,Malpighiales,311. Anther orientation (D1),"Warburg O. 1894. Flacourtiaceae. In: Engler A, Prantl K, eds. Die Natürlichen Pflanzenfamilien III/6a.  Leipzig: Wilhelm Engelmann. 1–56.",311. Anther orientation (D1): (0) introrse,NA,NA,NA,NA,Yannick Städler,09-Jul-13,NA,NA,"Warburg O. 1894. Flacourtiaceae. In: Engler A, Prantl K, eds. Die Natürlichen Pflanzenfamilien III/6a.  Leipzig: Wilhelm Engelmann. 1–56.",NA
126257,Abatia parviflora,Ruiz & Pav.,Salicaceae,Malpighiales,404. Style differentiation (D1),Sleumer HO. 1980. Flacourtiaceae. In: Flora Neotropica 22. New York: New York Botanical Garden Press. http://www.jstor.org/stable/4393727 .,"404. Style differentiation (D1): (5) present, long and narrow",NA,NA,NA,NA,Yannick Städler,09-Jul-13,NA,NA,Sleumer HO. 1980. Flacourtiaceae. In: Flora Neotropica 22. New York: New York Botanical Garden Press.,http://www.jstor.org/stable/4393727 .
126308,Abatia parviflora,Ruiz & Pav.,Salicaceae,Malpighiales,207. Symmetry of perianth (D1),Sleumer HO. 1980. Flacourtiaceae. In: Flora Neotropica 22. New York: New York Botanical Garden Press. http://www.jstor.org/stable/4393727 .,207. Symmetry of perianth (D1): (0) actinomorphic (strictly polysymmetric),NA,NA,NA,NA,Yannick Städler,09-Jul-13,NA,NA,Sleumer HO. 1980. Flacourtiaceae. In: Flora Neotropica 22. New York: New York Botanical Garden Press.,http://www.jstor.org/stable/4393727 .
126278,Abatia parviflora,Ruiz & Pav.,Salicaceae,Malpighiales,102. Ovary position (D1),"Warburg O. 1894. Flacourtiaceae. In: Engler A, Prantl K, eds. Die Natürlichen Pflanzenfamilien III/6a.  Leipzig: Wilhelm Engelmann. 1–56.",102. Ovary position (D1): (0) superior,NA,NA,NA,NA,Yannick Städler,09-Jul-13,NA,NA,"Warburg O. 1894. Flacourtiaceae. In: Engler A, Prantl K, eds. Die Natürlichen Pflanzenfamilien III/6a.  Leipzig: Wilhelm Engelmann. 1–56.",NA
126401,Abatia parviflora,Ruiz & Pav.,Salicaceae,Malpighiales,312. Anther attachment (D1),"Warburg O. 1894. Flacourtiaceae. In: Engler A, Prantl K, eds. Die Natürlichen Pflanzenfamilien III/6a.  Leipzig: Wilhelm Engelmann. 1–56.",312. Anther attachment (D1): (0) basifixed,NA,NA,NA,sub-basixed,Yannick Städler,09-Jul-13,Maria von Balthazar,27-Oct-15,"Warburg O. 1894. Flacourtiaceae. In: Engler A, Prantl K, eds. Die Natürlichen Pflanzenfamilien III/6a.  Leipzig: Wilhelm Engelmann. 1–56.",NA
126486,Abatia parviflora,Ruiz & Pav.,Salicaceae,Malpighiales,412. Placentation (D1),"Warburg O. 1894. Flacourtiaceae. In: Engler A, Prantl K, eds. Die Natürlichen Pflanzenfamilien III/6a.  Leipzig: Wilhelm Engelmann. 1–56.",412. Placentation (D1): (3) parietal,NA,NA,NA,NA,Yannick Städler,09-Jul-13,NA,NA,"Warburg O. 1894. Flacourtiaceae. In: Engler A, Prantl K, eds. Die Natürlichen Pflanzenfamilien III/6a.  Leipzig: Wilhelm Engelmann. 1–56.",NA
126406,Abatia parviflora,Ruiz & Pav.,Salicaceae,Malpighiales,313. Anther dehiscence (D1),"Warburg O. 1894. Flacourtiaceae. In: Engler A, Prantl K, eds. Die Natürlichen Pflanzenfamilien III/6a.  Leipzig: Wilhelm Engelmann. 1–56.",313. Anther dehiscence (D1): (0) longitudinal slit,NA,NA,NA,NA,Yannick Städler,09-Jul-13,NA,NA,"Warburg O. 1894. Flacourtiaceae. In: Engler A, Prantl K, eds. Die Natürlichen Pflanzenfamilien III/6a.  Leipzig: Wilhelm Engelmann. 1–56.",NA
126414,Abatia parviflora,Ruiz & Pav.,Salicaceae,Malpighiales,314. Connective extension (apical) (D1),Little D. 2001. Flacourtiaceae: Abatia parviflora. COSTA RICA: Cerro de la Muerte. [ref. DOL2522] In: FossilFlowers.org. http://www.fossilflowers.org/imgs/mha8/r/Flacourtiaceae_Abatia_parviflora_2522.html,314. Connective extension (apical) (D1): (0) absent,NA,NA,NA,NA,Yannick Städler,09-Jul-13,NA,NA,Little D. 2001. Flacourtiaceae: Abatia parviflora. COSTA RICA: Cerro de la Muerte. [ref. DOL2522] In: FossilFlowers.org.,http://www.fossilflowers.org/imgs/mha8/r/Flacourtiaceae_Abatia_parviflora_2522.html
162196,Abatia parviflora,Ruiz & Pav.,Salicaceae,Malpighiales,5002. Aperture shape (D1),"Richard C. Keating. Pollen Morphology and Relationships of the Flacourtiaceae. Annals of the Missouri Botanical Garden, Vol. 60, No. 2 (1973), pp. 273-305",5002. Aperture shape (D1): (2) colporus,NA,NA,NA,NA,Charlotte Prieu,01-Aug-14,NA,NA,"Richard C. Keating. Pollen Morphology and Relationships of the Flacourtiaceae. Annals of the Missouri Botanical Garden, Vol. 60, No. 2 (1973), pp. 273-305",NA
