find,taxon_rank,dataset_id,still_to_match,stripped_name,stripped_name2,cleaned_name,trinomial,binomial,genus,replace_new,reason_new,fuzzy_match_genus,fuzzy_match_genus_known,fuzzy_match_genus_APNI,fuzzy_match_binomial,fuzzy_match_binomial_APC_known,fuzzy_match_trinomial,fuzzy_match_trinomial_known,fuzzy_match_cleaned_APC,fuzzy_match_cleaned_APC_known,fuzzy_match_cleaned_APNI,fuzzy_match_cleaned_APC_imprecise,fuzzy_match_cleaned_APC_known_imprecise,fuzzy_match_cleaned_APNI_imprecise,taxonomic_ref,taxonomic_resolution
Abildgaardia schoenoides,Genus,eFLOWER_Dun_2022,match_06_known,abildgaardia schoenoides,abildgaardia schoenoides,Abildgaardia schoenoides,NA,abildgaardia schoenoides,Abildgaardia,Abildgaardia schoenoides,match_06. Automatic alignment with synonymous term among known canonical names APC (2023-05-11),Abildgaardia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Species
Anthoxanthum redolens,Genus,eFLOWER_Dun_2022,match_06_known,anthoxanthum redolens,anthoxanthum redolens,Anthoxanthum redolens,NA,anthoxanthum redolens,Anthoxanthum,Anthoxanthum redolens,match_06. Automatic alignment with synonymous term among known canonical names APC (2023-05-11),Anthoxanthum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Species
Aristolochia littoralis,Genus,eFLOWER_Dun_2022,match_06_known,aristolochia littoralis,aristolochia littoralis,Aristolochia littoralis,NA,aristolochia littoralis,Aristolochia,Aristolochia littoralis,match_06. Automatic alignment with synonymous term among known canonical names APC (2023-05-11),Aristolochia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Species
Asparagus densiflorus,Genus,eFLOWER_Dun_2022,match_06_known,asparagus densiflorus,asparagus densiflorus,Asparagus densiflorus,NA,asparagus densiflorus,Asparagus,Asparagus densiflorus,match_06. Automatic alignment with synonymous term among known canonical names APC (2023-05-11),Asparagus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Species
Brackenridgea nitida,Genus,eFLOWER_Dun_2022,match_06_known,brackenridgea nitida,brackenridgea nitida,Brackenridgea nitida,NA,brackenridgea nitida,Brackenridgea,Brackenridgea nitida,match_06. Automatic alignment with synonymous term among known canonical names APC (2023-05-11),Brackenridgea,Brackenridgia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Species
Caryota rumphiana,Genus,eFLOWER_Dun_2022,match_06_known,caryota rumphiana,caryota rumphiana,Caryota rumphiana,NA,caryota rumphiana,Caryota,Caryota rumphiana,match_06. Automatic alignment with synonymous term among known canonical names APC (2023-05-11),Caryota,Carmona,Carinta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Species
Chenopodium eremaeum,Genus,eFLOWER_Dun_2022,match_06_known,chenopodium eremaeum,chenopodium eremaeum,Chenopodium eremaeum,NA,chenopodium eremaeum,Chenopodium,Chenopodium eremaeum,match_06. Automatic alignment with synonymous term among known canonical names APC (2023-05-11),Chenopodium,Chenopodina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Species
Chenopodium nutans,Genus,eFLOWER_Dun_2022,match_06_known,chenopodium nutans,chenopodium nutans,Chenopodium nutans,NA,chenopodium nutans,Chenopodium,Chenopodium nutans,match_06. Automatic alignment with synonymous term among known canonical names APC (2023-05-11),Chenopodium,Chenopodina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Species
Dendrobium baileyi,Genus,eFLOWER_Dun_2022,match_06_known,dendrobium baileyi,dendrobium baileyi,Dendrobium baileyi,NA,dendrobium baileyi,Dendrobium,Dendrobium baileyi,match_06. Automatic alignment with synonymous term among known canonical names APC (2023-05-11),Dendrobium,Dendorobium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Species
Dendrobium clementsii,Genus,eFLOWER_Dun_2022,match_06_known,dendrobium clementsii,dendrobium clementsii,Dendrobium clementsii,NA,dendrobium clementsii,Dendrobium,Dendrobium clementsii,match_06. Automatic alignment with synonymous term among known canonical names APC (2023-05-11),Dendrobium,Dendorobium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Species
