TRY Data Explorer Output	2020-5-28
Trait List

TraitID	Trait	ObsNum	ObsGRNum	AccSpecNum	
2957	Bark calcium (Ca) content per bark dry mass	30	30	5	
617	Bark carbon (C) content per bark dry mass	772	534	275	
829	Bark carbon (C) isotope signature (delta 13C)	13	13	1	
830	Bark carbon/nitrogen (C/N) ratio	13	13	1	
2958	Bark copper (Cu) content per bark dry mass	30	30	5	
831	Bark crystals	3593	2747	1644	
248	Bark density (bark dry mass per bark volume)	737	737	274	
2959	Bark iron (Fe) content per bark dry mass	30	30	5	
2961	Bark magnesium (Mg) content per bark dry mass	30	30	5	
2962	Bark manganese (Mn) content per bark dry mass	30	30	5	
618	Bark nitrogen (N) content per bark dry mass	742	742	45	
832	Bark nitrogen (N) isotope signature (delta 15N)	13	13	1	
833	Bark persistence (deciduous, persistent)	3460	3460	1069	
619	Bark phosphorus (P) content per bark dry mass	455	455	31	
2960	Bark potassium (K) content per bark dry mass	30	30	5	
834	Bark sclereids arrangement	3874	3010	1844	
835	Bark secondary compounds: oil, tannins, latex, slime	2079	1541	1050	
836	Bark sieve tubes grouping	4495	3499	2598	
837	Bark structure 	4709	3720	2603	
2963	Bark sulfur (S) content per bark dry mass	30	30	5	
838	Bark surface structure, texture, age	2295	36	1652	
24	Bark thickness	10920	10304	1752	
3355	Bark thickness (inner bark)	1604	1565	811	
3356	Bark thickness (outer bark)	1604	1565	811	
839	Bark thickness per stem diameter	372	372	14	
2964	Bark zinc (Zn) content per bark dry mass	30	30	5	
2632	Belowground plant organ acid hydrolyzable extractives per belowground plant organ dry mass	5	5	5	
2721	Belowground plant organ annual loss of nitrogen (N) through belowground plant organ mortality as a f	5	5	4	
2720	Belowground plant organ annual loss of nitrogen (N) through belowground plant organ mortality as a f	5	5	4	
2568	Belowground plant organ calcium (Ca) content per belowground plant organ dry mass	11	9	6	
2551	Belowground plant organ carbon (C) content per belowground plant organ dry mass	169	169	62	
2569	Belowground plant organ carbon/nitrogen (C/N) ratio	175	175	62	
2623	Belowground plant organ cellulose and hemicellulose content per belowground plant organ dry mass	5	5	5	
2553	Belowground plant organ cellulose content per belowground plant organ dry mass	32	32	22	
